segundo,estado,sub_estado,avg_velocity,min_velocity,max_velocity,velocity_variance,v_diff,car_mean_velocity,truck_mean_velocity,car_velocity_variance,truck_velocity_variance,avg_gap,min_gap,median_gap,vehicles_stopped,vehicles_cruising,vehicles_braking,vehicles_accelerating,cumulative_throughput,near_collisions,hard_brakes
1,ESTABILIZANDO,,0.67,0.4,0.75,0.02,0.35,0.75,0.4,0.0,0.0,77.14,71.58,78.78,30,0,0,23,0,0,0
2,ESTABILIZANDO,,1.34,0.8,1.5,0.09,0.7,1.5,0.8,0.0,0.0,77.14,71.04,78.78,7,0,0,23,0,0,0
3,ESTABILIZANDO,,2.01,1.2,2.25,0.2,1.05,2.25,1.2,0.0,0.0,77.14,70.15,78.78,0,0,0,23,0,0,0
4,ESTABILIZANDO,,2.67,1.6,3.0,0.35,1.4,3.0,1.6,0.0,0.0,77.14,68.91,78.78,0,0,0,23,0,0,0
5,ESTABILIZANDO,,3.34,2.0,3.75,0.55,1.75,3.75,2.0,0.0,0.0,77.14,67.31,78.78,0,0,0,23,0,0,0
6,ESTABILIZANDO,,4.01,2.4,4.5,0.79,2.1,4.5,2.4,0.0,0.0,77.14,65.37,78.78,0,0,0,23,0,0,0
7,ESTABILIZANDO,,4.68,2.8,5.25,1.07,2.45,5.25,2.8,0.0,0.0,77.14,63.08,78.78,0,0,0,23,0,0,0
8,ESTABILIZANDO,,5.35,3.2,6.0,1.4,2.8,6.0,3.2,0.0,0.0,77.14,60.44,78.78,0,0,0,23,0,0,0
9,ESTABILIZANDO,,6.02,3.6,6.75,1.78,3.15,6.75,3.6,0.0,0.0,77.14,57.44,78.78,0,0,0,23,0,0,0
10,ESTABILIZANDO,,6.68,4.0,7.5,2.19,3.5,7.5,4.0,0.0,0.0,77.14,54.1,78.78,0,0,0,23,0,0,0
11,ESTABILIZANDO,,7.35,4.4,8.25,2.65,3.85,8.25,4.4,0.0,0.0,77.14,50.41,78.78,0,0,0,23,0,0,0
12,ESTABILIZANDO,,8.02,4.8,9.0,3.16,4.2,9.0,4.8,0.0,0.0,77.14,46.37,78.78,0,0,0,23,0,0,0
13,ESTABILIZANDO,,8.69,5.2,9.75,3.7,4.55,9.75,5.2,0.0,0.0,77.14,41.97,78.78,0,0,0,23,0,0,0
14,ESTABILIZANDO,,9.36,5.6,10.5,4.3,4.9,10.5,5.6,0.0,0.0,77.14,37.23,78.78,0,0,0,23,0,0,0
15,ESTABILIZANDO,,10.02,6.0,11.25,4.93,5.25,11.25,6.0,0.0,0.0,77.14,32.14,78.78,0,0,0,23,0,0,0
16,ESTABILIZANDO,,10.69,6.4,12.0,5.61,5.6,12.0,6.4,0.0,0.0,77.14,26.7,78.78,0,0,0,23,0,0,0
17,ESTABILIZANDO,,11.36,6.8,12.75,6.33,5.95,12.75,6.8,0.0,0.0,77.14,20.9,78.78,0,0,0,23,0,0,0
18,ESTABILIZANDO,,12.03,7.2,13.5,7.1,6.3,13.5,7.2,0.0,0.0,77.14,14.76,78.78,0,0,0,23,0,0,0
19,ESTABILIZANDO,,12.7,7.6,14.25,7.91,6.65,14.25,7.6,0.0,0.0,77.14,8.27,78.78,0,0,0,23,0,0,0
20,ESTABILIZANDO,,13.37,8.0,15.0,8.77,7.0,15.0,8.0,0.0,0.0,77.14,1.43,78.78,0,0,0,23,0,5,0
21,ESTABILIZANDO,,14.03,8.4,15.75,9.66,7.35,15.75,8.4,0.0,0.0,77.14,-5.77,78.78,0,0,0,23,0,55,0
22,ESTABILIZANDO,,14.7,8.8,16.5,10.61,7.7,16.5,8.8,0.0,0.0,496.02,71.78,78.78,0,0,0,23,0,95,0
23,ESTABILIZANDO,,15.37,9.2,17.25,11.59,8.05,17.25,9.2,0.0,0.0,496.02,71.78,78.78,0,0,0,23,0,95,0
24,ESTABILIZANDO,,16.04,9.6,18.0,12.62,8.4,18.0,9.6,0.0,0.0,496.02,71.78,78.78,0,0,0,23,0,95,0
25,ESTABILIZANDO,,16.71,10.0,18.75,13.7,8.75,18.75,10.0,0.0,0.0,496.02,71.78,78.78,0,0,0,23,0,95,0
26,ESTABILIZANDO,,17.38,10.4,19.5,14.81,9.1,19.5,10.4,0.0,0.0,496.02,71.78,78.78,0,0,0,23,0,95,0
27,ESTABILIZANDO,,18.04,10.8,20.25,15.98,9.45,20.25,10.8,0.0,0.0,496.02,71.78,78.78,0,0,0,23,0,95,0
28,ESTABILIZANDO,,18.71,11.2,21.0,17.18,9.8,21.0,11.2,0.0,0.0,496.02,71.78,78.78,0,0,0,23,0,95,0
29,ESTABILIZANDO,,19.38,11.6,21.75,18.43,10.15,21.75,11.6,0.0,0.0,496.02,71.78,78.78,0,0,0,23,0,95,0
30,ESTABILIZANDO,,20.05,12.0,22.5,19.72,10.5,22.5,12.0,0.0,0.0,496.02,71.78,78.78,0,0,0,23,0,95,0
31,ESTABILIZANDO,,20.72,12.4,23.25,21.06,10.85,23.25,12.4,0.0,0.0,496.02,71.78,78.78,0,0,0,23,0,95,0
32,ESTABILIZANDO,,21.39,12.8,24.0,22.44,11.2,24.0,12.8,0.0,0.0,496.02,71.78,78.78,0,0,0,23,0,95,0
33,ESTABILIZANDO,,22.05,13.2,24.75,23.86,11.55,24.75,13.2,0.0,0.0,496.02,71.78,78.78,0,12,0,23,0,95,0
34,ESTABILIZANDO,,22.72,13.6,25.5,25.33,11.9,25.5,13.6,0.0,0.0,496.02,71.78,78.78,0,12,0,23,0,95,0
35,ESTABILIZANDO,,23.12,14.0,26.25,25.41,12.25,25.9,14.0,0.11,0.0,496.02,71.78,79.11,0,12,0,11,0,95,0
36,ESTABILIZANDO,,23.49,14.4,27.0,25.54,12.6,26.26,14.4,0.51,0.0,496.02,71.78,80.2,0,12,0,11,0,95,0
37,ESTABILIZANDO,,23.86,14.8,27.75,25.88,12.95,26.62,14.8,1.18,0.0,496.02,71.78,82.04,0,12,0,11,0,95,0
38,ESTABILIZANDO,,24.23,15.2,28.5,26.44,13.3,26.97,15.2,2.13,0.0,496.02,71.78,84.63,0,12,0,11,0,95,0
39,ESTABILIZANDO,,24.59,15.6,29.25,27.21,13.65,27.33,15.6,3.37,0.0,496.02,69.59,87.96,0,23,0,11,0,95,0
40,ESTABILIZANDO,,24.96,16.0,30.0,28.2,14.0,27.69,16.0,4.89,0.0,496.02,65.5,92.05,0,23,0,11,0,95,0
41,ESTABILIZANDO,,25.06,16.4,30.0,26.55,13.6,27.69,16.4,4.89,0.0,496.02,61.08,96.48,0,23,0,0,0,95,0
42,ESTABILIZANDO,,25.15,16.8,30.0,24.97,13.2,27.69,16.8,4.89,0.0,496.02,56.65,100.9,0,23,0,0,0,95,0
43,ESTABILIZANDO,,25.24,17.2,30.0,23.44,12.8,27.69,17.2,4.89,0.0,496.02,52.23,105.33,0,23,0,0,0,95,0
44,ESTABILIZANDO,,25.34,17.6,30.0,21.96,12.4,27.69,17.6,4.89,0.0,496.02,47.8,109.75,0,23,0,0,0,95,0
45,ESTABILIZANDO,,25.43,18.0,30.0,20.55,12.0,27.69,18.0,4.89,0.0,496.02,43.38,114.18,0,23,0,0,0,95,0
