scenario,max_in_jam,max_stopped,max_gap_pressure,max_v_diff,min_velocity,avg_velocity_before,avg_velocity_during,velocity_drop,total_energy,total_time_lost,min_efficiency,flow_before,flow_during,flow_drop_pct,recovery_time,density
Density_N25,4,1,0.38,24.05,0.0,23.35666666666667,22.15,1.2066666666666706,151.0,0.0,102.4,1115.2222222222222,1057.5555555555557,5.17086778918002,47,25
Density_N30,6,1,0.45,23.61,0.0,23.022222222222226,21.741111111111113,1.2811111111111124,252.6,0.1,99.3,1319.0,1245.7777777777778,5.551343610479315,75,30
Density_N35,9,1,0.52,23.07,0.0,22.617777777777775,21.293333333333333,1.3244444444444419,403.1,1.4,96.0,1511.888888888889,1423.111111111111,5.871977658558098,154,35
Density_N40,9,1,0.59,22.44,0.0,22.14111111111111,21.14,1.0011111111111077,246.8,0.3,98.4,1691.5555555555557,1615.111111111111,4.5191802417236016,158,40
Density_N45,21,1,0.66,21.71,0.0,21.595555555555556,20.566666666666663,1.0288888888888934,274.8,2.0,95.9,1856.0,1767.5555555555557,4.765325670498079,258,45
Density_N50,50,1,0.72,20.9,0.0,20.985555555555557,19.86777777777778,1.1177777777777784,344.9,10.9,92.7,2003.888888888889,1897.3333333333333,5.317438314388694,287,50
