scenario,max_in_jam,max_stopped,max_gap_pressure,max_v_diff,min_velocity,avg_velocity_before,avg_velocity_during,velocity_drop,total_energy,total_time_lost,min_efficiency,flow_before,flow_during,flow_drop_pct,recovery_time,behavior
Behavior_Aggressive,4,3,0.37,24.61,0.0,23.395555555555557,22.022222222222226,1.3733333333333313,456.0,3.4,92.6,1340.3333333333333,1261.7777777777778,5.860896957639053,69.0,Aggressive
Behavior_Normal,9,3,0.45,23.61,0.0,23.022222222222226,21.515555555555554,1.5066666666666713,417.6,3.5,91.1,1319.0,1232.7777777777778,6.536938758318588,126.0,Normal
Behavior_Conservative,20,3,0.64,21.94,0.0,21.763333333333332,19.945555555555558,1.8177777777777742,556.5,17.0,85.6,1246.888888888889,1142.7777777777778,8.3496702905008,,Conservative
