segundo,estado,avg_velocity,min_velocity,max_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,min_gap,avg_gap
1,ESTABILIZANDO,0.75,0.75,0.75,0,0,27,88.08,88.08
2,ESTABILIZANDO,1.5,1.5,1.5,0,0,0,88.08,88.08
3,ESTABILIZANDO,2.25,2.25,2.25,0,0,0,88.08,88.08
4,ESTABILIZANDO,3.0,3.0,3.0,0,0,0,88.08,88.08
5,ESTABILIZANDO,3.75,3.75,3.75,0,0,0,88.08,88.08
6,ESTABILIZANDO,4.5,4.5,4.5,0,0,0,88.08,88.08
7,ESTABILIZANDO,5.25,5.25,5.25,0,0,0,88.08,88.08
8,ESTABILIZANDO,6.0,6.0,6.0,0,0,0,88.08,88.08
9,ESTABILIZANDO,6.75,6.75,6.75,0,0,0,88.08,88.08
10,ESTABILIZANDO,7.5,7.5,7.5,0,0,0,88.08,88.08
11,FRENANDO,8.63,0.0,8.97,0,1,1,82.95,88.08
12,FRENANDO,10.02,0.0,10.42,0,1,1,73.37,88.08
13,RECUPERANDO,11.39,0.15,11.85,0,0,1,62.71,88.08
14,RECUPERANDO,12.78,1.65,13.26,0,0,0,52.23,88.08
15,RECUPERANDO,14.12,3.14,14.65,0,0,0,42.76,88.08
16,RECUPERANDO,15.41,4.64,15.99,0,0,0,34.64,88.08
17,RECUPERANDO,16.65,6.14,17.28,0,0,0,28.14,88.08
18,RECUPERANDO,17.83,7.63,18.52,0,0,0,23.41,88.08
19,RECUPERANDO,18.95,9.12,19.7,0,0,0,20.4,88.08
20,RECUPERANDO,19.99,10.61,20.8,0,0,0,18.89,88.08
21,RECUPERANDO,20.97,11.96,21.83,0,0,0,18.56,88.08
22,RECUPERANDO,21.87,12.65,22.77,0,0,0,19.12,88.08
23,RECUPERANDO,22.7,13.54,23.63,0,0,0,20.31,88.08
24,RECUPERANDO,23.45,14.56,24.41,0,0,0,21.93,88.08
25,RECUPERANDO,24.13,15.65,25.1,0,0,0,23.86,88.08
26,RECUPERANDO,24.73,16.79,25.7,0,0,0,25.98,88.08
27,RECUPERANDO,25.27,17.93,26.24,0,0,0,28.23,88.08
28,RECUPERANDO,25.75,18.99,26.7,0,0,0,29.46,88.08
29,RECUPERANDO,26.18,19.61,27.09,0,0,0,29.78,88.08
30,RECUPERANDO,26.55,20.29,27.43,0,0,0,30.49,88.08
31,RECUPERANDO,26.88,21.02,27.72,0,0,0,31.49,88.08
32,RECUPERANDO,27.17,21.75,27.97,0,0,0,32.68,88.08
33,RECUPERANDO,27.42,22.47,28.17,0,0,0,33.99,88.08
34,RECUPERANDO,27.64,23.15,28.35,0,0,0,35.37,88.08
35,RECUPERANDO,27.83,23.77,28.49,0,0,0,36.77,88.08
36,RECUPERANDO,28.0,24.13,28.61,0,0,0,38.16,88.08
37,RECUPERANDO,28.14,24.5,28.71,0,0,0,39.52,88.08
38,RECUPERANDO,28.26,24.87,28.79,0,0,0,40.32,88.08
39,RECUPERANDO,28.37,25.21,28.86,0,0,0,40.9,88.08
40,RECUPERANDO,28.46,25.54,28.92,0,0,0,41.55,88.08
41,RECUPERANDO,28.54,25.84,28.98,0,0,0,42.23,88.08
42,RECUPERANDO,28.61,26.12,29.14,19,0,0,42.93,88.08
43,RECUPERANDO,28.67,26.36,29.28,20,0,0,43.63,88.08
44,RECUPERANDO,28.72,26.58,29.39,20,0,0,44.32,88.08
45,RECUPERANDO,28.76,26.74,29.48,20,0,0,45.0,88.08
46,RECUPERANDO,28.79,26.86,29.56,20,0,0,45.67,88.08
47,RECUPERANDO,28.83,26.97,29.62,20,0,0,46.31,88.08
48,RECUPERANDO,28.85,27.07,29.67,20,0,0,46.94,88.08
49,RECUPERANDO,28.87,27.17,29.71,20,0,0,47.55,88.08
50,RECUPERANDO,28.89,27.25,29.74,20,0,0,48.14,88.08
51,RECUPERANDO,28.91,27.33,29.77,20,0,0,48.72,88.08
52,RECUPERANDO,28.92,27.4,29.79,20,0,0,49.28,88.08
53,RECUPERANDO,28.94,27.47,29.81,20,0,0,49.82,88.08
54,RECUPERANDO,28.95,27.53,29.82,20,0,0,50.36,88.08
55,RECUPERANDO,28.96,27.58,29.84,21,0,0,50.7,88.08
56,RECUPERANDO,28.96,27.63,29.85,21,0,0,50.96,88.08
57,RECUPERANDO,28.97,27.68,29.85,21,0,0,51.22,88.08
58,RECUPERANDO,28.98,27.72,29.86,21,0,0,51.49,88.08
59,RECUPERANDO,28.98,27.76,29.86,21,0,0,51.76,88.08
60,RECUPERANDO,28.99,27.8,29.87,21,0,0,52.03,88.08
61,RECUPERANDO,28.99,27.83,29.87,21,0,0,52.3,88.08
62,RECUPERANDO,29.0,27.86,29.87,21,0,0,52.58,88.08
63,RECUPERANDO,29.0,27.89,29.87,21,0,0,52.85,88.08
64,RECUPERANDO,29.0,27.92,29.88,21,0,0,53.13,88.08
65,RECUPERANDO,29.01,27.95,29.88,21,0,0,53.4,88.08
66,RECUPERANDO,29.01,27.97,29.88,20,0,0,53.68,88.08
67,RECUPERANDO,29.01,27.98,29.88,20,0,0,53.96,88.08
68,RECUPERANDO,29.01,27.99,29.88,20,0,0,54.24,88.08
69,RECUPERANDO,29.02,28.01,29.88,20,0,0,54.51,88.08
70,RECUPERANDO,29.02,28.02,29.88,20,0,0,54.79,88.08
71,RECUPERANDO,29.02,28.03,29.88,20,0,0,55.07,88.08
72,RECUPERANDO,29.02,28.04,29.88,20,0,0,55.34,88.08
73,RECUPERANDO,29.02,28.06,29.88,20,0,0,55.62,88.08
74,RECUPERANDO,29.03,28.07,29.88,20,0,0,55.9,88.08
75,RECUPERANDO,29.03,28.08,29.88,20,0,0,56.17,88.08
76,RECUPERANDO,29.03,28.09,29.88,20,0,0,56.44,88.08
77,RECUPERANDO,29.03,28.11,29.88,20,0,0,56.72,88.08
78,RECUPERANDO,29.03,28.12,29.87,20,0,0,56.99,88.08
79,RECUPERANDO,29.03,28.13,29.87,20,0,0,57.14,88.08
80,RECUPERANDO,29.04,28.14,29.87,20,0,0,57.26,88.08
81,RECUPERANDO,29.04,28.15,29.87,20,0,0,57.38,88.08
82,RECUPERANDO,29.04,28.17,29.87,20,0,0,57.51,88.08
83,RECUPERANDO,29.04,28.18,29.87,20,0,0,57.64,88.08
84,RECUPERANDO,29.04,28.19,29.87,20,0,0,57.77,88.08
85,RECUPERANDO,29.04,28.2,29.87,20,0,0,57.91,88.08
86,RECUPERANDO,29.04,28.21,29.87,20,0,0,58.06,88.08
87,RECUPERANDO,29.04,28.22,29.87,20,0,0,58.2,88.08
88,RECUPERANDO,29.04,28.24,29.87,20,0,0,58.35,88.08
89,RECUPERANDO,29.05,28.25,29.87,20,0,0,58.5,88.08
90,RECUPERANDO,29.05,28.26,29.87,20,0,0,58.65,88.08
91,RECUPERANDO,29.05,28.27,29.87,20,0,0,58.81,88.08
92,RECUPERANDO,29.05,28.28,29.87,20,0,0,58.96,88.08
93,RECUPERANDO,29.05,28.29,29.87,20,0,0,59.12,88.08
94,RECUPERANDO,29.05,28.3,29.86,20,0,0,59.28,88.08
95,RECUPERANDO,29.05,28.3,29.86,20,0,0,59.45,88.08
96,RECUPERANDO,29.05,28.3,29.86,20,0,0,59.61,88.08
97,RECUPERANDO,29.05,28.31,29.86,20,0,0,59.78,88.08
98,RECUPERANDO,29.06,28.31,29.86,20,0,0,59.94,88.08
99,RECUPERANDO,29.06,28.32,29.86,20,0,0,60.11,88.08
100,RECUPERANDO,29.06,28.32,29.86,20,0,0,60.28,88.08
101,RECUPERANDO,29.06,28.33,29.86,20,0,0,60.45,88.08
102,RECUPERANDO,29.06,28.34,29.86,20,0,0,60.62,88.08
103,RECUPERANDO,29.06,28.34,29.86,20,0,0,60.79,88.08
104,RECUPERANDO,29.06,28.35,29.86,20,0,0,60.96,88.08
105,RECUPERANDO,29.06,28.35,29.86,20,0,0,61.13,88.08
106,RECUPERANDO,29.06,28.36,29.86,20,0,0,61.31,88.08
107,RECUPERANDO,29.06,28.36,29.86,20,0,0,61.37,88.08
108,RECUPERANDO,29.06,28.37,29.85,20,0,0,61.44,88.08
109,RECUPERANDO,29.06,28.38,29.85,20,0,0,61.52,88.08
110,RECUPERANDO,29.07,28.38,29.85,20,0,0,61.59,88.08
111,RECUPERANDO,29.07,28.39,29.85,20,0,0,61.67,88.08
112,RECUPERANDO,29.07,28.39,29.85,20,0,0,61.76,88.08
113,RECUPERANDO,29.07,28.4,29.85,20,0,0,61.84,88.08
114,RECUPERANDO,29.07,28.41,29.85,20,0,0,61.93,88.08
115,RECUPERANDO,29.07,28.41,29.85,20,0,0,62.02,88.08
116,RECUPERANDO,29.07,28.42,29.85,20,0,0,62.11,88.08
117,RECUPERANDO,29.07,28.43,29.85,20,0,0,62.21,88.08
118,RECUPERANDO,29.07,28.43,29.85,20,0,0,62.3,88.08
119,RECUPERANDO,29.07,28.44,29.85,19,0,0,62.4,88.08
120,RECUPERANDO,29.07,28.44,29.85,19,0,0,62.5,88.08
121,RECUPERANDO,29.07,28.45,29.84,19,0,0,62.6,88.08
122,RECUPERANDO,29.07,28.46,29.84,19,0,0,62.71,88.08
123,RECUPERANDO,29.07,28.46,29.84,19,0,0,62.81,88.08
124,RECUPERANDO,29.08,28.47,29.84,19,0,0,62.92,88.08
125,RECUPERANDO,29.08,28.47,29.84,19,0,0,63.03,88.08
126,RECUPERANDO,29.08,28.47,29.84,19,0,0,63.14,88.08
127,RECUPERANDO,29.08,28.47,29.84,19,0,0,63.25,88.08
128,RECUPERANDO,29.08,28.48,29.84,19,0,0,63.37,88.08
129,RECUPERANDO,29.08,28.48,29.84,19,0,0,63.48,88.08
130,RECUPERANDO,29.08,28.48,29.84,20,0,0,63.59,88.08
131,RECUPERANDO,29.08,28.49,29.84,20,0,0,63.71,88.08
132,RECUPERANDO,29.08,28.49,29.84,20,0,0,63.83,88.08
133,RECUPERANDO,29.08,28.49,29.83,20,0,0,63.95,88.08
