v_crucero,t_frenada,num_cars,t_reaccion,a_brake,t_dissolve,max_en_atasco
20.0,6.0,25,1.0,-14.0,167.4,3
20.0,6.0,25,1.5,-6.0,NaN,3
20.0,6.0,25,1.5,-10.0,NaN,3
20.0,6.0,25,1.5,-14.0,NaN,3
20.0,6.0,25,2.5,-6.0,NaN,3
20.0,6.0,25,2.5,-10.0,NaN,3
20.0,6.0,25,2.5,-14.0,NaN,3
20.0,6.0,38,1.0,-6.0,NaN,4
20.0,6.0,38,1.0,-10.0,NaN,5
20.0,6.0,38,1.0,-14.0,NaN,5
20.0,6.0,38,1.5,-6.0,NaN,4
20.0,6.0,38,1.5,-10.0,NaN,5
20.0,6.0,38,1.5,-14.0,NaN,5
20.0,6.0,38,2.5,-6.0,NaN,5
20.0,6.0,38,2.5,-10.0,NaN,5
20.0,6.0,38,2.5,-14.0,NaN,5
20.0,6.0,55,1.0,-6.0,NaN,12
20.0,6.0,55,1.0,-10.0,NaN,15
20.0,6.0,55,1.0,-14.0,NaN,15
20.0,6.0,55,1.5,-6.0,NaN,8
20.0,6.0,55,1.5,-10.0,NaN,9
20.0,6.0,55,1.5,-14.0,NaN,9
20.0,6.0,55,2.5,-6.0,NaN,9
20.0,6.0,55,2.5,-10.0,NaN,10
20.0,6.0,55,2.5,-14.0,NaN,11
20.0,10.0,25,1.0,-6.0,229.3,4
20.0,10.0,25,1.0,-10.0,235.4,4
20.0,10.0,25,1.0,-14.0,244.7,4
20.0,10.0,25,1.5,-6.0,NaN,4
20.0,10.0,25,1.5,-10.0,NaN,4
20.0,10.0,25,1.5,-14.0,NaN,4
20.0,10.0,25,2.5,-6.0,NaN,4
20.0,10.0,25,2.5,-10.0,NaN,4
20.0,10.0,25,2.5,-14.0,NaN,4
20.0,10.0,38,1.0,-6.0,NaN,6
20.0,10.0,38,1.0,-10.0,NaN,6
20.0,10.0,38,1.0,-14.0,NaN,7
20.0,10.0,38,1.5,-6.0,NaN,6
20.0,10.0,38,1.5,-10.0,NaN,6
20.0,10.0,38,1.5,-14.0,NaN,6
20.0,10.0,38,2.5,-6.0,NaN,6
20.0,10.0,38,2.5,-10.0,NaN,6
20.0,10.0,38,2.5,-14.0,NaN,6
20.0,10.0,55,1.0,-6.0,NaN,16
20.0,10.0,55,1.0,-10.0,NaN,17
20.0,10.0,55,1.0,-14.0,NaN,17
20.0,10.0,55,1.5,-6.0,NaN,11
20.0,10.0,55,1.5,-10.0,NaN,11
20.0,10.0,55,1.5,-14.0,NaN,12
20.0,10.0,55,2.5,-6.0,NaN,12
20.0,10.0,55,2.5,-10.0,NaN,13
20.0,10.0,55,2.5,-14.0,NaN,13
28.0,3.0,25,1.0,-6.0,NaN,1
28.0,3.0,25,1.0,-10.0,NaN,3
28.0,3.0,25,1.0,-14.0,NaN,4
28.0,3.0,25,1.5,-6.0,NaN,1
28.0,3.0,25,1.5,-10.0,NaN,4
28.0,3.0,25,1.5,-14.0,NaN,4
28.0,3.0,25,2.5,-6.0,NaN,1
28.0,3.0,25,2.5,-10.0,NaN,4
28.0,3.0,25,2.5,-14.0,NaN,4
28.0,3.0,38,1.0,-6.0,NaN,1
28.0,3.0,38,1.0,-10.0,NaN,6
28.0,3.0,38,1.0,-14.0,NaN,6
28.0,3.0,38,1.5,-6.0,NaN,1
28.0,3.0,38,1.5,-10.0,NaN,6
28.0,3.0,38,1.5,-14.0,NaN,7
28.0,3.0,38,2.5,-6.0,NaN,2
28.0,3.0,38,2.5,-10.0,NaN,8
28.0,3.0,38,2.5,-14.0,NaN,8
28.0,3.0,55,1.0,-6.0,NaN,2
28.0,3.0,55,1.0,-10.0,NaN,23
28.0,3.0,55,1.0,-14.0,NaN,23
28.0,3.0,55,1.5,-6.0,NaN,3
