segundo,estado_experimento,coches_crucero,coches_frenando,coches_atasco,coches_recuperando,vel_media_sistema,vel_min
1,ESTABILIZANDO,30,0,0,0,25.0,25.0
2,ESTABILIZANDO,30,0,0,0,25.0,25.0
3,ESTABILIZANDO,30,0,0,0,25.0,25.0
4,ESTABILIZANDO,30,0,0,0,25.0,25.0
5,ESTABILIZANDO,30,0,0,0,25.0,25.0
6,ESTABILIZANDO,30,0,0,0,25.0,25.0
7,ESTABILIZANDO,30,0,0,0,25.0,25.0
8,ESTABILIZANDO,30,0,0,0,25.0,25.0
9,ESTABILIZANDO,30,0,0,0,25.0,25.0
10,ESTABILIZANDO,30,0,0,0,25.0,25.0
11,FRENANDO,29,1,0,0,24.33,13.0
12,FRENANDO,28,1,1,0,23.67,1.0
13,FRENANDO,27,2,1,0,23.37,0
14,FRENANDO,27,1,2,0,23.12,0
15,FRENANDO,27,1,2,0,22.87,0
16,FRENANDO,26,2,2,0,22.61,0
17,FRENANDO,26,2,2,0,22.34,0
18,FRENANDO,26,1,3,0,22.07,0
19,FRENANDO,25,2,3,0,21.81,0
20,FRENANDO,25,2,3,0,21.54,0
21,RECUPERANDO,25,1,4,0,21.37,0.32
22,RECUPERANDO,24,2,4,0,21.26,0.59
23,RECUPERANDO,24,2,4,0,21.2,1.47
24,RECUPERANDO,24,1,5,0,21.2,2.52
25,RECUPERANDO,23,2,5,0,21.24,2.99
26,RECUPERANDO,23,2,4,1,21.32,4.25
27,RECUPERANDO,23,2,4,1,21.43,5.52
28,RECUPERANDO,22,2,4,2,21.58,6.07
29,RECUPERANDO,22,2,3,3,21.74,7.29
30,RECUPERANDO,22,2,3,3,21.92,8.86
31,RECUPERANDO,22,2,2,4,22.11,9.49
32,RECUPERANDO,21,3,2,4,22.29,10.47
33,RECUPERANDO,21,3,1,5,22.47,11.78
34,RECUPERANDO,22,2,0,6,22.63,13.23
35,RECUPERANDO,22,2,0,6,22.79,13.75
36,RECUPERANDO,22,2,0,6,22.92,14.6
37,RECUPERANDO,21,3,0,6,23.05,15.59
38,RECUPERANDO,21,2,0,7,23.15,16.59
39,RECUPERANDO,21,2,0,7,23.25,17.45
40,RECUPERANDO,21,2,0,7,23.32,17.84
41,RECUPERANDO,21,2,0,7,23.39,18.3
42,RECUPERANDO,21,2,0,7,23.44,18.77
43,RECUPERANDO,21,2,0,7,23.49,19.2
44,RECUPERANDO,20,2,0,8,23.52,19.59
45,RECUPERANDO,20,2,0,8,23.55,19.92
46,RECUPERANDO,21,2,0,7,23.58,20.2
47,RECUPERANDO,21,2,0,7,23.6,20.44
48,RECUPERANDO,21,2,0,7,23.62,20.63
49,RECUPERANDO,21,2,0,7,23.64,20.72
50,RECUPERANDO,21,2,0,7,23.65,20.81
51,RECUPERANDO,21,2,0,7,23.66,20.9
52,RECUPERANDO,21,2,0,7,23.67,20.98
53,RECUPERANDO,21,2,0,7,23.68,21.06
54,RECUPERANDO,21,2,0,7,23.69,21.13
55,RECUPERANDO,20,3,0,7,23.7,21.21
56,RECUPERANDO,20,3,0,7,23.71,21.28
57,RECUPERANDO,20,3,0,7,23.71,21.34
58,RECUPERANDO,20,3,0,7,23.72,21.4
59,RECUPERANDO,20,3,0,7,23.73,21.47
60,RECUPERANDO,20,3,0,7,23.73,21.52
61,RECUPERANDO,20,2,0,8,23.74,21.58
62,RECUPERANDO,20,2,0,8,23.74,21.63
63,RECUPERANDO,20,2,0,8,23.75,21.69
64,RECUPERANDO,20,2,0,8,23.75,21.74
65,RECUPERANDO,20,2,0,8,23.76,21.77
66,RECUPERANDO,20,2,0,8,23.76,21.79
67,RECUPERANDO,20,2,0,8,23.77,21.81
68,RECUPERANDO,20,2,0,8,23.77,21.84
69,RECUPERANDO,20,2,0,8,23.78,21.86
70,RECUPERANDO,19,3,0,8,23.78,21.89
