segundo,estado_experimento,coches_crucero,coches_frenando,coches_atasco,coches_recuperando,vel_media_sistema,vel_min
1,ESTABILIZANDO,30,0,0,0,15.0,15.0
2,ESTABILIZANDO,30,0,0,0,15.0,15.0
3,ESTABILIZANDO,30,0,0,0,15.0,15.0
4,ESTABILIZANDO,30,0,0,0,15.0,15.0
5,ESTABILIZANDO,30,0,0,0,15.0,15.0
6,ESTABILIZANDO,30,0,0,0,15.0,15.0
7,ESTABILIZANDO,30,0,0,0,15.0,15.0
8,ESTABILIZANDO,30,0,0,0,15.0,15.0
9,ESTABILIZANDO,30,0,0,0,15.0,15.0
10,ESTABILIZANDO,30,0,0,0,15.0,15.0
11,FRENANDO,29,0,1,0,14.5,3.0
12,FRENANDO,28,1,1,0,14.33,0
13,FRENANDO,28,1,1,0,14.28,0
14,FRENANDO,28,1,1,0,14.23,0
15,FRENANDO,28,1,1,0,14.16,0
16,FRENANDO,28,1,1,0,14.07,0
17,FRENANDO,28,0,2,0,13.96,0
18,FRENANDO,27,1,2,0,13.85,0
19,FRENANDO,27,1,2,0,13.76,0
20,FRENANDO,27,1,2,0,13.68,0
21,RECUPERANDO,27,1,2,0,13.67,0.32
22,RECUPERANDO,27,0,3,0,13.71,1.68
23,RECUPERANDO,26,1,3,0,13.79,3.56
24,RECUPERANDO,26,1,2,1,13.92,4.22
25,RECUPERANDO,26,1,1,2,14.06,5.3
26,RECUPERANDO,26,1,1,2,14.2,6.82
27,RECUPERANDO,26,1,0,3,14.33,8.44
28,RECUPERANDO,27,1,0,2,14.43,9.92
29,RECUPERANDO,27,0,0,3,14.5,11.11
30,RECUPERANDO,27,0,0,3,14.56,11.68
31,RECUPERANDO,27,0,0,3,14.6,11.98
32,RECUPERANDO,27,0,0,3,14.63,12.25
33,RECUPERANDO,28,0,0,2,14.64,12.49
34,RECUPERANDO,28,0,0,2,14.66,12.68
35,RECUPERANDO,28,0,0,2,14.67,12.83
36,RECUPERANDO,28,0,0,2,14.68,12.95
37,RECUPERANDO,28,0,0,2,14.68,13.05
38,RECUPERANDO,28,0,0,2,14.69,13.14
39,RECUPERANDO,28,0,0,2,14.69,13.21
40,RECUPERANDO,28,0,0,2,14.7,13.28
41,RECUPERANDO,28,0,0,2,14.7,13.34
42,RECUPERANDO,28,0,0,2,14.7,13.39
43,RECUPERANDO,28,0,0,2,14.7,13.44
44,RECUPERANDO,28,0,0,2,14.71,13.49
45,RECUPERANDO,28,0,0,2,14.71,13.53
46,RECUPERANDO,28,0,0,2,14.71,13.57
47,RECUPERANDO,28,0,0,2,14.71,13.61
48,RECUPERANDO,29,0,0,1,14.72,13.64
49,RECUPERANDO,29,0,0,1,14.72,13.68
50,RECUPERANDO,29,0,0,1,14.72,13.71
51,RECUPERANDO,29,0,0,1,14.72,13.74
52,RECUPERANDO,29,0,0,1,14.72,13.76
53,RECUPERANDO,29,0,0,1,14.72,13.79
54,RECUPERANDO,29,0,0,1,14.72,13.81
55,RECUPERANDO,29,0,0,1,14.72,13.84
56,RECUPERANDO,29,0,0,1,14.73,13.86
57,RECUPERANDO,29,0,0,1,14.73,13.88
58,RECUPERANDO,29,0,0,1,14.73,13.9
59,RECUPERANDO,29,0,0,1,14.73,13.92
60,RECUPERANDO,29,0,0,1,14.73,13.94
61,RECUPERANDO,29,0,0,1,14.73,13.96
62,RECUPERANDO,29,0,0,1,14.73,13.97
63,RECUPERANDO,29,0,0,1,14.73,13.99
64,RECUPERANDO,30,0,0,0,14.73,14.0
65,FIN_ESPERA,30,0,0,0,14.73,14.02
66,FIN_ESPERA,30,0,0,0,14.74,14.02
67,FIN_ESPERA,30,0,0,0,14.74,14.02
68,FIN_ESPERA,30,0,0,0,14.74,14.03
69,FIN_ESPERA,30,0,0,0,14.74,14.03
