segundo,estado_experimento,coches_crucero,coches_frenando,coches_atasco,coches_recuperando,vel_media_sistema,vel_min
1,ESTABILIZANDO,30,0,0,0,20.0,20.0
2,ESTABILIZANDO,30,0,0,0,20.0,20.0
3,ESTABILIZANDO,30,0,0,0,20.0,20.0
4,ESTABILIZANDO,30,0,0,0,20.0,20.0
5,ESTABILIZANDO,30,0,0,0,20.0,20.0
6,ESTABILIZANDO,30,0,0,0,20.0,20.0
7,ESTABILIZANDO,30,0,0,0,20.0,20.0
8,ESTABILIZANDO,30,0,0,0,20.0,20.0
9,ESTABILIZANDO,30,0,0,0,20.0,20.0
10,ESTABILIZANDO,30,0,0,0,20.0,20.0
11,FRENANDO,29,0,1,0,19.43,8.0
12,FRENANDO,28,1,1,0,19.01,0
13,FRENANDO,28,1,1,0,18.87,0
14,FRENANDO,28,1,1,0,18.73,0
15,FRENANDO,27,1,2,0,18.58,0
16,FRENANDO,27,1,2,0,18.42,0
17,FRENANDO,27,1,2,0,18.24,0
18,FRENANDO,27,1,2,0,18.07,0
19,FRENANDO,26,1,3,0,17.9,0
20,FRENANDO,26,1,3,0,17.73,0
21,RECUPERANDO,26,1,3,0,17.65,0.32
22,RECUPERANDO,26,1,3,0,17.63,1.31
23,RECUPERANDO,25,1,4,0,17.66,1.73
24,RECUPERANDO,25,1,4,0,17.73,3.03
25,RECUPERANDO,25,1,3,1,17.84,4.76
26,RECUPERANDO,25,1,2,2,17.98,5.45
27,RECUPERANDO,24,2,2,2,18.14,6.45
28,RECUPERANDO,24,2,1,3,18.3,7.92
29,RECUPERANDO,24,2,1,3,18.46,9.58
30,RECUPERANDO,24,1,0,5,18.61,10.75
31,RECUPERANDO,25,1,0,4,18.75,11.45
32,RECUPERANDO,25,1,0,4,18.87,12.4
33,RECUPERANDO,25,1,0,4,18.96,13.39
34,RECUPERANDO,24,2,0,4,19.04,14.31
35,RECUPERANDO,24,1,0,5,19.1,15.08
36,RECUPERANDO,24,1,0,5,19.15,15.7
37,RECUPERANDO,24,1,0,5,19.19,16.06
38,RECUPERANDO,24,1,0,5,19.21,16.26
39,RECUPERANDO,25,1,0,4,19.24,16.44
40,RECUPERANDO,25,1,0,4,19.25,16.61
41,RECUPERANDO,25,1,0,4,19.27,16.76
42,RECUPERANDO,25,1,0,4,19.28,16.88
43,RECUPERANDO,25,1,0,4,19.29,16.99
44,RECUPERANDO,25,1,0,4,19.3,17.09
45,RECUPERANDO,25,1,0,4,19.3,17.18
46,RECUPERANDO,25,1,0,4,19.31,17.26
47,RECUPERANDO,25,1,0,4,19.32,17.34
48,RECUPERANDO,25,1,0,4,19.32,17.41
49,RECUPERANDO,25,1,0,4,19.33,17.47
50,RECUPERANDO,25,1,0,4,19.33,17.53
51,RECUPERANDO,25,1,0,4,19.33,17.59
52,RECUPERANDO,25,1,0,4,19.34,17.64
53,RECUPERANDO,25,1,0,4,19.34,17.69
54,RECUPERANDO,25,1,0,4,19.34,17.74
55,RECUPERANDO,24,1,0,5,19.35,17.78
56,RECUPERANDO,24,1,0,5,19.35,17.83
57,RECUPERANDO,24,1,0,5,19.35,17.87
58,RECUPERANDO,24,1,0,5,19.36,17.91
59,RECUPERANDO,24,1,0,5,19.36,17.93
60,RECUPERANDO,24,1,0,5,19.36,17.94
61,RECUPERANDO,25,1,0,4,19.37,17.96
62,RECUPERANDO,25,1,0,4,19.37,17.97
