segundo,estado_experimento,coches_crucero,coches_frenando,coches_atasco,coches_recuperando,vel_media_sistema,vel_min
1,ESTABILIZANDO,30,0,0,0,30.0,30.0
2,ESTABILIZANDO,30,0,0,0,30.0,30.0
3,ESTABILIZANDO,30,0,0,0,30.0,30.0
4,ESTABILIZANDO,30,0,0,0,30.0,30.0
5,ESTABILIZANDO,30,0,0,0,30.0,30.0
6,ESTABILIZANDO,30,0,0,0,30.0,30.0
7,ESTABILIZANDO,30,0,0,0,30.0,30.0
8,ESTABILIZANDO,30,0,0,0,30.0,30.0
9,ESTABILIZANDO,30,0,0,0,30.0,30.0
10,ESTABILIZANDO,30,0,0,0,30.0,30.0
11,FRENANDO,28,2,0,0,29.22,18.0
12,FRENANDO,28,1,1,0,28.44,6.0
13,FRENANDO,27,2,1,0,27.8,0
14,FRENANDO,26,2,2,0,27.41,0
15,FRENANDO,0,28,2,0,27.03,0
16,FRENANDO,0,28,2,0,26.65,0
17,FRENANDO,0,27,3,0,26.26,0
18,FRENANDO,0,27,3,0,25.88,0
19,FRENANDO,0,27,3,0,25.5,0
20,FRENANDO,0,26,4,0,25.12,0
21,RECUPERANDO,0,26,4,0,24.84,0.32
22,RECUPERANDO,0,25,5,0,24.61,0.45
23,RECUPERANDO,0,25,5,0,24.45,1.44
24,RECUPERANDO,0,25,5,0,24.34,1.6
25,RECUPERANDO,0,24,6,0,24.28,2.62
26,RECUPERANDO,0,24,6,0,24.27,3.22
27,RECUPERANDO,0,24,5,1,24.31,3.97
28,RECUPERANDO,0,23,6,1,24.38,5.32
29,RECUPERANDO,0,23,5,2,24.49,5.66
30,RECUPERANDO,0,23,4,3,24.63,6.68
31,RECUPERANDO,0,22,5,3,24.79,7.87
32,RECUPERANDO,0,22,4,4,24.97,8.38
33,RECUPERANDO,0,22,4,4,25.16,9.49
34,RECUPERANDO,0,22,3,5,25.36,10.63
35,RECUPERANDO,0,21,3,6,25.56,11.23
36,RECUPERANDO,0,21,3,6,25.75,12.3
37,RECUPERANDO,1,21,2,6,25.95,13.57
38,RECUPERANDO,1,21,1,7,26.13,14.1
39,RECUPERANDO,1,21,0,8,26.3,15.02
40,RECUPERANDO,1,20,0,9,26.47,16.16
41,RECUPERANDO,1,20,0,9,26.62,16.91
42,RECUPERANDO,1,20,0,9,26.76,17.56
43,RECUPERANDO,1,20,0,9,26.89,18.39
44,RECUPERANDO,1,19,0,10,27.0,19.3
45,RECUPERANDO,1,19,0,10,27.1,19.95
46,RECUPERANDO,1,19,0,10,27.2,20.41
47,RECUPERANDO,1,19,0,10,27.28,20.95
48,RECUPERANDO,1,18,0,11,27.35,21.52
49,RECUPERANDO,1,18,0,11,27.41,22.06
50,RECUPERANDO,1,18,0,11,27.46,22.56
51,RECUPERANDO,1,18,0,11,27.51,22.79
52,RECUPERANDO,1,18,0,11,27.55,23.05
53,RECUPERANDO,1,18,0,11,27.58,23.31
54,RECUPERANDO,2,18,0,10,27.61,23.55
55,RECUPERANDO,2,17,0,11,27.64,23.78
