segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,car_mean_velocity,truck_mean_velocity,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,max_parados,max_en_atasco,max_v_diff,num_cars,num_trucks,truck_pct
0,LIBRE,21.333847240221225,21.33377096924064,21.336821808464133,0.0030508392234942505,21.333847240221225,0.0,15.917230401910068,1222.4727427743162,85.3353889608849,0,0,0,40,62.82469491607755,62.825,62.82530508392256,23.833847240221225,0.37936883788652964,0,0,0.0030508392234942505,40,0,0.0
0,LIBRE,22.05128719699369,22.050548633789322,22.07864442822294,0.028095794433617982,22.05128719699369,0.0,15.917230401910068,1263.5835083036575,88.20514878797476,0,0,0,40,62.80706873918629,62.825,62.84234721907751,24.55128719699369,0.3907884949780134,0,0,0.028095794433617982,40,0,0.0
2,LIBRE,22.578567665643682,22.577341865010062,22.621644003437446,0.0443021384273834,22.578567665643682,0.0,15.917230401910068,1293.7977492450023,90.31427066257473,0,0,0,40,62.76941074314558,62.825,62.87702122944711,25.078567665643682,0.39918133968394237,0,0,0.0443021384273834,40,0,0.0
3,LIBRE,22.95766170568366,22.956097059967973,23.00984622518276,0.05374916521478568,22.95766170568366,0.0,15.917230401910068,1315.5206070905083,91.83064682273464,0,0,39,1,62.71944571324261,62.825,62.9206144727287,25.45766170568366,0.4052154668632496,0,0,0.05374916521478568,40,0,0.0
4,LIBRE,23.225737218828478,23.223947457799262,23.282479524691656,0.05853206689239343,23.225737218828478,0.0,15.917230401910068,1330.881878038719,92.90294887531391,0,0,39,1,62.66275859001439,62.825,62.967426149466675,25.725737218828478,0.409482486571086,0,0,0.05853206689239343,40,0,0.0
4,LIBRE,23.413023837307044,23.411090079326957,23.471437192961012,0.060347113634055205,23.413023837307044,0.0,15.917230401910068,1341.6137813657838,93.65209534922818,0,0,39,1,62.60304035678627,62.825,63.01412148284731,25.913023837307048,0.412463570828604,0,0,0.060347113634055205,40,0,0.0
5,LIBRE,23.54273995244407,23.54071705780524,23.601118908732598,0.06040185092735939,23.54273995244407,0.0,15.917230401910068,1349.0467780151,94.17095980977628,0,0,40,0,62.54255592779282,62.825,63.05896474048252,26.042739952444073,0.41452829212008074,0,0,0.06040185092735939,40,0,0.0
6,LIBRE,23.6320360843508,23.62995965470137,23.689443817849483,0.05948416314811311,23.6320360843508,0.0,15.917230401910068,1354.1636275951116,94.5281443374032,0,0,40,0,62.482602222030295,62.825,63.10118817960256,26.1320360843508,0.4159496392256395,0,0,0.06040185092735939,40,0,0.0
7,LIBRE,23.693246893343932,23.691139253697997,23.7492146723439,0.05807541864590249,23.693246893343932,0.0,15.917230401910068,1357.6711311745032,94.77298757337573,0,0,40,0,62.423866233191134,62.825,63.14055714929938,26.193246893343932,0.41692394577547043,0,0,0.06040185092735939,40,0,0.0
8,LIBRE,23.735083002773354,23.732957722082222,23.789411367518355,0.056453645436132405,23.735083002773354,0.0,15.917230401910068,1360.0684251489706,94.94033201109342,0,0,40,0,62.36667292351922,62.825,63.177102523771765,26.235083002773354,0.41758986076837806,0,0,0.06040185092735939,40,0,0.0
