segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,car_mean_velocity,truck_mean_velocity,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,max_parados,max_en_atasco,max_v_diff,num_cars,num_trucks,truck_pct
0,LIBRE,20.901614445090487,17.063428598640836,21.336821808464133,4.273393209823297,21.328079539140447,17.063428598640836,15.917230401910068,1197.704926419829,85.3127120207775,0,0,4,36,62.40316432101076,62.825,63.252034237060116,24.40478587502253,0.38845659968201396,0,0,4.273393209823297,36,4,0.1
0,LIBRE,21.554296934248676,17.631430562323704,22.078623024518063,4.447192462194359,21.989348154008308,17.638835956412013,15.917230401910068,1235.104957633032,87.97672218060684,0,0,8,32,58.36790946159738,62.825,67.6077982057036,25.08623873206928,0.399303441815667,0,0,4.447192462194359,36,4,0.1
2,LIBRE,22.028763631349452,18.087080175091685,22.621353228561013,4.534273053469327,22.463994535935896,18.111685490071473,15.917230401910068,1262.2928622818629,89.91332094428348,0,0,11,29,54.68037313343757,62.825,72.04956001291953,25.584347905853026,0.40723196030008796,0,0,4.534273053469327,36,4,0.1
3,LIBRE,22.364113744696784,18.444915915189963,23.008568921768365,4.563653006578402,22.79433005181839,18.49216698060235,15.917230401910068,1281.5091043519049,91.28209691712973,0,0,39,1,51.34126786469028,62.825,76.50548670814055,25.938722093726902,0.41287261589696617,0,0,4.563653006578402,36,4,0.1
4,LIBRE,22.59476048167084,18.72099979370605,23.278990504610064,4.557990710904015,23.01715838777363,18.793179326745744,15.917230401910068,1294.725630465818,92.22351217008506,0,0,39,1,48.335538691497845,62.825,80.93268270855378,26.18441944800813,0.4167834372942002,0,0,4.563653006578402,36,4,0.1
4,LIBRE,22.748635205332302,18.93091031342635,23.464103046304196,4.533192732877847,23.16201547908865,19.028212741525167,15.917230401910068,1303.542964412197,92.85157226666246,0,0,37,3,45.64145997175592,62.825,85.3091247653158,26.350045842408566,0.4194197507745096,0,0,4.563653006578402,36,4,0.1
5,LIBRE,22.847221925844885,19.088563653683014,23.58802793765379,4.499464283970777,23.251362973404987,19.209952497803958,15.917230401910068,1309.1921835740802,93.25396704426483,0,0,36,4,43.235747699490275,62.825,89.6264803061872,26.457719550735078,0.42113361799817073,0,0,4.563653006578402,36,4,0.1
6,LIBRE,22.906467093519133,19.205719271024666,23.668500588213075,4.4627813171884085,23.301681535181995,19.349537118553364,15.917230401910068,1312.587051916735,93.49578405518014,0,0,36,4,41.095866684151474,62.825,93.88459282006647,26.5239439494468,0.4221877270106932,0,0,4.563653006578402,36,4,0.1
7,LIBRE,22.937934438793626,19.291940354719472,23.718180850795296,4.426240496075824,23.324782986395057,19.45629751038076,15.917230401910068,1314.390194662269,93.62422219915766,0,0,36,4,39.20070215695887,62.825,98.08766380468819,26.560749314312666,0.4227735664832895,0,0,4.563653006578402,36,4,0.1
8,LIBRE,22.949885498877777,19.354800478726126,23.747148946099816,4.39234846737369,23.329006696205653,19.537794722926897,15.917230401910068,1315.0750146591324,93.67300203623581,0,0,36,4,37.5304604071473,62.825,102.24181915490021,26.576775235024122,0.42302865475565654,0,0,4.563653006578402,36,4,0.1
