segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,27,0,27,0,2.49,2.49,2.49,0.0,2.49,0,0,0,0,27,88.08,88.08,88.08
2,WARMING_UP,27,0,27,0,4.94,4.94,4.94,0.0,4.94,0,0,0,0,27,88.08,88.08,88.08
3,WARMING_UP,27,0,27,0,7.32,7.32,7.32,0.0,7.32,0,0,0,0,27,88.08,88.08,88.08
4,WARMING_UP,27,0,27,0,9.59,9.59,9.59,0.0,9.59,0,0,0,0,27,88.08,88.08,88.08
5,WARMING_UP,27,0,27,0,11.73,11.73,11.73,0.0,11.73,0,0,0,0,27,88.08,88.08,88.08
6,WARMING_UP,27,0,27,0,13.72,13.72,13.72,0.0,13.72,0,0,0,0,27,88.08,88.08,88.08
7,WARMING_UP,27,0,27,0,15.54,15.54,15.54,0.0,15.54,0,0,0,0,27,88.08,88.08,88.08
8,WARMING_UP,27,0,27,0,17.19,17.19,17.19,0.0,17.19,0,0,0,0,27,88.08,88.08,88.08
9,WARMING_UP,27,0,27,0,18.68,18.68,18.68,0.0,18.68,0,0,0,0,27,88.08,88.08,88.08
10,NORMAL,27,0,27,0,20.0,20.0,20.0,0.0,20.0,0,0,0,0,27,88.08,88.08,88.08
11,DISTURBANCE,27,0,27,0,20.66,8.0,21.16,13.16,20.66,0,0,1,0,25,80.98,88.08,95.34
12,DISTURBANCE,27,0,27,0,21.25,0.0,22.18,22.18,21.25,0,0,2,1,25,63.05,88.08,114.79
13,DISTURBANCE,27,0,27,0,21.97,0.0,23.07,23.07,21.97,0,0,2,1,24,45.03,88.08,137.47
14,DISTURBANCE,27,0,27,0,22.54,0.0,23.84,23.84,22.54,0,0,2,1,24,29.88,88.08,160.97
15,DISTURBANCE,27,0,27,0,22.96,0.0,24.5,24.5,22.96,0,0,3,1,23,18.08,88.08,185.18
16,RECOVERING,27,0,27,0,23.38,2.49,25.06,22.57,23.38,0,0,2,0,24,10.99,88.08,208.63
17,RECOVERING,27,0,27,0,23.73,4.96,25.55,20.59,23.73,0,0,1,0,1,8.39,88.08,230.11
18,RECOVERING,27,0,27,0,24.06,6.15,25.96,19.81,24.06,0,0,1,0,2,8.69,88.08,249.61
19,RECOVERING,27,0,27,0,24.35,7.23,26.31,19.08,24.35,0,0,2,0,2,10.63,88.08,267.13
20,RECOVERING,27,0,27,0,24.62,8.76,26.61,17.85,24.62,0,0,1,0,2,13.45,88.08,282.74
