segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,26,1,0,27,2.45,1.5,2.49,0.99,2.49,1.5,0,0,0,27,80.54,87.82,88.63
2,WARMING_UP,26,1,0,27,4.86,2.98,4.93,1.95,4.93,2.98,0,0,0,27,79.02,87.82,90.16
3,WARMING_UP,26,1,0,27,7.17,4.43,7.28,2.84,7.28,4.43,0,0,0,27,76.59,87.82,92.6
4,WARMING_UP,26,1,0,27,9.36,5.85,9.5,3.64,9.5,5.85,0,0,0,27,73.36,87.82,95.9
5,WARMING_UP,26,1,0,27,11.4,7.23,11.57,4.34,11.56,7.23,0,0,0,27,69.47,87.82,99.93
6,WARMING_UP,26,1,0,27,13.26,8.54,13.46,4.91,13.44,8.54,0,0,0,27,65.11,87.82,104.6
7,WARMING_UP,26,1,0,27,14.94,9.8,15.17,5.37,15.14,9.8,0,0,0,27,60.48,87.82,109.77
8,WARMING_UP,26,1,0,27,16.43,10.98,16.69,5.71,16.64,10.98,0,0,0,27,55.8,87.82,115.33
9,WARMING_UP,26,1,0,27,17.74,12.09,18.03,5.94,17.96,12.09,0,0,0,27,51.3,87.82,121.18
10,NORMAL,26,1,0,27,18.88,13.12,19.19,6.08,19.11,13.12,0,0,0,27,47.15,87.82,127.2
11,DISTURBANCE,26,1,0,27,19.37,7.19,20.2,13.01,19.57,14.07,0,1,0,24,43.5,87.82,133.31
12,DISTURBANCE,26,1,0,27,19.82,0.0,21.07,21.07,20.01,14.95,0,2,1,24,40.44,87.82,139.44
13,DISTURBANCE,26,1,0,27,20.39,0.0,21.8,21.8,20.57,15.76,0,2,1,22,38.0,87.82,145.52
14,DISTURBANCE,26,1,0,27,20.82,0.0,22.43,22.43,20.98,16.49,0,2,1,22,31.29,87.82,157.78
15,DISTURBANCE,26,1,0,27,21.12,0.0,22.95,22.95,21.27,17.15,0,2,1,1,19.49,87.82,180.5
16,RECOVERING,26,1,0,27,21.43,2.49,23.39,20.9,21.57,17.75,0,2,0,2,12.22,87.82,202.33
17,RECOVERING,26,1,0,27,21.69,4.95,23.76,18.81,21.82,18.29,0,1,0,2,9.44,87.82,222.08
18,RECOVERING,26,1,0,27,21.93,6.15,24.07,17.92,22.05,18.77,0,1,0,2,9.66,87.82,239.76
19,RECOVERING,26,1,0,27,22.15,7.11,24.32,17.21,22.26,19.21,0,1,0,2,11.61,87.82,255.4
20,RECOVERING,26,1,0,27,22.35,8.55,24.54,15.99,22.46,19.59,0,2,0,2,14.49,87.82,269.08
