segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,14,13,6,21,2.01,1.49,2.49,1.0,2.49,1.5,0,0,0,27,80.54,84.71,88.63
2,WARMING_UP,14,13,6,21,3.99,2.97,4.94,1.97,4.93,2.98,0,0,0,27,79.0,84.71,90.17
3,WARMING_UP,14,13,6,21,5.9,4.42,7.32,2.9,7.27,4.43,0,0,0,27,76.54,84.71,92.64
4,WARMING_UP,14,13,6,21,7.73,5.83,9.59,3.76,9.47,5.85,0,0,0,27,73.22,84.71,96.0
5,WARMING_UP,14,13,6,21,9.43,7.19,11.73,4.54,11.48,7.22,0,0,0,27,69.16,84.71,100.17
6,WARMING_UP,14,13,6,21,10.99,8.48,13.71,5.22,13.27,8.54,0,0,0,27,64.53,84.71,105.04
7,WARMING_UP,14,13,6,21,12.4,9.71,15.52,5.81,14.82,9.79,0,0,0,27,59.53,84.71,110.52
8,WARMING_UP,14,13,6,21,13.63,10.86,17.14,6.29,16.11,10.97,0,0,0,27,54.38,84.71,116.5
9,WARMING_UP,14,13,6,21,14.7,11.93,18.57,6.64,17.13,12.08,0,0,0,27,49.32,84.71,122.85
10,NORMAL,14,13,6,21,15.6,12.92,19.8,6.88,17.92,13.11,0,0,0,24,44.58,84.71,129.45
11,DISTURBANCE,14,13,6,21,15.83,1.12,20.81,19.69,18.39,13.07,0,2,0,17,36.89,84.71,136.17
12,DISTURBANCE,14,13,6,21,16.22,0.0,21.6,21.6,18.48,13.79,0,2,1,16,23.21,84.71,150.42
13,DISTURBANCE,14,13,6,21,16.55,0.0,22.17,22.17,18.42,14.54,0,2,1,13,13.47,84.71,168.27
14,DISTURBANCE,14,13,6,21,16.79,0.0,22.52,22.52,18.26,15.21,0,3,1,12,7.34,84.71,186.28
15,DISTURBANCE,14,13,6,21,16.96,0.0,22.68,22.68,18.02,15.82,0,3,1,12,4.22,84.71,204.44
16,JAM_ACTIVE,14,13,6,21,17.17,0.94,22.68,21.74,17.8,16.49,0,1,1,12,3.77,84.71,221.93
17,RECOVERING,14,13,6,21,17.4,1.34,22.55,21.21,17.68,17.09,0,1,0,7,5.01,84.71,238.11
18,RECOVERING,14,13,6,21,17.64,2.45,22.44,19.99,17.67,17.62,0,1,0,4,6.89,84.71,253.03
19,RECOVERING,14,13,6,21,17.91,3.83,22.46,18.63,17.75,18.09,0,0,0,2,7.37,84.71,266.72
20,RECOVERING,14,13,6,21,18.19,4.46,22.47,18.01,17.91,18.5,0,0,0,2,7.53,84.71,279.24
21,RECOVERING,14,13,6,21,18.48,5.08,22.47,17.39,18.13,18.86,0,0,0,3,8.85,84.71,290.66
