segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,14,13,0,27,2.01,1.49,2.49,0.99,2.49,1.5,0,0,0,27,80.54,84.71,88.63
2,WARMING_UP,14,13,0,27,3.99,2.97,4.93,1.95,4.92,2.98,0,0,0,27,79.02,84.71,90.16
3,WARMING_UP,14,13,0,27,5.9,4.42,7.28,2.85,7.26,4.43,0,0,0,27,76.58,84.71,92.6
4,WARMING_UP,14,13,0,27,7.71,5.83,9.5,3.67,9.45,5.85,0,0,0,27,73.34,84.71,95.9
5,WARMING_UP,14,13,0,27,9.41,7.19,11.57,4.38,11.45,7.21,0,0,0,27,69.42,84.71,99.93
6,WARMING_UP,14,13,0,27,10.96,8.48,13.46,4.97,13.23,8.52,0,0,0,27,65.01,84.71,104.6
7,WARMING_UP,14,13,0,27,12.36,9.71,15.16,5.46,14.77,9.76,0,0,0,27,60.31,84.71,109.77
8,WARMING_UP,14,13,0,27,13.59,10.86,16.69,5.83,16.05,10.93,0,0,0,27,55.54,84.71,115.33
9,WARMING_UP,14,13,0,27,14.65,11.93,18.02,6.09,17.09,12.03,0,0,0,27,50.92,84.71,121.17
10,NORMAL,14,13,0,27,15.57,12.92,19.19,6.27,17.91,13.04,0,0,0,23,46.65,84.71,127.19
11,DISTURBANCE,14,13,0,27,15.8,0.93,20.19,19.26,18.41,12.99,0,2,1,18,36.31,84.71,133.29
12,DISTURBANCE,14,13,0,27,16.22,0.0,21.04,21.04,18.55,13.72,0,2,1,17,22.77,84.71,139.39
13,DISTURBANCE,14,13,0,27,16.57,0.0,21.75,21.75,18.54,14.44,0,2,1,14,13.17,84.71,145.43
14,DISTURBANCE,14,13,0,27,16.82,0.0,22.34,22.34,18.41,15.1,0,3,1,13,7.17,84.71,151.35
15,DISTURBANCE,14,13,0,27,16.99,0.0,22.81,22.81,18.2,15.7,0,3,1,12,4.14,84.71,157.1
16,JAM_ACTIVE,14,13,0,27,17.19,0.9,23.19,22.29,17.96,16.35,0,1,1,13,3.75,84.71,168.64
17,RECOVERING,14,13,0,27,17.37,1.32,23.47,22.15,17.77,16.95,0,2,0,6,5.02,84.71,184.38
18,RECOVERING,14,13,0,27,17.55,2.45,23.67,21.23,17.61,17.49,0,2,0,2,6.9,84.71,199.15
19,RECOVERING,14,13,0,27,17.73,3.83,23.81,19.98,17.51,17.97,0,1,0,2,7.28,84.71,212.94
20,RECOVERING,14,13,0,27,17.93,4.42,23.88,19.46,17.49,18.41,0,1,0,2,7.5,84.71,225.74
21,RECOVERING,14,13,0,27,18.15,5.06,23.9,18.84,17.55,18.79,0,1,0,3,8.85,84.71,237.55
