segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,7,20,6,21,1.75,1.49,2.49,1.0,2.49,1.5,0,0,0,27,80.54,82.9,88.63
2,WARMING_UP,7,20,6,21,3.48,2.97,4.94,1.97,4.92,2.98,0,0,0,27,79.02,82.9,90.16
3,WARMING_UP,7,20,6,21,5.16,4.42,7.32,2.9,7.26,4.43,0,0,0,27,76.58,82.9,92.6
4,WARMING_UP,7,20,6,21,6.78,5.83,9.59,3.76,9.45,5.85,0,0,0,27,73.34,82.9,95.9
5,WARMING_UP,7,20,6,21,8.31,7.19,11.72,4.53,11.44,7.21,0,0,0,27,69.42,82.9,99.93
6,WARMING_UP,7,20,6,21,9.74,8.48,13.7,5.22,13.21,8.52,0,0,0,27,65.01,82.9,104.6
7,WARMING_UP,7,20,6,21,11.05,9.71,15.5,5.8,14.73,9.76,0,0,0,27,60.31,82.9,109.78
8,WARMING_UP,7,20,6,21,12.24,10.86,17.12,6.26,15.98,10.94,0,0,0,27,55.55,82.9,115.37
9,WARMING_UP,7,20,6,21,13.32,11.93,18.53,6.6,16.98,12.03,0,0,0,27,50.94,82.9,121.24
10,NORMAL,7,20,6,21,14.27,12.92,19.73,6.8,17.74,13.05,0,0,0,25,46.67,82.9,127.31
11,DISTURBANCE,7,20,6,21,14.63,0.93,20.71,19.78,18.31,13.34,0,1,1,20,42.89,82.9,133.48
12,DISTURBANCE,7,20,6,21,15.27,0.0,21.46,21.46,18.73,14.06,0,1,1,20,39.7,82.9,139.69
13,DISTURBANCE,7,20,6,21,15.84,0.0,22.0,22.0,19.04,14.73,0,1,1,19,37.09,82.9,145.86
14,DISTURBANCE,7,20,6,21,16.33,0.0,22.52,22.52,19.27,15.3,0,2,1,18,33.3,82.9,151.95
15,DISTURBANCE,7,20,6,21,16.73,0.0,23.02,23.02,19.45,15.77,0,2,1,17,22.64,82.9,157.89
16,RECOVERING,7,20,6,21,17.11,1.5,23.42,21.92,19.59,16.25,0,1,0,18,14.83,82.9,168.55
17,RECOVERING,7,20,6,21,17.45,2.98,23.72,20.73,19.67,16.67,0,1,0,7,10.23,82.9,184.22
18,RECOVERING,7,20,6,21,17.74,4.44,23.91,19.47,19.7,17.06,0,1,0,2,8.2,82.9,198.92
19,RECOVERING,7,20,6,21,18.0,5.48,24.01,18.53,19.63,17.42,0,1,0,1,7.98,82.9,212.61
20,RECOVERING,7,20,6,21,18.21,5.96,23.98,18.02,19.48,17.77,0,3,0,2,8.9,82.9,225.28
