segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,7,20,13,14,1.75,1.49,2.49,1.0,2.49,1.5,0,0,0,27,80.54,82.9,88.63
2,WARMING_UP,7,20,13,14,3.48,2.97,4.94,1.96,4.93,2.98,0,0,0,27,79.0,82.9,90.16
3,WARMING_UP,7,20,13,14,5.17,4.42,7.29,2.87,7.26,4.44,0,0,0,27,76.54,82.9,92.62
4,WARMING_UP,7,20,13,14,6.79,5.83,9.51,3.67,9.45,5.86,0,0,0,27,73.22,82.9,95.93
5,WARMING_UP,7,20,13,14,8.32,7.19,11.56,4.37,11.44,7.23,0,0,0,27,69.16,82.9,99.95
6,WARMING_UP,7,20,13,14,9.76,8.48,13.45,4.97,13.19,8.55,0,0,0,27,64.53,82.9,104.59
7,WARMING_UP,7,20,13,14,11.07,9.71,15.14,5.44,14.68,9.81,0,0,0,27,59.53,82.9,109.75
8,WARMING_UP,7,20,13,14,12.27,10.86,16.64,5.78,15.88,11.0,0,0,0,27,54.38,82.9,115.28
9,WARMING_UP,7,20,13,14,13.33,11.93,17.93,6.01,16.81,12.12,0,0,0,27,49.33,82.9,121.05
10,NORMAL,7,20,13,14,14.28,12.92,19.03,6.11,17.48,13.16,0,0,0,25,44.6,82.9,126.95
11,DISTURBANCE,7,20,13,14,14.59,1.12,19.93,18.81,17.73,13.48,0,2,0,20,36.89,82.9,135.11
12,DISTURBANCE,7,20,13,14,15.1,0.0,20.64,20.64,17.43,14.28,0,2,1,20,23.21,82.9,152.99
13,DISTURBANCE,7,20,13,14,15.58,0.0,21.18,21.18,17.09,15.05,0,2,1,19,13.48,82.9,170.97
14,DISTURBANCE,7,20,13,14,16.01,0.0,21.57,21.57,16.75,15.75,0,2,1,18,7.34,82.9,188.99
15,DISTURBANCE,7,20,13,14,16.39,0.0,21.82,21.82,16.49,16.36,0,2,1,18,4.22,82.9,207.05
16,JAM_ACTIVE,7,20,13,14,16.82,0.94,21.97,21.03,16.41,16.97,0,0,1,19,3.77,82.9,224.35
17,RECOVERING,7,20,13,14,17.25,1.34,22.03,20.69,16.52,17.5,0,0,0,14,5.01,82.9,240.26
18,RECOVERING,7,20,13,14,17.64,2.45,22.04,19.59,16.69,17.97,0,1,0,8,6.89,82.9,254.86
19,RECOVERING,7,20,13,14,17.99,3.83,22.01,18.18,16.86,18.39,0,2,0,2,8.92,82.9,268.2
20,RECOVERING,7,20,13,14,18.31,5.28,21.97,16.68,17.03,18.76,0,1,0,2,10.92,82.9,280.35
21,RECOVERING,7,20,13,14,18.6,6.71,21.91,15.2,17.2,19.09,0,1,0,2,12.81,82.9,291.38
