segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,14,13,13,14,2.01,1.49,2.49,1.0,2.49,1.5,0,0,0,27,80.54,84.71,88.63
2,WARMING_UP,14,13,13,14,3.99,2.97,4.94,1.97,4.93,2.98,0,0,0,27,79.01,84.71,90.16
3,WARMING_UP,14,13,13,14,5.91,4.42,7.32,2.9,7.28,4.44,0,0,0,27,76.55,84.71,92.61
4,WARMING_UP,14,13,13,14,7.75,5.83,9.59,3.76,9.5,5.86,0,0,0,27,73.26,84.71,95.9
5,WARMING_UP,14,13,13,14,9.47,7.19,11.73,4.54,11.54,7.24,0,0,0,27,69.25,84.71,99.93
6,WARMING_UP,14,13,13,14,11.06,8.48,13.71,5.22,13.37,8.56,0,0,0,27,64.7,84.71,104.6
7,WARMING_UP,14,13,13,14,12.5,9.71,15.52,5.81,14.97,9.83,0,0,0,27,59.8,84.71,109.77
8,WARMING_UP,14,13,13,14,13.78,10.86,17.14,6.28,16.34,11.02,0,0,0,27,54.79,84.71,115.33
9,WARMING_UP,14,13,13,14,14.9,11.93,18.58,6.64,17.46,12.15,0,0,0,27,49.91,84.71,121.18
10,NORMAL,14,13,13,14,15.87,12.93,19.81,6.88,18.35,13.2,0,0,0,26,45.37,84.71,127.2
11,DISTURBANCE,14,13,13,14,16.22,1.12,20.84,19.72,19.05,13.17,0,1,0,18,41.37,84.71,140.45
12,DISTURBANCE,14,13,13,14,16.82,0.0,21.65,21.65,19.58,13.84,0,1,1,18,38.0,84.71,161.15
13,DISTURBANCE,14,13,13,14,17.35,0.0,22.27,22.27,19.99,14.49,0,1,1,15,35.32,84.71,182.64
14,DISTURBANCE,14,13,13,14,17.77,0.0,22.69,22.69,20.31,15.04,0,2,1,13,33.31,84.71,204.81
15,DISTURBANCE,14,13,13,14,18.11,0.0,23.07,23.07,20.56,15.48,0,2,1,10,25.2,84.71,227.55
16,RECOVERING,14,13,13,14,18.43,1.5,23.5,22.0,20.75,15.94,0,1,0,11,17.06,84.71,249.94
17,RECOVERING,14,13,13,14,18.7,2.98,23.83,20.85,20.9,16.34,0,1,0,10,12.06,84.71,271.25
18,RECOVERING,14,13,13,14,18.92,4.44,24.09,19.64,20.99,16.7,0,1,0,5,9.66,84.71,291.41
19,RECOVERING,14,13,13,14,19.11,5.67,24.32,18.65,21.03,17.04,0,2,0,2,9.19,84.71,310.4
20,RECOVERING,14,13,13,14,19.26,6.03,24.52,18.48,21.01,17.38,0,2,0,2,9.98,84.71,328.2
