segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,14,13,27,0,2.01,1.5,2.49,0.99,2.49,1.5,0,0,0,27,80.54,84.71,88.63
2,WARMING_UP,14,13,27,0,4.0,2.98,4.94,1.96,4.94,2.98,0,0,0,27,79.01,84.71,90.16
3,WARMING_UP,14,13,27,0,5.93,4.44,7.32,2.88,7.31,4.45,0,0,0,27,76.55,84.71,92.63
4,WARMING_UP,14,13,27,0,7.78,5.87,9.59,3.72,9.55,5.88,0,0,0,27,73.26,84.71,95.97
5,WARMING_UP,14,13,27,0,9.53,7.25,11.73,4.48,11.63,7.27,0,0,0,27,69.25,84.71,100.09
6,WARMING_UP,14,13,27,0,11.15,8.58,13.72,5.14,13.52,8.61,0,0,0,27,64.7,84.71,104.9
7,WARMING_UP,14,13,27,0,12.63,9.85,15.54,5.69,15.18,9.89,0,0,0,27,59.8,84.71,110.28
8,WARMING_UP,14,13,27,0,13.96,11.05,17.19,6.14,16.61,11.11,0,0,0,27,54.8,84.71,116.14
9,WARMING_UP,14,13,27,0,15.13,12.19,18.68,6.49,17.79,12.27,0,0,0,27,49.92,84.71,122.35
10,NORMAL,14,13,27,0,16.15,13.26,20.0,6.74,18.74,13.35,0,0,0,27,45.39,84.71,128.82
11,DISTURBANCE,14,13,27,0,16.56,5.63,21.16,15.53,18.61,14.37,0,1,0,20,41.4,84.71,135.46
12,DISTURBANCE,14,13,27,0,17.09,0.0,22.18,22.18,18.76,15.28,0,1,1,19,38.06,84.71,142.18
13,DISTURBANCE,14,13,27,0,17.71,0.0,23.06,23.06,19.2,16.1,0,1,1,19,35.4,84.71,148.92
14,DISTURBANCE,14,13,27,0,18.24,0.0,23.83,23.83,19.54,16.83,0,1,1,15,33.42,84.71,155.62
15,DISTURBANCE,14,13,27,0,18.68,0.0,24.48,24.48,19.81,17.46,0,1,1,15,31.96,84.71,162.23
16,RECOVERING,14,13,27,0,19.15,2.49,25.03,22.54,20.21,18.02,0,0,0,13,30.92,84.71,168.7
17,RECOVERING,14,13,27,0,19.57,4.96,25.5,20.54,20.56,18.51,0,0,0,12,30.13,84.71,175.02
18,RECOVERING,14,13,27,0,19.95,7.35,25.88,18.53,20.87,18.96,0,0,0,12,29.46,84.71,181.14
19,RECOVERING,14,13,27,0,20.29,9.66,26.19,16.54,21.14,19.37,0,0,0,5,28.63,84.71,187.05
20,RECOVERING,14,13,27,0,20.6,11.84,26.44,14.6,21.38,19.76,0,0,0,1,26.72,84.71,192.73
