segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,27,0,6,21,2.49,2.49,2.49,0.0,2.49,0,0,0,0,27,88.08,88.08,88.09
2,WARMING_UP,27,0,6,21,4.93,4.93,4.94,0.02,4.93,0,0,0,0,27,88.07,88.08,88.09
3,WARMING_UP,27,0,6,21,7.29,7.28,7.32,0.04,7.29,0,0,0,0,27,88.04,88.08,88.12
4,WARMING_UP,27,0,6,21,9.52,9.5,9.59,0.09,9.52,0,0,0,0,27,87.98,88.08,88.19
5,WARMING_UP,27,0,6,21,11.6,11.57,11.73,0.16,11.6,0,0,0,0,27,87.85,88.08,88.32
6,WARMING_UP,27,0,6,21,13.51,13.46,13.71,0.25,13.51,0,0,0,0,27,87.64,88.08,88.52
7,WARMING_UP,27,0,6,21,15.25,15.17,15.53,0.36,15.25,0,0,0,0,27,87.33,88.08,88.83
8,WARMING_UP,27,0,6,21,16.8,16.69,17.17,0.48,16.8,0,0,0,0,27,86.9,88.08,89.23
9,WARMING_UP,27,0,6,21,18.17,18.03,18.63,0.61,18.17,0,0,0,0,27,86.36,88.08,89.75
10,NORMAL,27,0,6,21,19.37,19.19,19.93,0.73,19.37,0,0,0,0,27,85.68,88.08,90.37
11,DISTURBANCE,27,0,6,21,19.91,7.92,21.06,13.13,19.91,0,0,1,0,25,83.97,88.08,92.13
12,DISTURBANCE,27,0,6,21,20.4,0.0,22.03,22.03,20.4,0,0,2,1,25,66.69,88.08,110.59
13,DISTURBANCE,27,0,6,21,21.02,0.0,22.87,22.87,21.02,0,0,2,1,24,48.94,88.08,132.09
14,DISTURBANCE,27,0,6,21,21.5,0.0,23.58,23.58,21.5,0,0,2,1,24,33.62,88.08,154.26
15,DISTURBANCE,27,0,6,21,21.83,0.0,24.18,24.18,21.83,0,0,3,1,8,21.26,88.08,177.01
16,RECOVERING,27,0,6,21,22.16,2.49,24.68,22.18,22.16,0,0,2,0,1,13.41,88.08,198.88
17,RECOVERING,27,0,6,21,22.43,4.96,25.09,20.13,22.43,0,0,1,0,1,10.13,88.08,218.67
18,RECOVERING,27,0,6,21,22.68,6.46,25.43,18.97,22.68,0,0,1,0,1,9.99,88.08,236.38
19,RECOVERING,27,0,6,21,22.91,7.33,25.71,18.38,22.91,0,0,1,0,2,11.74,88.08,252.03
20,RECOVERING,27,0,6,21,23.13,8.72,25.93,17.21,23.13,0,0,1,0,2,14.55,88.08,265.69
