segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,ESTABILIZANDO,21,6,6,21,1.14,0.75,1.25,0.5,1.25,0.75,0,0,6,27,80.81,86.53,88.36
2,ESTABILIZANDO,21,6,6,21,2.28,1.5,2.5,1.0,2.5,1.5,0,0,0,27,80.03,86.53,89.13
3,ESTABILIZANDO,21,6,6,21,3.42,2.25,3.75,1.5,3.75,2.25,0,0,0,27,78.76,86.53,90.41
4,ESTABILIZANDO,21,6,6,21,4.56,3.0,5.0,2.0,5.0,3.0,0,0,0,27,76.98,86.53,92.18
5,ESTABILIZANDO,21,6,6,21,5.69,3.75,6.25,2.5,6.25,3.75,0,0,0,27,74.71,86.53,94.46
6,ESTABILIZANDO,21,6,6,21,6.83,4.5,7.5,3.0,7.5,4.5,0,0,0,27,71.93,86.53,97.23
7,ESTABILIZANDO,21,6,6,21,7.97,5.25,8.75,3.5,8.75,5.25,0,0,0,27,68.66,86.53,100.51
8,ESTABILIZANDO,21,6,6,21,9.11,6.0,10.0,4.0,10.0,6.0,0,0,0,27,64.88,86.53,104.28
9,ESTABILIZANDO,21,6,6,21,10.25,6.75,11.25,4.5,11.25,6.75,0,0,0,27,60.61,86.53,108.56
10,ESTABILIZANDO,21,6,6,21,11.39,7.5,12.5,5.0,12.5,7.5,0,0,0,27,55.83,86.53,113.33
11,ESTABILIZANDO,21,6,6,21,12.53,8.25,13.75,5.5,13.75,8.25,0,0,0,27,50.56,86.53,118.61
12,ESTABILIZANDO,21,6,6,21,13.67,9.0,15.0,6.0,15.0,9.0,0,0,0,27,44.78,86.53,124.38
13,ESTABILIZANDO,21,6,6,21,14.81,9.75,16.25,6.5,16.25,9.75,0,0,0,27,38.51,86.53,130.66
14,ESTABILIZANDO,21,6,6,21,15.94,10.5,17.5,7.0,17.5,10.5,0,0,0,27,31.73,86.53,137.43
15,ESTABILIZANDO,21,6,6,21,17.08,11.25,18.75,7.5,18.75,11.25,0,0,0,27,24.46,86.53,144.71
16,ESTABILIZANDO,21,6,6,21,18.22,12.0,20.0,8.0,20.0,12.0,0,0,0,27,16.68,86.53,152.48
17,ESTABILIZANDO,21,6,6,21,19.36,12.75,21.25,8.5,21.25,12.75,0,0,0,27,8.41,86.53,160.76
18,ESTABILIZANDO,21,6,6,21,20.5,13.5,22.5,9.0,22.5,13.5,0,0,0,27,-0.37,86.53,169.53
19,ESTABILIZANDO,21,6,6,21,21.64,14.25,23.75,9.5,23.75,14.25,0,0,0,27,-9.64,86.53,178.81
20,ESTABILIZANDO,21,6,6,21,22.78,15.0,25.0,10.0,25.0,15.0,0,0,0,27,81.08,458.87,2493.86
21,ESTABILIZANDO,21,6,6,21,23.92,15.75,26.25,10.5,26.25,15.75,16,0,0,27,81.08,458.87,2483.58
22,ESTABILIZANDO,21,6,6,21,24.76,16.5,27.5,11.0,27.12,16.5,16,0,0,11,81.08,458.87,2472.93
23,ESTABILIZANDO,21,6,6,21,25.16,17.25,28.75,11.5,27.42,17.25,16,0,0,11,81.08,458.87,2462.85
24,ESTABILIZANDO,21,6,6,21,25.56,18.0,30.0,12.0,27.71,18.0,21,0,0,11,81.08,458.87,2453.51
25,ESTABILIZANDO,21,6,6,21,25.72,18.75,30.0,11.25,27.71,18.75,21,0,0,6,81.08,458.87,2444.92
26,ESTABILIZANDO,21,6,6,21,25.89,19.5,30.0,10.5,27.71,19.5,21,0,0,6,78.33,458.87,2437.08
27,ESTABILIZANDO,21,6,6,21,26.06,20.25,30.0,9.75,27.71,20.25,21,0,0,6,75.33,458.87,2430.0
28,ESTABILIZANDO,21,6,6,21,26.22,21.0,30.0,9.0,27.71,21.0,21,0,0,6,72.33,458.87,2423.66
29,ESTABILIZANDO,21,6,6,21,26.39,21.75,30.0,8.25,27.71,21.75,26,0,0,6,69.33,458.87,2418.07
30,ESTABILIZANDO,21,6,6,21,26.56,22.5,30.0,7.5,27.71,22.5,26,0,0,6,66.33,458.87,2413.23
31,ESTABILIZANDO,21,6,6,21,26.6,22.57,30.0,7.43,27.71,22.69,26,0,0,1,63.33,458.87,2408.81
32,ESTABILIZANDO,21,6,6,21,26.62,22.57,30.0,7.43,27.71,22.81,26,0,0,1,60.33,458.87,2404.38
33,ESTABILIZANDO,21,6,6,21,26.65,22.57,30.0,7.43,27.71,22.94,27,0,0,1,57.33,458.87,2399.96
34,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,54.33,458.87,2395.53
35,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,51.33,458.87,2391.11
36,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,48.33,458.87,2386.68
37,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,45.33,458.87,2382.26
38,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,42.33,458.87,2377.83
39,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,39.33,458.87,2373.41
40,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,36.33,458.87,2368.98
41,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,33.33,458.87,2364.56
42,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,30.33,458.87,2360.13
43,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,27.33,458.87,2355.71
44,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,24.33,458.87,2351.28
45,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,21.33,458.87,2346.86
46,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,18.33,458.87,2342.43
47,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,15.33,458.87,2338.01
48,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,12.33,458.87,2333.58
49,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,9.33,458.87,2329.16
50,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,6.33,458.87,2324.73
51,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,3.33,458.87,2320.31
52,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,0.33,458.87,2315.88
53,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,-2.67,458.87,2311.46
54,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,81.08,645.03,2507.61
55,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,81.08,645.03,2504.61
56,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,81.08,645.03,2501.61
57,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,81.08,645.03,2498.61
58,ESTABILIZANDO,21,6,6,21,26.66,22.57,30.0,7.43,27.71,22.98,27,0,0,0,81.08,645.03,2495.61
