segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,26,1,20,7,2.45,1.5,2.49,0.99,2.49,1.5,0,0,0,27,80.54,87.82,88.63
2,WARMING_UP,26,1,20,7,4.87,2.98,4.94,1.96,4.94,2.98,0,0,0,27,79.01,87.82,90.15
3,WARMING_UP,26,1,20,7,7.2,4.45,7.32,2.87,7.31,4.45,0,0,0,27,76.56,87.82,92.59
4,WARMING_UP,26,1,20,7,9.43,5.88,9.59,3.71,9.56,5.88,0,0,0,27,73.28,87.82,95.86
5,WARMING_UP,26,1,20,7,11.51,7.28,11.73,4.45,11.68,7.28,0,0,0,27,69.29,87.82,99.85
6,WARMING_UP,26,1,20,7,13.45,8.63,13.72,5.09,13.63,8.63,0,0,0,27,64.78,87.82,104.45
7,WARMING_UP,26,1,20,7,15.21,9.93,15.54,5.61,15.41,9.93,0,0,0,27,59.94,87.82,109.53
8,WARMING_UP,26,1,20,7,16.79,11.16,17.19,6.03,17.01,11.16,0,0,0,27,55.02,87.82,114.95
9,WARMING_UP,26,1,20,7,18.21,12.33,18.68,6.35,18.43,12.33,0,0,0,27,50.24,87.82,120.62
10,NORMAL,26,1,20,7,19.45,13.44,20.0,6.56,19.68,13.44,0,0,0,27,45.83,87.82,126.41
11,DISTURBANCE,26,1,20,7,20.04,7.99,21.16,13.17,20.25,14.47,0,1,0,24,41.96,87.82,132.24
12,DISTURBANCE,26,1,20,7,20.56,0.0,22.18,22.18,20.75,15.44,0,2,1,24,38.74,87.82,138.03
13,DISTURBANCE,26,1,20,7,21.2,0.0,23.07,23.07,21.39,16.33,0,2,1,23,36.22,87.82,143.73
14,DISTURBANCE,26,1,20,7,21.7,0.0,23.84,23.84,21.87,17.16,0,2,1,22,29.87,87.82,160.24
15,DISTURBANCE,26,1,20,7,22.06,0.0,24.5,24.5,22.22,17.93,0,3,1,18,18.08,87.82,184.17
16,RECOVERING,26,1,20,7,22.41,2.49,25.06,22.57,22.56,18.63,0,2,0,11,10.99,87.82,207.26
17,RECOVERING,26,1,20,7,22.72,4.96,25.55,20.59,22.85,19.27,0,1,0,2,8.39,87.82,228.33
18,RECOVERING,26,1,20,7,23.0,6.15,25.96,19.81,23.12,19.85,0,1,0,3,8.69,87.82,247.34
19,RECOVERING,26,1,20,7,23.25,7.23,26.31,19.08,23.36,20.38,0,2,0,3,10.63,87.82,264.32
20,RECOVERING,26,1,20,7,23.48,8.76,26.61,17.85,23.58,20.86,0,1,0,2,13.45,87.82,279.31
