segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,14,13,20,7,2.01,1.49,2.49,1.0,2.49,1.5,0,0,0,27,80.54,84.71,88.63
2,WARMING_UP,14,13,20,7,3.99,2.97,4.94,1.97,4.94,2.98,0,0,0,27,79.0,84.71,90.17
3,WARMING_UP,14,13,20,7,5.92,4.42,7.32,2.9,7.3,4.44,0,0,0,27,76.54,84.71,92.64
4,WARMING_UP,14,13,20,7,7.76,5.83,9.59,3.76,9.52,5.87,0,0,0,27,73.22,84.71,96.01
5,WARMING_UP,14,13,20,7,9.5,7.19,11.73,4.54,11.58,7.25,0,0,0,27,69.16,84.71,100.17
6,WARMING_UP,14,13,20,7,11.1,8.49,13.72,5.23,13.43,8.58,0,0,0,27,64.53,84.71,105.05
7,WARMING_UP,14,13,20,7,12.55,9.71,15.54,5.83,15.05,9.86,0,0,0,27,59.53,84.71,110.54
8,WARMING_UP,14,13,20,7,13.84,10.86,17.19,6.33,16.42,11.06,0,0,0,27,54.39,84.71,116.55
9,WARMING_UP,14,13,20,7,14.96,11.94,18.67,6.73,17.53,12.2,0,0,0,27,49.34,84.71,122.97
10,NORMAL,14,13,20,7,15.93,12.94,19.99,7.05,18.4,13.27,0,0,0,25,44.62,84.71,129.72
11,DISTURBANCE,14,13,20,7,16.2,0.94,21.14,20.2,18.93,13.27,0,2,1,18,33.92,84.71,136.71
12,DISTURBANCE,14,13,20,7,16.65,0.0,22.14,22.14,19.06,14.06,0,2,1,17,20.42,84.71,143.85
13,DISTURBANCE,14,13,20,7,17.02,0.0,22.99,22.99,19.05,14.85,0,2,1,16,11.25,84.71,151.07
14,DISTURBANCE,14,13,20,7,17.32,0.0,23.7,23.7,18.93,15.57,0,3,1,13,5.78,84.71,158.3
15,DISTURBANCE,14,13,20,7,17.54,0.0,24.28,24.28,18.76,16.24,0,3,1,13,3.15,84.71,165.47
16,JAM_ACTIVE,14,13,20,7,17.81,0.89,24.72,23.83,18.61,16.95,0,1,1,13,2.89,84.71,172.9
17,RECOVERING,14,13,20,7,18.08,1.48,25.03,23.55,18.53,17.59,0,1,0,13,4.07,84.71,189.47
18,RECOVERING,14,13,20,7,18.36,2.65,25.23,22.58,18.54,18.17,0,1,0,9,5.76,84.71,205.14
19,RECOVERING,14,13,20,7,18.65,4.02,25.31,21.29,18.63,18.67,0,0,0,4,7.59,84.71,219.88
20,RECOVERING,14,13,20,7,18.94,4.65,25.29,20.63,18.78,19.11,0,0,0,2,7.73,84.71,233.67
21,RECOVERING,14,13,20,7,19.22,5.25,25.17,19.92,18.97,19.49,0,0,0,3,9.0,84.71,246.53
