segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,25,2,27,0,2.42,1.5,2.49,0.99,2.49,1.5,0,0,0,27,80.54,87.57,88.63
2,WARMING_UP,25,2,27,0,4.8,2.98,4.94,1.96,4.94,2.98,0,0,0,27,79.01,87.57,90.16
3,WARMING_UP,25,2,27,0,7.11,4.45,7.32,2.87,7.32,4.45,0,0,0,27,76.56,87.57,92.63
4,WARMING_UP,25,2,27,0,9.31,5.88,9.59,3.71,9.58,5.88,0,0,0,27,73.28,87.57,95.97
5,WARMING_UP,25,2,27,0,11.39,7.28,11.73,4.45,11.71,7.28,0,0,0,27,69.29,87.57,100.09
6,WARMING_UP,25,2,27,0,13.31,8.63,13.72,5.09,13.68,8.63,0,0,0,27,64.78,87.57,104.9
7,WARMING_UP,25,2,27,0,15.07,9.93,15.54,5.61,15.48,9.93,0,0,0,27,59.94,87.57,110.28
8,WARMING_UP,25,2,27,0,16.66,11.16,17.19,6.03,17.1,11.16,0,0,0,27,55.02,87.57,116.14
9,WARMING_UP,25,2,27,0,18.07,12.33,18.68,6.34,18.53,12.33,0,0,0,27,50.24,87.57,122.35
10,NORMAL,25,2,27,0,19.32,13.44,20.0,6.56,19.79,13.44,0,0,0,27,45.83,87.57,128.82
11,DISTURBANCE,25,2,27,0,19.91,8.0,21.16,13.16,20.34,14.47,0,1,0,23,41.96,87.57,135.46
12,DISTURBANCE,25,2,27,0,20.43,0.0,22.18,22.18,20.83,15.44,0,2,1,23,38.74,87.57,142.19
13,DISTURBANCE,25,2,27,0,21.07,0.0,23.07,23.07,21.45,16.33,0,2,1,22,36.22,87.57,148.93
14,DISTURBANCE,25,2,27,0,21.58,0.0,23.84,23.84,21.93,17.16,0,2,1,20,29.88,87.57,160.97
15,DISTURBANCE,25,2,27,0,21.94,0.0,24.5,24.5,22.26,17.93,0,3,1,19,18.08,87.57,185.18
16,RECOVERING,25,2,27,0,22.3,2.49,25.06,22.57,22.6,18.63,0,2,0,19,10.99,87.57,208.63
17,RECOVERING,25,2,27,0,22.62,4.96,25.55,20.59,22.88,19.27,0,1,0,3,8.39,87.57,230.11
18,RECOVERING,25,2,27,0,22.9,6.15,25.96,19.81,23.14,19.85,0,1,0,4,8.69,87.57,249.61
19,RECOVERING,25,2,27,0,23.16,7.23,26.31,19.08,23.38,20.38,0,2,0,4,10.63,87.57,267.13
20,RECOVERING,25,2,27,0,23.4,8.76,26.61,17.85,23.61,20.86,0,1,0,2,13.45,87.57,282.74
