segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,27,0,0,27,2.49,2.49,2.49,0.0,2.49,0,0,0,0,27,88.08,88.08,88.08
2,WARMING_UP,27,0,0,27,4.93,4.93,4.93,0.0,4.93,0,0,0,0,27,88.08,88.08,88.08
3,WARMING_UP,27,0,0,27,7.28,7.28,7.28,0.0,7.28,0,0,0,0,27,88.08,88.08,88.08
4,WARMING_UP,27,0,0,27,9.5,9.5,9.5,0.0,9.5,0,0,0,0,27,88.08,88.08,88.08
5,WARMING_UP,27,0,0,27,11.57,11.57,11.57,0.0,11.57,0,0,0,0,27,88.08,88.08,88.08
6,WARMING_UP,27,0,0,27,13.46,13.46,13.46,0.0,13.46,0,0,0,0,27,88.08,88.08,88.08
7,WARMING_UP,27,0,0,27,15.17,15.17,15.17,0.0,15.17,0,0,0,0,27,88.08,88.08,88.08
8,WARMING_UP,27,0,0,27,16.69,16.69,16.69,0.0,16.69,0,0,0,0,27,88.08,88.08,88.08
9,WARMING_UP,27,0,0,27,18.03,18.03,18.03,0.0,18.03,0,0,0,0,27,88.08,88.08,88.08
10,NORMAL,27,0,0,27,19.19,19.19,19.19,0.0,19.19,0,0,0,0,27,88.08,88.08,88.08
11,DISTURBANCE,27,0,0,27,19.71,7.19,20.2,13.01,19.71,0,0,1,0,25,81.05,88.08,95.25
12,DISTURBANCE,27,0,0,27,20.19,0.0,21.07,21.07,20.19,0,0,2,1,25,63.55,88.08,114.14
13,DISTURBANCE,27,0,0,27,20.78,0.0,21.8,21.8,20.78,0,0,2,1,24,46.16,88.08,135.63
14,DISTURBANCE,27,0,0,27,21.24,0.0,22.43,22.43,21.24,0,0,2,1,24,31.29,88.08,157.78
15,DISTURBANCE,27,0,0,27,21.56,0.0,22.95,22.95,21.56,0,0,2,1,0,19.49,88.08,180.5
16,RECOVERING,27,0,0,27,21.88,2.49,23.39,20.9,21.88,0,0,2,0,1,12.22,88.08,202.33
17,RECOVERING,27,0,0,27,22.16,4.95,23.76,18.81,22.16,0,0,1,0,1,9.44,88.08,222.08
18,RECOVERING,27,0,0,27,22.42,6.15,24.07,17.92,22.42,0,0,1,0,2,9.66,88.08,239.76
19,RECOVERING,27,0,0,27,22.65,7.11,24.32,17.21,22.65,0,0,1,0,2,11.61,88.08,255.4
20,RECOVERING,27,0,0,27,22.86,8.55,24.54,15.99,22.86,0,0,2,0,2,14.49,88.08,269.09
