segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,ESTABILIZANDO,25,2,13,14,1.21,0.75,1.25,0.5,1.25,0.75,0,0,2,27,80.81,87.57,88.36
2,ESTABILIZANDO,25,2,13,14,2.43,1.5,2.5,1.0,2.5,1.5,0,0,0,27,80.03,87.57,89.13
3,ESTABILIZANDO,25,2,13,14,3.64,2.25,3.75,1.5,3.75,2.25,0,0,0,27,78.76,87.57,90.41
4,ESTABILIZANDO,25,2,13,14,4.85,3.0,5.0,2.0,5.0,3.0,0,0,0,27,76.98,87.57,92.18
5,ESTABILIZANDO,25,2,13,14,6.06,3.75,6.25,2.5,6.25,3.75,0,0,0,27,74.71,87.57,94.46
6,ESTABILIZANDO,25,2,13,14,7.28,4.5,7.5,3.0,7.5,4.5,0,0,0,27,71.93,87.57,97.23
7,ESTABILIZANDO,25,2,13,14,8.49,5.25,8.75,3.5,8.75,5.25,0,0,0,27,68.66,87.57,100.51
8,ESTABILIZANDO,25,2,13,14,9.7,6.0,10.0,4.0,10.0,6.0,0,0,0,27,64.88,87.57,104.28
9,ESTABILIZANDO,25,2,13,14,10.92,6.75,11.25,4.5,11.25,6.75,0,0,0,27,60.61,87.57,108.56
10,ESTABILIZANDO,25,2,13,14,12.13,7.5,12.5,5.0,12.5,7.5,0,0,0,27,55.83,87.57,113.33
11,ESTABILIZANDO,25,2,13,14,13.34,8.25,13.75,5.5,13.75,8.25,0,0,0,27,50.56,87.57,118.61
12,ESTABILIZANDO,25,2,13,14,14.56,9.0,15.0,6.0,15.0,9.0,0,0,0,27,44.78,87.57,124.38
13,ESTABILIZANDO,25,2,13,14,15.77,9.75,16.25,6.5,16.25,9.75,0,0,0,27,38.51,87.57,130.66
14,ESTABILIZANDO,25,2,13,14,16.98,10.5,17.5,7.0,17.5,10.5,0,0,0,27,31.73,87.57,137.43
15,ESTABILIZANDO,25,2,13,14,18.19,11.25,18.75,7.5,18.75,11.25,0,0,0,27,24.46,87.57,144.71
16,ESTABILIZANDO,25,2,13,14,19.41,12.0,20.0,8.0,20.0,12.0,0,0,0,27,16.68,87.57,152.48
17,ESTABILIZANDO,25,2,13,14,20.62,12.75,21.25,8.5,21.25,12.75,0,0,0,27,8.41,87.57,160.76
18,ESTABILIZANDO,25,2,13,14,21.83,13.5,22.5,9.0,22.5,13.5,0,0,0,27,-0.37,87.57,169.53
19,ESTABILIZANDO,25,2,13,14,23.05,14.25,23.75,9.5,23.75,14.25,0,0,0,27,-9.64,87.57,178.81
20,ESTABILIZANDO,25,2,13,14,24.26,15.0,25.0,10.0,25.0,15.0,0,0,0,27,88.08,273.73,2493.86
21,ESTABILIZANDO,25,2,13,14,25.47,15.75,26.25,10.5,26.25,15.75,14,0,0,27,88.08,273.73,2483.58
22,ESTABILIZANDO,25,2,13,14,26.43,16.5,27.5,11.0,27.22,16.5,14,0,0,13,87.96,273.73,2472.93
23,ESTABILIZANDO,25,2,13,14,26.99,17.25,28.75,11.5,27.77,17.25,14,0,0,13,86.77,273.73,2462.85
24,ESTABILIZANDO,25,2,13,14,27.56,18.0,30.0,12.0,28.32,18.0,25,0,0,13,84.33,273.73,2453.51
25,ESTABILIZANDO,25,2,13,14,27.61,18.75,30.0,11.25,28.32,18.75,25,0,0,2,81.33,273.73,2444.92
26,ESTABILIZANDO,25,2,13,14,27.67,19.5,30.0,10.5,28.32,19.5,25,0,0,2,78.33,273.73,2437.08
27,ESTABILIZANDO,25,2,13,14,27.72,20.25,30.0,9.75,28.32,20.25,25,0,0,2,75.33,273.73,2430.0
28,ESTABILIZANDO,25,2,13,14,27.78,21.0,30.0,9.0,28.32,21.0,25,0,0,2,72.33,273.73,2423.66
29,ESTABILIZANDO,25,2,13,14,27.83,21.75,30.0,8.25,28.32,21.75,25,0,0,2,69.33,273.73,2418.07
30,ESTABILIZANDO,25,2,13,14,27.89,22.5,30.0,7.5,28.32,22.5,25,0,0,2,66.33,273.73,2413.23
31,ESTABILIZANDO,25,2,13,14,27.94,23.25,30.0,6.75,28.32,23.25,25,0,0,2,63.33,273.73,2409.15
32,ESTABILIZANDO,25,2,13,14,28.0,24.0,30.0,6.0,28.32,24.0,25,0,0,2,60.33,273.73,2405.81
