segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,21,6,13,14,2.27,1.5,2.49,1.0,2.49,1.5,0,0,0,27,80.54,86.53,88.63
2,WARMING_UP,21,6,13,14,4.5,2.98,4.94,1.97,4.93,2.98,0,0,0,27,79.01,86.53,90.17
3,WARMING_UP,21,6,13,14,6.66,4.43,7.32,2.89,7.29,4.44,0,0,0,27,76.55,86.53,92.64
4,WARMING_UP,21,6,13,14,8.71,5.85,9.59,3.74,9.52,5.87,0,0,0,27,73.26,86.53,96.0
5,WARMING_UP,21,6,13,14,10.63,7.23,11.73,4.5,11.59,7.26,0,0,0,27,69.25,86.53,100.17
6,WARMING_UP,21,6,13,14,12.39,8.54,13.72,5.17,13.47,8.59,0,0,0,27,64.7,86.53,105.04
7,WARMING_UP,21,6,13,14,13.98,9.8,15.54,5.74,15.16,9.87,0,0,0,27,59.8,86.53,110.53
8,WARMING_UP,21,6,13,14,15.4,10.98,17.19,6.21,16.63,11.08,0,0,0,27,54.79,86.53,116.51
9,WARMING_UP,21,6,13,14,16.64,12.09,18.67,6.58,17.89,12.23,0,0,0,27,49.91,86.53,122.91
10,NORMAL,21,6,13,14,17.7,13.12,19.98,6.87,18.96,13.3,0,0,0,27,45.39,86.53,129.6
11,DISTURBANCE,21,6,13,14,18.07,1.44,21.14,19.7,19.77,12.13,0,2,0,21,35.37,86.53,139.4
12,DISTURBANCE,21,6,13,14,18.57,0.0,22.13,22.13,20.26,12.65,0,2,1,20,21.49,86.53,160.2
13,DISTURBANCE,21,6,13,14,19.0,0.0,22.98,22.98,20.6,13.36,0,2,1,17,11.95,86.53,181.81
14,DISTURBANCE,21,6,13,14,19.32,0.0,23.68,23.68,20.83,14.01,0,3,1,16,6.17,86.53,204.13
15,DISTURBANCE,21,6,13,14,19.54,0.0,24.26,24.26,20.95,14.6,0,3,1,11,3.31,86.53,227.05
16,JAM_ACTIVE,21,6,13,14,19.77,0.97,24.7,23.74,21.02,15.39,0,1,1,6,2.94,86.53,249.65
17,RECOVERING,21,6,13,14,19.97,1.51,25.1,23.59,21.07,16.12,0,2,0,6,4.07,86.53,271.18
18,RECOVERING,21,6,13,14,20.13,2.66,25.44,22.78,21.08,16.81,0,2,0,4,5.75,86.53,291.59
19,RECOVERING,21,6,13,14,20.26,4.02,25.71,21.69,21.07,17.44,0,1,0,4,7.6,86.53,310.83
20,RECOVERING,21,6,13,14,20.38,4.77,25.94,21.17,21.05,18.03,0,2,0,2,7.81,86.53,328.89
21,RECOVERING,21,6,13,14,20.47,5.32,26.11,20.79,21.02,18.57,0,2,0,3,9.02,86.53,345.75
