segundo,estado,sub_estado,avg_velocity,min_velocity,max_velocity,velocity_variance,v_diff,car_mean_velocity,truck_mean_velocity,car_velocity_variance,truck_velocity_variance,avg_gap,min_gap,median_gap,vehicles_stopped,vehicles_cruising,vehicles_braking,vehicles_accelerating,cumulative_throughput,near_collisions,hard_brakes
1,ESTABILIZANDO,,0.75,0.75,0.75,0.0,0.0,0.75,0,0.0,0,78.78,78.78,78.78,30,0,0,30,0,0,0
2,ESTABILIZANDO,,1.5,1.5,1.5,0.0,0.0,1.5,0,0.0,0,78.78,78.78,78.78,0,0,0,30,0,0,0
3,ESTABILIZANDO,,2.25,2.25,2.25,0.0,0.0,2.25,0,0.0,0,78.78,78.78,78.78,0,0,0,30,0,0,0
4,ESTABILIZANDO,,3.0,3.0,3.0,0.0,0.0,3.0,0,0.0,0,78.78,78.78,78.78,0,0,0,30,0,0,0
5,ESTABILIZANDO,,3.75,3.75,3.75,0.0,0.0,3.75,0,0.0,0,78.78,78.78,78.78,0,0,0,30,0,0,0
6,ESTABILIZANDO,,4.5,4.5,4.5,0.0,0.0,4.5,0,0.0,0,78.78,78.78,78.78,0,0,0,30,0,0,0
7,FLUJO_SINCRO,,5.96,5.95,5.97,0.0,0.01,5.96,0,0.0,0,78.78,78.77,78.78,0,0,0,30,0,0,0
8,FLUJO_SINCRO,,7.41,7.38,7.41,0.0,0.03,7.41,0,0.0,0,78.78,78.75,78.78,0,0,0,30,0,0,0
9,FLUJO_SINCRO,,8.83,8.79,8.84,0.0,0.05,8.83,0,0.0,0,78.78,78.7,78.78,0,0,0,30,0,0,0
10,FLUJO_SINCRO,,10.23,10.17,10.25,0.0,0.08,10.23,0,0.0,0,78.78,78.64,78.78,0,0,0,30,0,0,0
11,FRENADA_ORIGEN,,11.27,2.25,11.62,2.81,9.37,11.27,0,2.81,0,78.78,73.67,78.78,0,0,1,29,0,0,10
12,FRENADA_ORIGEN,,12.45,0.0,12.96,5.37,12.96,12.45,0,5.37,0,78.78,62.07,78.78,1,0,0,28,0,0,12
