segundo,estado,sub_estado,avg_velocity,min_velocity,max_velocity,velocity_variance,v_diff,car_mean_velocity,truck_mean_velocity,car_velocity_variance,truck_velocity_variance,avg_gap,min_gap,median_gap,vehicles_stopped,vehicles_cruising,vehicles_braking,vehicles_accelerating,cumulative_throughput,near_collisions,hard_brakes
1,ESTABILIZANDO,,0.49,0.4,0.75,0.02,0.35,0.75,0.4,0.0,0.0,73.64,71.58,71.78,30,0,0,8,0,0,0
2,ESTABILIZANDO,,0.99,0.8,1.5,0.1,0.7,1.5,0.8,0.0,0.0,73.64,71.04,71.78,22,0,0,8,0,0,0
3,ESTABILIZANDO,,1.48,1.2,2.25,0.22,1.05,2.25,1.2,0.0,0.0,73.64,70.15,71.78,0,0,0,8,0,0,0
4,ESTABILIZANDO,,1.97,1.6,3.0,0.38,1.4,3.0,1.6,0.0,0.0,73.64,68.91,71.78,0,0,0,8,0,0,0
5,ESTABILIZANDO,,2.47,2.0,3.75,0.6,1.75,3.75,2.0,0.0,0.0,73.64,67.31,71.78,0,0,0,8,0,0,0
6,ESTABILIZANDO,,2.96,2.4,4.5,0.86,2.1,4.5,2.4,0.0,0.0,73.64,65.37,71.78,0,0,0,8,0,0,0
7,ESTABILIZANDO,,3.45,2.8,5.25,1.17,2.45,5.25,2.8,0.0,0.0,73.64,63.08,71.78,0,0,0,8,0,0,0
8,ESTABILIZANDO,,3.95,3.2,6.0,1.53,2.8,6.0,3.2,0.0,0.0,73.64,60.44,71.78,0,0,0,8,0,0,0
9,ESTABILIZANDO,,4.44,3.6,6.75,1.94,3.15,6.75,3.6,0.0,0.0,73.64,57.44,71.78,0,0,0,8,0,0,0
10,ESTABILIZANDO,,4.93,4.0,7.5,2.4,3.5,7.5,4.0,0.0,0.0,73.64,54.1,71.78,0,0,0,8,0,0,0
11,ESTABILIZANDO,,5.43,4.4,8.25,2.9,3.85,8.25,4.4,0.0,0.0,73.64,50.41,71.78,0,0,0,8,0,0,0
12,ESTABILIZANDO,,5.92,4.8,9.0,3.45,4.2,9.0,4.8,0.0,0.0,73.64,46.37,71.78,0,0,0,8,0,0,0
13,ESTABILIZANDO,,6.41,5.2,9.75,4.05,4.55,9.75,5.2,0.0,0.0,73.64,41.97,71.78,0,0,0,8,0,0,0
14,ESTABILIZANDO,,6.91,5.6,10.5,4.7,4.9,10.5,5.6,0.0,0.0,73.64,37.23,71.78,0,0,0,8,0,0,0
15,ESTABILIZANDO,,7.4,6.0,11.25,5.39,5.25,11.25,6.0,0.0,0.0,73.64,32.14,71.78,0,0,0,8,0,0,0
16,ESTABILIZANDO,,7.89,6.4,12.0,6.13,5.6,12.0,6.4,0.0,0.0,73.64,26.7,71.78,0,0,0,8,0,0,0
17,ESTABILIZANDO,,8.39,6.8,12.75,6.92,5.95,12.75,6.8,0.0,0.0,73.64,20.9,71.78,0,0,0,8,0,0,0
18,ESTABILIZANDO,,8.88,7.2,13.5,7.76,6.3,13.5,7.2,0.0,0.0,73.64,14.76,71.78,0,0,0,8,0,0,0
19,ESTABILIZANDO,,9.37,7.6,14.25,8.65,6.65,14.25,7.6,0.0,0.0,73.64,8.27,71.78,0,0,0,8,0,0,0
20,ESTABILIZANDO,,9.87,8.0,15.0,9.58,7.0,15.0,8.0,0.0,0.0,73.64,1.43,71.78,0,0,0,8,0,5,0
21,ESTABILIZANDO,,10.36,8.4,15.75,10.56,7.35,15.75,8.4,0.0,0.0,73.64,-5.77,71.78,0,0,0,8,0,55,0
22,ESTABILIZANDO,,10.85,8.8,16.5,11.59,7.7,16.5,8.8,0.0,0.0,492.52,71.78,71.78,0,0,0,8,0,95,0
23,ESTABILIZANDO,,11.35,9.2,17.25,12.67,8.05,17.25,9.2,0.0,0.0,492.52,71.78,71.78,0,0,0,8,0,95,0
24,ESTABILIZANDO,,11.84,9.6,18.0,13.8,8.4,18.0,9.6,0.0,0.0,492.52,71.78,71.78,0,0,0,8,0,95,0
25,ESTABILIZANDO,,12.33,10.0,18.75,14.97,8.75,18.75,10.0,0.0,0.0,492.52,71.78,71.78,0,0,0,8,0,95,0
26,ESTABILIZANDO,,12.83,10.4,19.5,16.19,9.1,19.5,10.4,0.0,0.0,492.52,71.78,71.78,0,0,0,8,0,95,0
27,ESTABILIZANDO,,13.32,10.8,20.25,17.46,9.45,20.25,10.8,0.0,0.0,492.52,71.78,71.78,0,0,0,8,0,95,0
28,ESTABILIZANDO,,13.81,11.2,21.0,18.78,9.8,21.0,11.2,0.0,0.0,492.52,71.78,71.78,0,0,0,8,0,95,0
29,ESTABILIZANDO,,14.31,11.6,21.75,20.15,10.15,21.75,11.6,0.0,0.0,492.52,71.78,71.78,0,0,0,8,0,95,0
30,ESTABILIZANDO,,14.8,12.0,22.5,21.56,10.5,22.5,12.0,0.0,0.0,492.52,71.78,71.78,0,0,0,8,0,95,0
31,ESTABILIZANDO,,15.29,12.4,23.25,23.02,10.85,23.25,12.4,0.0,0.0,492.52,71.78,71.78,0,0,0,8,0,95,0
32,ESTABILIZANDO,,15.79,12.8,24.0,24.53,11.2,24.0,12.8,0.0,0.0,492.52,71.78,71.78,0,0,0,8,0,95,0
33,ESTABILIZANDO,,16.28,13.2,24.75,26.09,11.55,24.75,13.2,0.0,0.0,492.52,71.78,71.78,0,6,0,8,0,95,0
34,ESTABILIZANDO,,16.77,13.6,25.5,27.69,11.9,25.5,13.6,0.0,0.0,492.52,71.78,71.78,0,6,0,8,0,95,0
35,ESTABILIZANDO,,17.13,14.0,26.25,26.99,12.25,25.74,14.0,0.09,0.0,492.52,71.78,71.78,0,6,0,2,0,95,0
36,ESTABILIZANDO,,17.47,14.4,27.0,26.1,12.6,25.93,14.4,0.38,0.0,492.52,71.78,71.78,0,6,0,2,0,95,0
37,ESTABILIZANDO,,17.82,14.8,27.75,25.29,12.95,26.12,14.8,0.89,0.0,492.52,71.78,71.78,0,6,0,2,0,95,0
38,ESTABILIZANDO,,18.16,15.2,28.5,24.55,13.3,26.31,15.2,1.6,0.0,492.52,71.78,71.78,0,6,0,2,0,95,0
39,ESTABILIZANDO,,18.5,15.6,29.25,23.88,13.65,26.49,15.6,2.53,0.0,492.52,69.59,71.78,0,8,0,2,0,95,0
40,ESTABILIZANDO,,18.85,16.0,30.0,23.29,14.0,26.68,16.0,3.67,0.0,492.52,65.5,71.78,0,8,0,2,0,95,0
41,ESTABILIZANDO,,19.14,16.4,30.0,21.65,13.6,26.68,16.4,3.67,0.0,492.52,61.08,71.78,0,8,0,0,0,95,0
42,ESTABILIZANDO,,19.43,16.8,30.0,20.07,13.2,26.68,16.8,3.67,0.0,492.52,56.65,71.78,0,8,0,0,0,95,0
