segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,car_mean_velocity,car_velocity_variance,truck_mean_velocity,truck_velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,max_gap,avg_gap,std_gap,median_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,29,1,7,23,0.738,0.4,0.75,0.004,0.75,0.0,0.4,0.0,1,1,60,0,0,30,29,71.58,78.97,78.54,1.29,78.78,0,0,0.738,0.75,0.4
2,ESTABILIZANDO,29,1,7,23,1.477,0.8,1.5,0.016,1.5,0.0,0.8,0.0,0,1,0,0,0,1,29,71.04,79.51,78.54,1.4,78.78,0,0,0.738,0.75,0.4
3,ESTABILIZANDO,29,1,7,23,2.215,1.2,2.25,0.036,2.25,0.0,1.2,0.0,0,1,0,0,0,0,29,70.15,80.4,78.54,1.59,78.78,0,0,0.738,0.75,0.4
4,ESTABILIZANDO,29,1,7,23,2.953,1.6,3.0,0.063,3.0,0.0,1.6,0.0,0,1,0,0,0,0,29,68.91,81.65,78.54,1.86,78.78,0,0,0.738,0.75,0.4
5,ESTABILIZANDO,29,1,7,23,3.692,2.0,3.75,0.099,3.75,0.0,2.0,0.0,0,1,0,0,0,0,29,67.31,83.24,78.54,2.23,78.78,0,0,0.738,0.75,0.4
6,ESTABILIZANDO,29,1,7,23,4.43,2.4,4.5,0.142,4.5,0.0,2.4,0.0,0,1,0,0,0,0,29,65.37,85.18,78.54,2.7,78.78,0,0,0.738,0.75,0.4
7,ESTABILIZANDO,29,1,7,23,5.168,2.8,5.25,0.193,5.25,0.0,2.8,0.0,0,1,0,0,0,0,29,63.08,87.47,78.54,3.27,78.78,0,0,0.738,0.75,0.4
8,ESTABILIZANDO,29,1,7,23,5.907,3.2,6.0,0.253,6.0,0.0,3.2,0.0,0,1,0,0,0,0,29,60.44,90.12,78.54,3.93,78.78,0,0,0.738,0.75,0.4
9,ESTABILIZANDO,29,1,7,23,6.645,3.6,6.75,0.32,6.75,0.0,3.6,0.0,0,1,0,0,0,0,29,57.44,93.11,78.54,4.69,78.78,0,0,0.738,0.75,0.4
10,ESTABILIZANDO,29,1,7,23,7.383,4.0,7.5,0.395,7.5,0.0,4.0,0.0,0,1,0,0,0,0,29,54.1,96.45,78.54,5.54,78.78,0,0,0.738,0.75,0.4
11,FRENANDO,29,1,7,23,8.463,0.0,8.928,3.013,8.589,2.638,4.798,0.0,0,1,0,0,1,1,29,50.4,100.29,78.54,6.63,78.78,0,10,1.044,1.417,-8.0
12,FRENANDO,29,1,7,23,9.748,0.0,10.33,3.995,9.891,3.518,5.595,0.0,0,1,0,0,1,1,29,46.44,104.71,78.54,8.46,78.78,0,20,0.997,1.389,-8.0
13,RECUPERANDO,29,1,7,23,10.984,0.149,11.7,4.998,11.142,4.418,6.391,0.0,0,1,0,0,0,1,29,42.42,109.69,78.54,10.88,78.78,0,29,1.252,1.495,0.39
14,RECUPERANDO,29,1,7,23,12.2,1.645,13.031,5.138,12.373,4.419,7.186,0.0,0,1,0,0,0,0,28,38.55,116.15,78.54,13.56,78.78,0,29,1.184,1.496,0.033
15,RECUPERANDO,29,1,7,23,13.343,3.141,14.315,5.415,13.528,4.575,7.979,0.0,1,2,60,0,0,0,28,35.06,127.42,78.54,16.24,78.78,0,29,1.109,1.496,-0.264
16,RECUPERANDO,29,1,7,23,14.409,4.637,15.543,5.867,14.603,4.934,8.768,0.0,0,2,0,0,0,0,28,30.37,138.45,78.54,18.82,78.78,0,29,1.029,1.496,-0.408
17,RECUPERANDO,29,1,7,23,15.394,6.132,16.706,6.463,15.595,5.468,9.553,0.0,0,2,0,0,0,0,27,25.99,149.18,78.54,21.29,78.78,0,29,0.948,1.493,-0.357
18,RECUPERANDO,29,1,7,23,16.297,7.622,17.795,7.1,16.503,6.075,10.332,0.0,0,2,0,0,0,0,26,23.43,159.54,78.54,23.64,78.78,0,29,0.867,1.487,-0.143
19,RECUPERANDO,29,1,7,23,17.119,9.103,18.803,7.67,17.326,6.644,11.105,0.0,0,2,0,0,0,0,26,22.47,169.46,78.54,25.9,78.78,0,29,0.785,1.475,-0.174
20,RECUPERANDO,29,1,7,23,17.859,9.738,19.722,8.112,18.066,7.112,11.869,0.0,1,3,60,0,0,0,25,22.8,178.87,78.54,28.05,78.78,0,29,0.704,1.456,-0.36
21,RECUPERANDO,29,1,7,23,18.52,10.305,20.547,8.412,18.723,7.462,12.623,0.0,0,3,0,0,0,0,25,24.13,187.69,78.54,30.11,78.78,0,29,0.626,1.428,-0.414
22,RECUPERANDO,29,1,7,23,19.104,11.072,21.277,8.573,19.302,7.694,13.365,0.0,0,3,0,0,0,0,24,26.21,195.86,78.54,32.06,78.78,0,29,0.551,1.388,-0.345
23,RECUPERANDO,29,1,7,23,19.617,11.978,21.912,8.6,19.808,7.808,14.092,0.0,0,3,0,0,0,0,22,28.82,203.32,78.54,33.88,78.78,0,29,0.483,1.336,-0.21
24,RECUPERANDO,29,1,7,23,20.065,12.97,22.455,8.497,20.247,7.803,14.803,0.0,0,3,0,0,0,0,6,30.04,210.04,78.54,35.58,78.79,0,29,0.42,1.269,-0.314
25,RECUPERANDO,29,1,7,23,20.454,14.005,22.911,8.276,20.625,7.685,15.496,0.0,1,4,60,0,0,0,4,31.35,216.0,78.54,37.15,78.8,0,29,0.364,1.188,-0.361
26,RECUPERANDO,29,1,7,23,20.79,14.487,23.288,7.956,20.95,7.468,16.168,0.0,0,4,0,0,0,0,4,32.28,221.18,78.54,38.58,78.81,0,29,0.315,1.095,-0.337
27,RECUPERANDO,29,1,7,23,21.08,14.933,23.593,7.557,21.227,7.169,16.817,0.0,0,4,0,0,0,0,5,33.18,225.62,78.54,39.89,78.82,0,29,0.271,1.012,-0.291
28,RECUPERANDO,29,1,7,23,21.33,15.491,23.835,7.104,21.464,6.81,17.441,0.0,1,5,60,0,0,0,5,34.57,229.35,78.54,41.06,78.84,0,29,0.233,0.963,-0.277
29,RECUPERANDO,29,1,7,23,21.544,16.103,24.023,6.62,21.664,6.41,18.039,0.0,0,5,0,0,0,0,5,35.28,232.42,78.54,42.12,78.86,0,29,0.199,0.899,-0.273
30,RECUPERANDO,29,1,7,23,21.727,16.399,24.166,6.126,21.834,5.991,18.609,0.0,0,5,0,0,0,0,5,35.82,234.89,78.54,43.05,78.89,0,29,0.171,0.823,-0.268
31,RECUPERANDO,29,1,7,23,21.884,16.743,24.271,5.642,21.978,5.57,19.15,0.0,1,6,60,0,0,0,5,36.6,236.82,78.54,43.87,78.92,0,29,0.146,0.741,-0.319
32,RECUPERANDO,29,1,7,23,22.019,17.118,24.344,5.182,22.1,5.163,19.661,0.0,0,6,0,0,0,0,3,37.56,238.29,78.54,44.58,78.95,0,29,0.126,0.656,-0.354
33,RECUPERANDO,29,1,7,23,22.135,17.511,24.393,4.758,22.204,4.781,20.141,0.0,0,6,0,0,0,0,2,38.64,239.34,78.54,45.2,78.98,0,29,0.109,0.615,-0.361
34,RECUPERANDO,29,1,7,23,22.236,17.911,24.422,4.375,22.293,4.429,20.589,0.0,0,6,0,0,0,0,1,39.8,240.05,78.54,45.71,79.02,0,29,0.095,0.569,-0.353
35,RECUPERANDO,29,1,7,23,22.324,18.109,24.436,4.033,22.369,4.11,21.006,0.0,1,7,60,0,0,0,1,40.41,240.47,78.54,46.14,78.86,0,29,0.083,0.517,-0.359
36,RECUPERANDO,29,1,7,23,22.402,18.286,24.438,3.729,22.436,3.821,21.391,0.0,0,7,0,0,0,0,0,40.73,241.26,78.54,46.48,77.85,0,29,0.074,0.463,-0.348
37,RECUPERANDO,29,1,7,23,22.471,18.496,24.551,3.458,22.496,3.559,21.746,0.0,0,7,0,1,0,0,0,41.24,243.65,78.54,46.76,76.73,0,29,0.066,0.409,-0.321
38,RECUPERANDO,29,1,7,23,22.533,18.728,24.698,3.216,22.549,3.319,22.071,0.0,0,7,0,1,0,0,0,41.63,245.73,78.54,46.96,74.61,0,29,0.059,0.36,-0.282
39,RECUPERANDO,29,1,7,23,22.589,18.973,24.813,2.996,22.597,3.098,22.366,0.0,1,8,60,1,0,0,0,40.92,247.52,78.54,47.11,73.57,0,29,0.054,0.336,-0.236
40,RECUPERANDO,29,1,7,23,22.641,19.223,24.904,2.796,22.641,2.892,22.635,0.0,0,8,0,1,0,0,0,40.45,249.04,78.54,47.21,73.27,0,29,0.049,0.309,-0.19
41,RECUPERANDO,29,1,7,23,22.688,19.455,24.975,2.612,22.681,2.7,22.878,0.0,0,8,0,1,0,0,0,39.99,250.31,78.54,47.26,72.92,0,29,0.045,0.281,-0.192
42,RECUPERANDO,29,1,7,23,22.731,19.547,25.03,2.441,22.719,2.521,23.096,0.0,1,9,60,1,0,0,0,39.39,251.35,78.54,47.27,71.58,0,29,0.042,0.256,-0.188
43,RECUPERANDO,29,1,7,23,22.771,19.66,25.072,2.283,22.753,2.352,23.292,0.0,0,9,0,1,0,0,0,38.99,252.19,78.54,47.25,69.97,0,29,0.039,0.236,-0.179
44,RECUPERANDO,29,1,7,23,22.808,19.788,25.105,2.137,22.786,2.196,23.468,0.0,0,9,0,1,0,0,0,38.75,252.84,78.54,47.19,68.42,0,29,0.036,0.221,-0.166
45,RECUPERANDO,29,1,7,23,22.843,19.926,25.129,2.002,22.816,2.05,23.624,0.0,0,9,0,1,0,0,0,38.64,253.32,78.54,47.11,68.02,0,29,0.033,0.208,-0.15
46,RECUPERANDO,29,1,7,23,22.875,20.019,25.148,1.878,22.844,1.915,23.762,0.0,1,10,60,1,0,0,0,38.65,253.64,78.54,47.01,68.01,0,29,0.031,0.195,-0.131
47,RECUPERANDO,29,1,7,23,22.904,20.085,25.162,1.764,22.87,1.79,23.885,0.0,0,10,0,1,0,0,0,38.75,253.83,78.54,46.88,67.99,0,29,0.029,0.182,-0.111
48,RECUPERANDO,29,1,7,23,22.932,20.169,25.171,1.659,22.895,1.676,23.994,0.0,1,11,60,1,0,0,0,38.91,253.89,78.54,46.74,67.97,0,29,0.026,0.17,-0.11
49,RECUPERANDO,29,1,7,23,22.957,20.268,25.178,1.564,22.918,1.572,24.09,0.0,0,11,0,2,0,0,0,39.13,253.83,78.54,46.58,67.97,0,29,0.025,0.157,-0.108
50,RECUPERANDO,29,1,7,23,22.981,20.375,25.183,1.476,22.939,1.476,24.174,0.0,0,11,0,2,0,0,0,39.39,253.67,78.54,46.41,67.03,0,29,0.023,0.146,-0.104
51,RECUPERANDO,29,1,7,23,23.003,20.489,25.186,1.397,22.96,1.39,24.248,0.0,0,11,0,2,0,0,0,39.67,253.42,78.54,46.23,66.77,0,29,0.021,0.135,-0.099
52,RECUPERANDO,29,1,7,23,23.023,20.605,25.187,1.324,22.978,1.311,24.313,0.0,1,12,60,2,0,0,0,39.98,253.08,78.54,46.04,66.82,0,29,0.02,0.127,-0.092
53,RECUPERANDO,29,1,7,23,23.042,20.723,25.187,1.259,22.996,1.239,24.37,0.0,0,12,0,2,0,0,0,40.28,252.67,78.54,45.83,67.03,0,29,0.018,0.12,-0.084
54,RECUPERANDO,29,1,7,23,23.06,20.839,25.187,1.199,23.013,1.174,24.419,0.0,0,12,0,2,0,0,0,40.6,252.19,78.54,45.62,67.27,0,29,0.017,0.116,-0.076
55,RECUPERANDO,29,1,7,23,23.076,20.953,25.185,1.144,23.028,1.115,24.462,0.0,0,12,0,2,0,0,0,40.91,251.65,78.54,45.4,67.42,0,29,0.016,0.113,-0.069
56,RECUPERANDO,29,1,7,23,23.091,21.064,25.184,1.095,23.043,1.062,24.499,0.0,0,12,0,2,0,0,0,41.21,251.04,78.54,45.18,67.46,0,29,0.015,0.109,-0.068
57,RECUPERANDO,29,1,7,23,23.106,21.171,25.181,1.049,23.057,1.013,24.531,0.0,0,12,0,2,0,0,0,41.51,250.39,78.54,44.95,67.4,0,29,0.014,0.105,-0.067
58,RECUPERANDO,29,1,7,23,23.119,21.222,25.179,1.008,23.069,0.969,24.559,0.0,0,12,0,2,0,0,0,41.8,249.68,78.54,44.71,67.32,0,29,0.013,0.101,-0.065
59,RECUPERANDO,29,1,7,23,23.132,21.266,25.176,0.97,23.082,0.929,24.583,0.0,0,12,0,2,0,0,0,42.08,248.93,78.54,44.47,67.24,0,29,0.012,0.096,-0.062
60,RECUPERANDO,29,1,7,23,23.144,21.314,25.173,0.936,23.093,0.892,24.603,0.0,0,12,0,2,0,0,0,42.35,248.13,78.54,44.23,67.16,0,29,0.011,0.092,-0.059
