segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,car_mean_velocity,car_velocity_variance,truck_mean_velocity,truck_velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,max_gap,avg_gap,std_gap,median_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,15,15,22,8,0.575,0.4,0.75,0.031,0.75,0.0,0.4,0.0,1,1,60,0,0,30,15,71.58,78.97,75.28,3.6,75.28,0,0,0.575,0.75,0.4
2,ESTABILIZANDO,15,15,22,8,1.15,0.8,1.5,0.122,1.5,0.0,0.8,0.0,0,1,0,0,0,15,15,71.04,79.51,75.28,3.91,75.28,0,0,0.575,0.75,0.4
3,ESTABILIZANDO,15,15,22,8,1.725,1.2,2.25,0.276,2.25,0.0,1.2,0.0,0,1,0,0,0,0,15,70.15,80.4,75.28,4.44,75.28,0,0,0.575,0.75,0.4
4,ESTABILIZANDO,15,15,22,8,2.3,1.6,3.0,0.49,3.0,0.0,1.6,0.0,0,1,0,0,0,0,15,68.91,81.65,75.28,5.23,75.28,0,0,0.575,0.75,0.4
5,ESTABILIZANDO,15,15,22,8,2.875,2.0,3.75,0.766,3.75,0.0,2.0,0.0,0,1,0,0,0,0,15,67.31,83.24,75.28,6.29,75.28,0,0,0.575,0.75,0.4
6,ESTABILIZANDO,15,15,22,8,3.45,2.4,4.5,1.103,4.5,0.0,2.4,0.0,0,1,0,0,0,0,15,65.37,85.18,75.28,7.62,75.28,0,0,0.575,0.75,0.4
7,ESTABILIZANDO,15,15,22,8,4.025,2.8,5.25,1.501,5.25,0.0,2.8,0.0,0,1,0,0,0,0,15,63.08,87.47,75.28,9.22,75.28,0,0,0.575,0.75,0.4
8,ESTABILIZANDO,15,15,22,8,4.6,3.2,6.0,1.96,6.0,0.0,3.2,0.0,0,1,0,0,0,0,15,60.44,90.12,75.28,11.1,75.28,0,0,0.575,0.75,0.4
9,ESTABILIZANDO,15,15,22,8,5.175,3.6,6.75,2.481,6.75,0.0,3.6,0.0,0,1,0,0,0,0,15,57.44,93.11,75.28,13.24,75.28,0,0,0.575,0.75,0.4
10,ESTABILIZANDO,15,15,22,8,5.75,4.0,7.5,3.063,7.5,0.0,4.0,0.0,0,1,0,0,0,0,15,54.1,96.45,75.28,15.65,75.28,0,0,0.575,0.75,0.4
11,FRENANDO,15,15,22,8,6.628,0.0,8.928,5.376,8.785,0.019,4.47,1.428,0,1,0,0,1,1,29,46.81,100.3,75.28,18.52,77.0,0,10,0.718,1.417,-8.0
12,FRENANDO,15,15,22,8,7.574,0.0,10.33,6.654,9.942,0.152,5.205,1.936,0,1,0,0,1,1,28,38.01,104.77,75.28,21.8,77.91,0,20,0.645,1.389,-8.0
13,RECUPERANDO,15,15,22,8,8.438,0.08,11.7,7.776,10.934,0.639,5.942,2.456,0,1,0,0,0,1,29,29.13,109.83,75.28,25.32,76.33,0,29,0.845,1.354,-0.597
14,RECUPERANDO,15,15,22,8,9.23,0.878,13.031,8.431,11.735,1.86,6.724,2.443,0,1,0,0,1,1,22,21.38,115.45,75.28,28.87,73.7,0,29,0.748,1.311,-1.133
15,RECUPERANDO,15,15,22,8,9.927,1.677,14.315,9.114,12.353,4.027,7.5,2.426,0,1,0,0,1,0,22,15.57,121.59,75.28,32.3,72.52,0,29,0.657,1.26,-1.32
16,RECUPERANDO,15,15,22,8,10.541,2.476,15.543,9.814,12.812,6.91,8.27,2.405,1,2,60,0,1,0,21,11.84,128.2,75.28,35.51,72.11,0,29,0.582,1.2,-1.112
17,RECUPERANDO,15,15,22,8,11.09,3.274,16.706,10.384,13.148,9.924,9.033,2.378,0,2,0,0,0,0,21,9.97,135.22,75.28,38.44,72.25,0,29,0.524,1.131,-0.67
18,RECUPERANDO,15,15,22,8,11.591,4.024,17.795,10.714,13.395,12.571,9.786,2.345,0,2,0,0,1,0,18,9.51,142.61,75.28,41.06,72.42,0,29,0.483,1.053,-1.099
19,RECUPERANDO,15,15,22,8,12.057,4.045,18.802,10.834,13.587,14.683,10.527,2.304,0,2,0,0,1,0,18,10.02,150.28,75.28,43.34,72.61,0,29,0.456,0.968,-1.444
20,RECUPERANDO,15,15,22,8,12.504,4.38,19.719,10.832,13.754,16.283,11.254,2.253,0,2,0,0,1,0,18,11.12,158.17,75.28,45.24,72.82,0,29,0.441,0.875,-1.468
21,RECUPERANDO,15,15,22,8,12.943,4.923,20.541,10.746,13.923,17.379,11.962,2.191,0,2,0,0,1,0,18,12.57,166.2,75.28,46.79,73.03,0,29,0.437,0.796,-1.229
22,RECUPERANDO,15,15,22,8,13.381,5.595,21.263,10.557,14.112,17.929,12.65,2.115,1,3,60,0,0,0,18,14.18,174.3,75.28,48.02,72.42,0,29,0.44,0.794,-0.841
23,RECUPERANDO,15,15,22,8,13.823,6.347,21.883,10.228,14.332,17.911,13.314,2.027,0,3,0,0,0,0,17,14.63,182.38,75.28,48.97,72.46,0,29,0.444,0.791,-0.418
24,RECUPERANDO,15,15,22,8,14.269,7.024,22.401,9.746,14.586,17.363,13.951,1.927,0,3,0,0,0,0,16,14.33,190.37,75.28,49.72,71.82,0,29,0.447,0.811,-0.302
25,RECUPERANDO,15,15,22,8,14.715,7.153,22.815,9.124,14.871,16.379,14.56,1.82,0,3,0,0,0,0,20,14.85,198.19,75.28,50.33,71.1,0,29,0.446,0.826,-0.207
26,RECUPERANDO,15,15,22,8,15.159,7.532,23.126,8.396,15.179,15.08,15.139,1.711,0,3,0,0,0,0,21,15.93,205.77,75.28,50.83,70.71,0,29,0.441,0.83,-0.283
27,RECUPERANDO,15,15,22,8,15.595,8.085,23.336,7.602,15.503,13.58,15.688,1.606,0,3,0,0,0,0,17,17.35,213.05,75.28,51.28,70.04,0,29,0.431,0.825,-0.337
28,RECUPERANDO,15,15,22,8,16.019,8.753,23.447,6.78,15.834,11.979,16.205,1.512,0,3,0,0,0,0,15,18.98,219.96,75.28,51.71,68.58,0,29,0.418,0.815,-0.358
29,RECUPERANDO,15,15,22,8,16.428,9.494,23.459,5.966,16.165,10.36,16.691,1.433,0,3,0,0,0,0,13,20.71,226.42,75.28,52.12,66.98,0,29,0.401,0.8,-0.352
30,RECUPERANDO,15,15,22,8,16.818,10.278,23.378,5.189,16.49,8.792,17.146,1.371,0,3,0,0,0,0,9,22.47,232.4,75.28,52.52,65.29,0,29,0.381,0.796,-0.328
31,RECUPERANDO,15,15,22,8,17.188,11.082,23.208,4.474,16.803,7.328,17.572,1.326,1,4,60,0,0,0,6,24.22,237.82,75.28,52.92,63.53,0,29,0.36,0.809,-0.305
32,RECUPERANDO,15,15,22,8,17.536,11.891,22.957,3.84,17.103,6.011,17.969,1.294,0,4,0,0,0,0,4,25.92,242.65,75.28,53.3,60.29,0,29,0.338,0.808,-0.342
33,RECUPERANDO,15,15,22,8,17.862,12.693,22.633,3.297,17.386,4.869,18.338,1.272,0,4,0,0,0,0,3,27.56,246.83,75.28,53.66,57.12,0,29,0.317,0.796,-0.364
34,RECUPERANDO,15,15,22,8,18.167,13.479,22.248,2.851,17.652,3.919,18.681,1.254,1,5,60,0,0,0,3,29.12,250.34,75.28,53.98,54.35,0,29,0.295,0.776,-0.409
35,RECUPERANDO,15,15,22,8,18.451,14.241,21.815,2.502,17.902,3.166,19.0,1.235,0,5,0,0,0,0,3,30.13,253.16,75.28,54.25,51.91,0,29,0.275,0.751,-0.451
36,RECUPERANDO,15,15,22,8,18.715,14.977,21.348,2.244,18.137,2.606,19.294,1.212,1,6,60,0,0,0,3,30.23,255.27,75.28,54.46,49.8,0,29,0.256,0.722,-0.478
37,RECUPERANDO,15,15,22,8,18.962,15.681,21.138,2.068,18.358,2.222,19.566,1.184,0,6,0,0,0,0,3,30.37,256.68,75.28,54.61,48.0,0,29,0.238,0.69,-0.49
38,RECUPERANDO,15,15,22,8,19.191,16.353,21.414,1.961,18.567,1.992,19.815,1.151,1,7,60,0,0,0,3,30.57,257.41,75.28,54.69,47.63,0,29,0.222,0.656,-0.486
39,RECUPERANDO,15,15,22,8,19.405,16.584,21.665,1.911,18.766,1.89,20.044,1.114,0,7,0,0,0,0,3,30.83,257.49,75.28,54.7,47.8,0,29,0.207,0.621,-0.469
40,RECUPERANDO,15,15,22,8,19.604,16.725,21.894,1.901,18.956,1.886,20.253,1.076,0,7,0,0,0,0,2,31.16,256.96,75.28,54.64,48.1,0,29,0.194,0.586,-0.438
41,RECUPERANDO,15,15,22,8,19.791,16.78,22.1,1.918,19.14,1.949,20.442,1.039,1,8,60,1,0,0,1,31.55,255.88,75.28,54.51,48.52,0,29,0.181,0.55,-0.397
42,RECUPERANDO,15,15,22,8,19.966,16.867,22.287,1.948,19.318,2.051,20.614,1.005,0,8,0,1,0,0,1,32.01,254.3,75.28,54.32,49.03,0,29,0.17,0.515,-0.348
43,RECUPERANDO,15,15,22,8,20.13,16.986,22.455,1.981,19.491,2.169,20.769,0.977,1,9,60,1,0,0,0,32.54,252.3,75.28,54.08,49.61,0,29,0.159,0.481,-0.292
44,RECUPERANDO,15,15,22,8,20.284,17.134,22.606,2.007,19.66,2.28,20.908,0.956,0,9,0,2,0,0,0,33.11,249.94,75.28,53.79,50.23,0,29,0.15,0.448,-0.233
45,RECUPERANDO,15,15,22,8,20.428,17.308,22.74,2.021,19.825,2.372,21.032,0.942,0,9,0,4,0,0,0,33.21,247.3,75.28,53.47,50.9,0,29,0.14,0.415,-0.174
46,RECUPERANDO,15,15,22,8,20.564,17.403,22.859,2.02,19.985,2.434,21.143,0.937,0,9,0,4,0,0,0,32.8,244.45,75.28,53.12,51.59,0,29,0.132,0.384,-0.116
47,RECUPERANDO,15,15,22,8,20.691,17.481,22.964,2.002,20.141,2.462,21.241,0.939,0,9,0,4,0,0,0,32.56,241.45,75.28,52.75,52.29,0,29,0.123,0.355,-0.06
48,RECUPERANDO,15,15,22,8,20.81,17.594,23.055,1.969,20.292,2.455,21.327,0.948,0,9,0,4,0,0,0,32.47,238.37,75.28,52.37,52.99,0,29,0.115,0.326,-0.009
49,RECUPERANDO,15,15,22,8,20.921,17.635,23.135,1.923,20.439,2.417,21.403,0.963,0,9,0,4,0,0,0,32.52,235.26,75.28,51.99,53.17,0,29,0.108,0.3,0.015
50,RECUPERANDO,15,15,22,8,21.024,17.694,23.204,1.866,20.579,2.352,21.469,0.984,0,9,0,4,0,0,0,32.68,234.56,75.28,51.61,53.05,0,29,0.1,0.286,0.006
