segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,car_mean_velocity,car_velocity_variance,truck_mean_velocity,truck_velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,max_gap,avg_gap,std_gap,median_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,15,15,15,15,0.575,0.4,0.75,0.031,0.75,0.0,0.4,0.0,1,1,60,0,0,30,15,71.58,78.97,75.28,3.59,75.28,0,0,0.575,0.75,0.4
2,ESTABILIZANDO,15,15,15,15,1.15,0.8,1.5,0.122,1.5,0.0,0.8,0.0,0,1,0,0,0,15,15,71.04,79.51,75.28,3.86,75.28,0,0,0.575,0.75,0.4
3,ESTABILIZANDO,15,15,15,15,1.725,1.2,2.25,0.276,2.25,0.0,1.2,0.0,0,1,0,0,0,0,15,70.15,80.4,75.28,4.34,75.28,0,0,0.575,0.75,0.4
4,ESTABILIZANDO,15,15,15,15,2.3,1.6,3.0,0.49,3.0,0.0,1.6,0.0,0,1,0,0,0,0,15,68.91,81.65,75.28,5.05,75.28,0,0,0.575,0.75,0.4
5,ESTABILIZANDO,15,15,15,15,2.875,2.0,3.75,0.766,3.75,0.0,2.0,0.0,0,1,0,0,0,0,15,67.31,83.24,75.28,6.01,75.28,0,0,0.575,0.75,0.4
6,ESTABILIZANDO,15,15,15,15,3.45,2.4,4.5,1.103,4.5,0.0,2.4,0.0,0,1,0,0,0,0,15,65.37,85.18,75.28,7.23,75.28,0,0,0.575,0.75,0.4
7,ESTABILIZANDO,15,15,15,15,4.025,2.8,5.25,1.501,5.25,0.0,2.8,0.0,0,1,0,0,0,0,15,63.08,87.47,75.28,8.72,75.28,0,0,0.575,0.75,0.4
8,ESTABILIZANDO,15,15,15,15,4.6,3.2,6.0,1.96,6.0,0.0,3.2,0.0,0,1,0,0,0,0,15,60.44,90.12,75.28,10.45,75.28,0,0,0.575,0.75,0.4
9,ESTABILIZANDO,15,15,15,15,5.175,3.6,6.75,2.481,6.75,0.0,3.6,0.0,0,1,0,0,0,0,15,57.44,93.11,75.28,12.45,75.28,0,0,0.575,0.75,0.4
10,ESTABILIZANDO,15,15,15,15,5.75,4.0,7.5,3.063,7.5,0.0,4.0,0.0,0,1,0,0,0,0,15,54.1,96.45,75.28,14.69,75.28,0,0,0.575,0.75,0.4
