segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,19,19,9,29,0.36,0.36,0.36,0.0,1,1,60,0,0,38,0,54.14,57.64,0,0,0.36,0.36,0.36
2,ESTABILIZANDO,19,19,9,29,0.72,0.72,0.72,0.0,0,1,0,0,0,38,0,54.14,57.64,0,0,0.36,0.36,0.36
3,ESTABILIZANDO,19,19,9,29,1.08,1.08,1.08,0.0,0,1,0,0,0,0,0,54.14,57.64,0,0,0.36,0.36,0.36
4,ESTABILIZANDO,19,19,9,29,1.44,1.44,1.44,0.0,0,1,0,0,0,0,0,54.14,57.64,0,0,0.36,0.36,0.36
5,ESTABILIZANDO,19,19,9,29,1.8,1.8,1.8,0.0,0,1,0,0,0,0,0,54.14,57.64,0,0,0.36,0.36,0.36
6,ESTABILIZANDO,19,19,9,29,2.16,2.16,2.16,0.0,0,1,0,0,0,0,0,54.14,57.64,0,0,0.36,0.36,0.36
7,ESTABILIZANDO,19,19,9,29,2.52,2.52,2.52,0.0,0,1,0,0,0,0,0,54.14,57.64,0,0,0.36,0.36,0.36
8,FRENANDO,19,19,9,29,3.582,0.0,3.699,0.347,0,1,0,0,1,1,37,54.13,57.64,0,10,0.805,1.176,-12.0
9,FRENANDO,19,19,9,29,4.692,0.0,4.87,0.596,0,1,0,0,1,1,37,53.82,57.64,0,20,0.784,1.167,-12.0
10,FRENANDO,19,19,9,29,5.779,0.0,6.032,0.905,0,1,0,0,1,1,37,48.45,57.64,0,30,0.759,1.157,-12.0
11,FRENANDO,19,19,9,29,6.837,0.0,7.181,1.272,0,1,0,0,1,1,37,42.14,57.64,0,40,0.727,1.143,-12.0
12,FRENANDO,19,19,9,29,7.859,0.0,8.315,1.7,0,1,0,0,1,1,36,35.1,57.64,0,50,0.688,1.125,-12.0
13,RECUPERANDO,19,19,9,29,8.87,1.196,9.427,1.685,0,1,0,0,0,0,37,28.34,57.64,0,50,0.992,1.197,0.079
14,RECUPERANDO,19,19,9,29,9.836,2.393,10.514,1.727,0,1,0,0,0,0,37,22.72,57.64,0,50,0.945,1.197,-0.176
15,RECUPERANDO,19,19,9,29,10.755,3.591,11.568,1.848,0,1,0,0,0,0,37,18.48,57.64,0,50,0.897,1.197,-0.276
16,RECUPERANDO,19,19,9,29,11.626,4.788,12.583,2.032,0,1,0,0,0,0,36,15.7,57.64,0,50,0.849,1.197,-0.184
17,RECUPERANDO,19,19,9,29,12.448,5.984,13.552,2.233,1,2,60,0,0,0,36,14.27,57.64,0,50,0.8,1.195,0.044
18,RECUPERANDO,19,19,9,29,13.221,7.059,14.47,2.411,0,2,0,0,0,0,36,13.96,57.64,0,50,0.75,1.193,-0.101
19,RECUPERANDO,19,19,9,29,13.943,7.51,15.353,2.548,0,2,0,0,0,0,36,14.51,57.64,0,50,0.698,1.188,-0.196
20,RECUPERANDO,19,19,9,29,14.612,8.168,16.187,2.642,0,2,0,0,0,0,36,15.67,57.64,0,50,0.645,1.18,-0.182
21,RECUPERANDO,19,19,9,29,15.228,8.977,16.962,2.697,0,2,0,0,0,0,33,17.26,57.64,0,50,0.591,1.168,-0.085
22,RECUPERANDO,19,19,9,29,15.79,9.885,17.674,2.713,1,3,60,0,0,0,27,19.16,57.64,0,50,0.538,1.151,-0.164
23,RECUPERANDO,19,19,9,29,16.299,10.858,18.321,2.693,0,3,0,0,0,0,16,21.25,57.64,0,50,0.487,1.129,-0.223
24,RECUPERANDO,19,19,9,29,16.759,11.204,18.902,2.643,0,3,0,0,0,0,10,23.48,57.64,0,50,0.437,1.1,-0.21
25,RECUPERANDO,19,19,9,29,17.17,11.64,19.419,2.576,0,3,0,0,0,0,4,25.78,57.64,0,50,0.391,1.065,-0.277
26,RECUPERANDO,19,19,9,29,17.538,12.192,19.874,2.502,1,4,60,0,0,0,3,28.1,57.64,0,50,0.349,1.035,-0.361
27,RECUPERANDO,19,19,9,29,17.866,12.834,20.269,2.432,0,4,0,0,0,0,3,30.41,57.64,0,50,0.312,1.024,-0.372
28,RECUPERANDO,19,19,9,29,18.159,13.408,20.609,2.37,1,5,60,0,0,0,3,30.65,57.64,0,50,0.278,1.003,-0.32
29,RECUPERANDO,19,19,9,29,18.42,13.669,20.896,2.316,0,5,0,0,0,0,3,28.66,57.64,0,50,0.248,0.972,-0.223
30,RECUPERANDO,19,19,9,29,18.653,14.031,21.135,2.27,0,5,0,0,0,0,3,27.2,57.64,0,50,0.221,0.933,-0.188
31,RECUPERANDO,19,19,9,29,18.861,14.476,21.33,2.232,0,5,0,0,0,0,3,26.24,57.64,0,50,0.198,0.885,-0.186
32,RECUPERANDO,19,19,9,29,19.047,14.986,21.485,2.201,1,6,60,0,0,0,4,25.72,57.64,0,50,0.176,0.828,-0.156
33,RECUPERANDO,19,19,9,29,19.212,15.522,21.861,2.18,0,6,0,0,0,0,4,25.59,57.64,0,50,0.157,0.765,-0.106
