segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,29,9,9,29,0.36,0.36,0.36,0.0,1,1,60,0,0,38,0,54.14,59.48,0,0,0.36,0.36,0.36
2,ESTABILIZANDO,29,9,9,29,0.72,0.72,0.72,0.0,0,1,0,0,0,38,0,54.14,59.48,0,0,0.36,0.36,0.36
3,ESTABILIZANDO,29,9,9,29,1.08,1.08,1.08,0.0,0,1,0,0,0,0,0,54.14,59.48,0,0,0.36,0.36,0.36
4,ESTABILIZANDO,29,9,9,29,1.44,1.44,1.44,0.0,0,1,0,0,0,0,0,54.14,59.48,0,0,0.36,0.36,0.36
5,ESTABILIZANDO,29,9,9,29,1.8,1.8,1.8,0.0,0,1,0,0,0,0,0,54.14,59.48,0,0,0.36,0.36,0.36
6,ESTABILIZANDO,29,9,9,29,2.16,2.16,2.16,0.0,0,1,0,0,0,0,0,54.14,59.48,0,0,0.36,0.36,0.36
7,ESTABILIZANDO,29,9,9,29,2.52,2.52,2.52,0.0,0,1,0,0,0,0,0,54.14,59.48,0,0,0.36,0.36,0.36
8,FRENANDO,29,9,9,29,3.585,0.0,3.699,0.347,0,1,0,0,1,1,37,51.14,59.48,0,10,0.808,1.176,-12.0
9,FRENANDO,29,9,9,29,4.697,0.0,4.871,0.598,0,1,0,0,1,1,37,46.93,59.48,0,20,0.787,1.169,-12.0
10,FRENANDO,29,9,9,29,5.787,0.0,6.035,0.912,0,1,0,0,1,1,37,41.78,59.48,0,30,0.762,1.16,-12.0
11,FRENANDO,29,9,9,29,6.847,0.0,7.189,1.295,0,1,0,0,1,1,36,35.9,59.48,0,40,0.729,1.149,-12.0
12,FRENANDO,29,9,9,29,7.87,0.0,8.332,1.77,0,1,0,0,1,1,36,29.63,59.48,0,50,0.689,1.137,-12.0
13,RECUPERANDO,29,9,9,29,8.885,1.196,9.461,1.86,0,1,0,0,0,0,37,24.06,59.48,0,50,0.996,1.197,-0.294
14,RECUPERANDO,29,9,9,29,9.859,2.393,10.574,2.05,0,1,0,0,0,0,37,19.99,59.48,0,50,0.956,1.197,-0.37
15,RECUPERANDO,29,9,9,29,10.792,3.59,11.667,2.321,0,1,0,0,0,0,36,17.46,59.48,0,50,0.915,1.197,-0.264
16,RECUPERANDO,29,9,9,29,11.683,4.787,12.737,2.628,0,1,0,0,0,0,36,16.36,59.48,0,50,0.872,1.196,-0.042
17,RECUPERANDO,29,9,9,29,12.53,5.394,13.78,2.936,0,1,0,0,0,0,36,16.48,59.48,0,50,0.826,1.193,-0.196
18,RECUPERANDO,29,9,9,29,13.33,5.731,14.79,3.237,1,2,60,0,0,0,35,17.55,59.48,0,50,0.778,1.187,-0.349
19,RECUPERANDO,29,9,9,29,14.08,6.269,15.762,3.531,0,2,0,0,0,0,36,19.36,59.48,0,50,0.727,1.177,-0.374
20,RECUPERANDO,29,9,9,29,14.778,6.957,16.689,3.813,0,2,0,0,0,0,36,21.72,59.48,0,50,0.675,1.162,-0.289
21,RECUPERANDO,29,9,9,29,15.423,7.754,17.566,4.072,0,2,0,0,0,0,35,24.49,59.48,0,50,0.621,1.14,-0.312
22,RECUPERANDO,29,9,9,29,16.015,8.626,18.383,4.297,0,2,0,0,0,0,34,25.07,59.48,0,50,0.567,1.11,-0.419
23,RECUPERANDO,29,9,9,29,16.553,9.172,19.134,4.484,1,3,60,0,0,0,24,25.11,59.48,0,50,0.514,1.07,-0.43
24,RECUPERANDO,29,9,9,29,17.038,9.487,19.813,4.639,0,3,0,0,0,0,13,25.84,59.48,0,50,0.462,1.021,-0.533
25,RECUPERANDO,29,9,9,29,17.473,9.945,20.413,4.772,0,3,0,0,0,0,9,27.14,59.48,0,50,0.413,0.967,-0.68
26,RECUPERANDO,29,9,9,29,17.861,10.517,20.932,4.885,1,4,60,0,0,0,7,28.88,59.48,0,50,0.369,0.962,-0.704
27,RECUPERANDO,29,9,9,29,18.207,11.174,21.369,4.973,0,4,0,0,0,0,4,25.96,59.48,0,50,0.328,0.945,-0.623
28,RECUPERANDO,29,9,9,29,18.514,11.493,21.724,5.026,0,4,0,0,0,0,3,23.63,59.48,0,50,0.291,0.918,-0.501
29,RECUPERANDO,29,9,9,29,18.786,11.774,22.003,5.037,1,5,60,0,0,0,3,21.97,59.48,0,50,0.257,0.88,-0.56
30,RECUPERANDO,29,9,9,29,19.027,12.166,22.212,5.0,0,5,0,0,0,0,3,20.93,59.48,0,50,0.228,0.832,-0.547
31,RECUPERANDO,29,9,9,29,19.239,12.648,22.511,4.918,0,5,0,0,0,0,3,20.41,59.48,0,50,0.201,0.786,-0.476
32,RECUPERANDO,29,9,9,29,19.427,13.116,22.773,4.794,1,6,60,0,0,0,3,20.32,59.48,0,50,0.177,0.773,-0.459
33,RECUPERANDO,29,9,9,29,19.591,13.41,22.99,4.635,0,6,0,0,0,0,3,20.58,59.48,0,50,0.155,0.749,-0.469
34,RECUPERANDO,29,9,9,29,19.735,13.809,23.166,4.448,0,6,0,0,0,0,3,21.09,59.48,0,50,0.135,0.716,-0.436
35,RECUPERANDO,29,9,9,29,19.86,14.288,23.299,4.242,0,6,0,0,0,0,4,21.79,59.48,0,50,0.117,0.674,-0.386
36,RECUPERANDO,29,9,9,29,19.968,14.633,23.393,4.023,1,7,60,0,0,0,3,22.63,59.48,0,50,0.101,0.639,-0.402
37,RECUPERANDO,29,9,9,29,20.062,14.822,23.448,3.797,0,7,0,0,0,0,3,23.55,59.48,0,50,0.087,0.624,-0.389
38,RECUPERANDO,29,9,9,29,20.141,15.097,23.464,3.572,0,7,0,0,0,0,3,24.5,59.48,0,50,0.074,0.6,-0.349
39,RECUPERANDO,29,9,9,29,20.209,15.44,23.441,3.353,1,8,60,0,0,0,2,25.47,59.48,0,50,0.062,0.589,-0.363
40,RECUPERANDO,29,9,9,29,20.265,15.683,23.376,3.146,0,8,0,0,0,0,2,26.41,59.48,0,50,0.052,0.574,-0.396
41,RECUPERANDO,29,9,9,29,20.313,15.821,23.355,2.955,0,8,0,0,0,0,1,27.3,59.48,0,50,0.044,0.55,-0.44
42,RECUPERANDO,29,9,9,29,20.352,16.027,23.366,2.781,1,9,60,1,0,0,1,27.86,59.48,0,50,0.036,0.519,-0.466
43,RECUPERANDO,29,9,9,29,20.385,16.287,23.348,2.624,0,9,0,2,0,0,0,26.87,59.48,0,50,0.03,0.481,-0.471
44,RECUPERANDO,29,9,9,29,20.413,16.458,23.298,2.483,1,10,60,2,0,0,0,26.01,59.48,0,50,0.026,0.451,-0.455
45,RECUPERANDO,29,9,9,29,20.437,16.564,23.216,2.356,0,10,0,2,0,0,0,25.3,59.48,0,50,0.022,0.436,-0.421
46,RECUPERANDO,29,9,9,29,20.457,16.724,23.098,2.238,1,11,60,2,0,0,0,24.74,59.48,0,50,0.019,0.415,-0.382
47,RECUPERANDO,29,9,9,29,20.475,16.926,22.943,2.128,0,11,0,2,0,0,0,24.33,59.48,0,50,0.017,0.389,-0.392
48,RECUPERANDO,29,9,9,29,20.492,17.052,22.752,2.023,0,11,0,2,0,0,0,24.07,59.48,0,50,0.016,0.359,-0.411
49,RECUPERANDO,29,9,9,29,20.507,17.135,22.525,1.924,1,12,60,2,0,0,0,23.93,59.48,0,50,0.015,0.349,-0.415
50,RECUPERANDO,29,9,9,29,20.523,17.235,22.338,1.828,0,12,0,2,0,0,0,23.9,59.48,0,50,0.015,0.335,-0.405
51,RECUPERANDO,29,9,9,29,20.538,17.3,22.318,1.735,1,13,60,2,0,0,0,23.98,59.48,0,50,0.016,0.317,-0.383
52,RECUPERANDO,29,9,9,29,20.554,17.41,22.296,1.645,0,13,0,2,0,0,0,24.15,59.48,0,50,0.016,0.296,-0.349
53,RECUPERANDO,29,9,9,29,20.57,17.504,22.273,1.557,0,13,0,2,0,0,0,24.38,59.48,0,50,0.017,0.283,-0.323
54,RECUPERANDO,29,9,9,29,20.587,17.589,22.25,1.471,1,14,60,1,0,0,0,24.5,59.48,0,50,0.017,0.273,-0.322
55,RECUPERANDO,29,9,9,29,20.605,17.714,22.225,1.386,0,14,0,1,0,0,0,24.68,59.48,0,50,0.018,0.261,-0.313
56,RECUPERANDO,29,9,9,29,20.624,17.869,22.199,1.303,0,14,0,1,0,0,0,24.92,59.48,0,50,0.019,0.246,-0.295
57,RECUPERANDO,29,9,9,29,20.643,18.049,22.171,1.22,0,14,0,1,0,0,0,25.21,59.48,0,50,0.019,0.231,-0.27
58,RECUPERANDO,29,9,9,29,20.663,18.245,22.14,1.138,0,14,0,0,0,0,0,25.54,59.48,0,50,0.02,0.226,-0.24
59,RECUPERANDO,29,9,9,29,20.683,18.322,22.107,1.057,0,14,0,1,0,0,0,25.58,59.48,0,50,0.02,0.224,-0.205
60,RECUPERANDO,29,9,9,29,20.703,18.4,22.071,0.978,1,15,60,1,0,0,0,25.56,59.48,0,50,0.02,0.219,-0.169
61,RECUPERANDO,29,9,9,29,20.723,18.445,22.032,0.9,0,15,0,1,0,0,0,25.61,59.48,0,50,0.02,0.215,-0.132
62,RECUPERANDO,29,9,9,29,20.743,18.52,21.99,0.825,1,16,60,1,0,0,0,25.72,59.48,0,50,0.02,0.211,-0.095
63,RECUPERANDO,29,9,9,29,20.762,18.62,21.943,0.754,0,16,0,1,0,0,0,25.88,59.48,0,50,0.019,0.204,-0.088
64,RECUPERANDO,29,9,9,29,20.78,18.739,21.893,0.686,0,16,0,1,0,0,0,26.07,59.48,0,50,0.018,0.195,-0.085
65,RECUPERANDO,29,9,9,29,20.798,18.873,21.839,0.623,1,17,60,1,0,0,0,26.3,59.48,0,50,0.018,0.185,-0.081
66,RECUPERANDO,29,9,9,29,20.816,19.016,21.816,0.565,0,17,0,1,0,0,0,26.55,59.48,0,50,0.017,0.173,-0.076
67,RECUPERANDO,29,9,9,29,20.832,19.129,21.804,0.511,1,18,60,0,0,0,0,26.81,59.48,0,50,0.016,0.161,-0.077
68,RECUPERANDO,29,9,9,29,20.847,19.188,21.789,0.463,0,18,0,0,0,0,0,27.08,59.48,0,50,0.015,0.154,-0.078
69,RECUPERANDO,29,9,9,29,20.862,19.262,21.773,0.421,0,18,0,0,0,0,0,27.34,59.48,0,50,0.014,0.152,-0.077
70,RECUPERANDO,29,9,9,29,20.876,19.349,21.756,0.383,1,19,60,0,0,0,0,27.6,59.48,0,50,0.013,0.149,-0.075
71,RECUPERANDO,29,9,9,29,20.888,19.445,21.738,0.35,0,19,0,0,0,0,0,27.82,59.48,0,50,0.012,0.144,-0.073
72,RECUPERANDO,29,9,9,29,20.9,19.548,21.73,0.321,0,19,0,0,0,0,0,27.84,59.48,0,50,0.012,0.138,-0.072
