Scenario,Type,Density (N),Max Speed,Max Stopped,Max in Jam,Recovery Time (s),Avg Velocity During Jam,Total Energy Lost (J),Total Time Lost (s)
Safe_N40_V20_S4_T15,Conservative,40,20,1,7,83.0,17.284545454545455,133.1,0.0
HighSpeed_N35_V30_D15,High Speed,35,30,1,2,32.0,27.755454545454544,116.7,0.0
Base_N35_V25_D12,Baseline,35,25,1,4,61.0,22.37909090909091,169.7,0.0
Base_N40_V25_D12,Baseline,40,25,1,6,89.0,21.908181818181816,252.8,0.0
DEBUG_Dense_N45_V25_D18,Debug,45,25,2,17,214.0,20.418181818181818,561.6,4.4
DEBUG_VeryDense_N50_V25_D15,Debug,50,25,2,50,,18.71272727272727,878.5,96.5
VISUAL_Demo_N40_V25_D15,Demo,40,25,2,9,143.0,21.136363636363637,4051.1,4.1
