segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,car_mean_velocity,car_velocity_variance,truck_mean_velocity,truck_velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,max_gap,avg_gap,std_gap,median_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,15,15,30,0,0.575,0.4,0.75,0.031,0.75,0.0,0.4,0.0,1,1,60,0,0,30,15,71.58,78.97,75.28,3.6,75.28,0,0,0.575,0.75,0.4
2,ESTABILIZANDO,15,15,30,0,1.15,0.8,1.5,0.122,1.5,0.0,0.8,0.0,0,1,0,0,0,15,15,71.04,79.51,75.28,3.91,75.28,0,0,0.575,0.75,0.4
3,ESTABILIZANDO,15,15,30,0,1.725,1.2,2.25,0.276,2.25,0.0,1.2,0.0,0,1,0,0,0,0,15,70.15,80.4,75.28,4.44,75.28,0,0,0.575,0.75,0.4
4,ESTABILIZANDO,15,15,30,0,2.3,1.6,3.0,0.49,3.0,0.0,1.6,0.0,0,1,0,0,0,0,15,68.91,81.65,75.28,5.23,75.28,0,0,0.575,0.75,0.4
5,ESTABILIZANDO,15,15,30,0,2.875,2.0,3.75,0.766,3.75,0.0,2.0,0.0,0,1,0,0,0,0,15,67.31,83.24,75.28,6.29,75.28,0,0,0.575,0.75,0.4
6,ESTABILIZANDO,15,15,30,0,3.45,2.4,4.5,1.103,4.5,0.0,2.4,0.0,0,1,0,0,0,0,15,65.37,85.18,75.28,7.62,75.28,0,0,0.575,0.75,0.4
7,ESTABILIZANDO,15,15,30,0,4.025,2.8,5.25,1.501,5.25,0.0,2.8,0.0,0,1,0,0,0,0,15,63.08,87.47,75.28,9.22,75.28,0,0,0.575,0.75,0.4
8,ESTABILIZANDO,15,15,30,0,4.6,3.2,6.0,1.96,6.0,0.0,3.2,0.0,0,1,0,0,0,0,15,60.44,90.12,75.28,11.1,75.28,0,0,0.575,0.75,0.4
9,ESTABILIZANDO,15,15,30,0,5.175,3.6,6.75,2.481,6.75,0.0,3.6,0.0,0,1,0,0,0,0,15,57.44,93.11,75.28,13.24,75.28,0,0,0.575,0.75,0.4
10,ESTABILIZANDO,15,15,30,0,5.75,4.0,7.5,3.063,7.5,0.0,4.0,0.0,0,1,0,0,0,0,15,54.1,96.45,75.28,15.65,75.28,0,0,0.575,0.75,0.4
11,FRENANDO,15,15,30,0,6.638,0.0,8.928,5.42,8.806,0.013,4.47,1.427,0,1,0,0,1,1,29,50.36,100.3,75.28,18.39,77.04,0,10,0.733,1.418,-8.0
12,FRENANDO,15,15,30,0,7.606,0.0,10.331,6.793,10.011,0.086,5.202,1.934,0,1,0,0,1,1,29,46.29,104.76,75.28,21.49,78.25,0,20,0.674,1.39,-8.0
13,RECUPERANDO,15,15,30,0,8.509,0.08,11.703,8.024,11.087,0.312,5.932,2.451,0,1,0,0,0,1,30,42.06,109.82,75.28,24.86,77.39,0,29,0.892,1.357,0.615
14,RECUPERANDO,15,15,30,0,9.356,0.878,13.038,8.676,12.009,0.838,6.703,2.438,0,1,0,0,0,1,22,37.91,115.43,75.28,28.34,75.93,0,29,0.808,1.317,0.47
