segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,car_mean_velocity,car_velocity_variance,truck_mean_velocity,truck_velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,max_gap,avg_gap,std_gap,median_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,8,22,30,0,0.493,0.4,0.75,0.024,0.75,0.0,0.4,0.0,1,1,60,0,0,30,8,71.58,78.97,73.64,3.17,71.78,0,0,0.493,0.75,0.4
2,ESTABILIZANDO,8,22,30,0,0.987,0.8,1.5,0.096,1.5,0.0,0.8,0.0,0,1,0,0,0,22,8,71.04,79.51,73.64,3.39,71.78,0,0,0.493,0.75,0.4
3,ESTABILIZANDO,8,22,30,0,1.48,1.2,2.25,0.216,2.25,0.0,1.2,0.0,0,1,0,0,0,0,8,70.15,80.4,73.64,3.78,71.78,0,0,0.493,0.75,0.4
4,ESTABILIZANDO,8,22,30,0,1.973,1.6,3.0,0.383,3.0,0.0,1.6,0.0,0,1,0,0,0,0,8,68.91,81.65,73.64,4.36,71.78,0,0,0.493,0.75,0.4
5,ESTABILIZANDO,8,22,30,0,2.467,2.0,3.75,0.599,3.75,0.0,2.0,0.0,0,1,0,0,0,0,8,67.31,83.24,73.64,5.16,71.78,0,0,0.493,0.75,0.4
6,ESTABILIZANDO,8,22,30,0,2.96,2.4,4.5,0.862,4.5,0.0,2.4,0.0,0,1,0,0,0,0,8,65.37,85.18,73.64,6.18,71.78,0,0,0.493,0.75,0.4
7,ESTABILIZANDO,8,22,30,0,3.453,2.8,5.25,1.174,5.25,0.0,2.8,0.0,0,1,0,0,0,0,8,63.08,87.47,73.64,7.42,71.78,0,0,0.493,0.75,0.4
8,ESTABILIZANDO,8,22,30,0,3.947,3.2,6.0,1.533,6.0,0.0,3.2,0.0,0,1,0,0,0,0,8,60.44,90.12,73.64,8.88,71.78,0,0,0.493,0.75,0.4
9,ESTABILIZANDO,8,22,30,0,4.44,3.6,6.75,1.94,6.75,0.0,3.6,0.0,0,1,0,0,0,0,8,57.44,93.11,73.64,10.56,71.78,0,0,0.493,0.75,0.4
10,ESTABILIZANDO,8,22,30,0,4.933,4.0,7.5,2.396,7.5,0.0,4.0,0.0,0,1,0,0,0,0,8,54.1,96.45,73.64,12.45,71.78,0,0,0.493,0.75,0.4
11,FRENANDO,8,22,30,0,5.692,0.0,8.928,4.21,8.785,0.012,4.567,0.993,0,1,0,0,1,1,29,50.36,100.3,73.64,14.61,71.78,0,10,0.611,1.418,-8.0
12,FRENANDO,8,22,30,0,6.549,0.0,10.331,5.228,9.956,0.081,5.311,1.344,0,1,0,0,1,1,29,46.29,104.76,73.64,17.09,71.78,0,20,0.573,1.39,-8.0
13,RECUPERANDO,8,22,30,0,7.366,0.08,11.703,6.079,10.981,0.293,6.051,1.701,0,1,0,0,0,1,30,42.06,109.82,73.64,19.81,71.78,0,29,0.818,1.356,0.615
14,RECUPERANDO,8,22,30,0,8.154,0.878,13.036,6.372,11.834,0.786,6.816,1.688,0,1,0,0,0,1,25,37.91,115.43,73.64,22.62,71.78,0,29,0.763,1.314,0.471
15,RECUPERANDO,8,22,30,0,8.887,1.677,14.322,6.448,12.505,1.711,7.571,1.678,0,1,0,0,0,0,24,34.08,121.56,73.64,25.39,71.78,0,29,0.709,1.262,0.242
16,RECUPERANDO,8,22,30,0,9.568,2.476,15.55,6.38,13.012,3.133,8.315,1.678,0,1,0,0,0,0,24,30.77,128.15,73.64,28.02,71.78,0,29,0.659,1.197,0.077
17,RECUPERANDO,8,22,30,0,10.204,3.274,16.703,6.243,13.389,4.915,9.046,1.696,0,1,0,0,0,0,24,28.13,135.14,73.64,30.45,71.78,0,29,0.619,1.115,-0.0
18,RECUPERANDO,8,22,30,0,10.805,4.073,17.762,6.067,13.676,6.716,9.761,1.744,0,1,0,0,0,0,22,26.22,142.45,73.64,32.66,71.78,0,29,0.588,1.009,0.007
19,RECUPERANDO,8,22,30,0,11.38,4.871,18.699,5.836,13.909,8.131,10.461,1.831,0,1,0,0,0,0,22,25.02,149.98,73.64,34.64,71.78,0,29,0.565,0.874,0.058
20,RECUPERANDO,8,22,30,0,11.935,5.669,19.483,5.524,14.111,8.873,11.144,1.96,1,2,60,0,0,0,22,24.44,157.6,73.64,36.41,71.78,0,29,0.547,0.797,-0.051
21,RECUPERANDO,8,22,30,0,12.473,6.466,20.077,5.13,14.297,8.871,11.81,2.121,0,2,0,0,0,0,21,22.78,165.14,73.64,37.99,71.78,0,29,0.532,0.796,-0.24
22,RECUPERANDO,8,22,30,0,12.998,7.26,20.453,4.68,14.48,8.234,12.459,2.298,0,2,0,0,0,0,20,21.45,172.41,73.64,39.37,71.78,0,29,0.519,0.794,-0.342
23,RECUPERANDO,8,22,30,0,13.511,8.053,20.596,4.212,14.671,7.158,13.089,2.474,0,2,0,0,0,0,20,20.8,179.19,73.64,40.56,71.78,0,29,0.508,0.791,-0.359
24,RECUPERANDO,8,22,30,0,14.014,8.663,20.517,3.764,14.877,5.845,13.7,2.638,0,2,0,0,0,0,21,20.74,185.28,73.64,41.55,71.78,0,29,0.499,0.787,-0.305
