segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,35,3,9,29,0.36,0.36,0.36,0.0,1,1,60,0,0,38,0,54.14,60.59,0,0,0.36,0.36,0.36
2,ESTABILIZANDO,35,3,9,29,0.72,0.72,0.72,0.0,0,1,0,0,0,38,0,54.14,60.59,0,0,0.36,0.36,0.36
3,ESTABILIZANDO,35,3,9,29,1.08,1.08,1.08,0.0,0,1,0,0,0,0,0,54.14,60.59,0,0,0.36,0.36,0.36
4,ESTABILIZANDO,35,3,9,29,1.44,1.44,1.44,0.0,0,1,0,0,0,0,0,54.14,60.59,0,0,0.36,0.36,0.36
5,ESTABILIZANDO,35,3,9,29,1.8,1.8,1.8,0.0,0,1,0,0,0,0,0,54.14,60.59,0,0,0.36,0.36,0.36
6,ESTABILIZANDO,35,3,9,29,2.16,2.16,2.16,0.0,0,1,0,0,0,0,0,54.14,60.59,0,0,0.36,0.36,0.36
7,ESTABILIZANDO,35,3,9,29,2.52,2.52,2.52,0.0,0,1,0,0,0,0,0,54.14,60.59,0,0,0.36,0.36,0.36
8,FRENANDO,35,3,9,29,3.587,0.0,3.699,0.348,0,1,0,0,1,1,37,54.14,60.59,0,10,0.81,1.176,-12.0
9,FRENANDO,35,3,9,29,4.702,0.0,4.871,0.598,0,1,0,0,1,1,37,53.89,60.59,0,20,0.791,1.169,-12.0
10,FRENANDO,35,3,9,29,5.797,0.0,6.035,0.912,0,1,0,0,1,1,37,48.64,60.59,0,30,0.768,1.16,-12.0
11,FRENANDO,35,3,9,29,6.864,0.0,7.189,1.29,0,1,0,0,1,1,37,42.56,60.59,0,40,0.738,1.149,-12.0
12,FRENANDO,35,3,9,29,7.899,0.0,8.332,1.745,0,1,0,0,1,1,36,35.93,60.59,0,50,0.701,1.137,-12.0
13,RECUPERANDO,35,3,9,29,8.926,1.196,9.461,1.781,0,1,0,0,0,0,37,29.78,60.59,0,50,1.01,1.196,-0.08
14,RECUPERANDO,35,3,9,29,9.914,2.392,10.574,1.897,0,1,0,0,0,0,37,24.91,60.59,0,50,0.97,1.197,-0.241
15,RECUPERANDO,35,3,9,29,10.862,3.589,11.667,2.095,0,1,0,0,0,0,36,21.47,60.59,0,50,0.93,1.197,-0.246
16,RECUPERANDO,35,3,9,29,11.769,4.786,12.737,2.352,0,1,0,0,0,0,36,19.46,60.59,0,50,0.887,1.197,-0.114
17,RECUPERANDO,35,3,9,29,12.632,5.982,13.78,2.633,1,2,60,0,0,0,36,18.73,60.59,0,50,0.843,1.195,-0.037
18,RECUPERANDO,35,3,9,29,13.45,6.401,14.79,2.918,0,2,0,0,0,0,35,19.08,60.59,0,50,0.797,1.193,-0.227
19,RECUPERANDO,35,3,9,29,14.221,6.819,15.763,3.2,0,2,0,0,0,0,36,20.3,60.59,0,50,0.749,1.188,-0.309
20,RECUPERANDO,35,3,9,29,14.943,7.408,16.691,3.475,0,2,0,0,0,0,36,22.18,60.59,0,50,0.7,1.181,-0.28
21,RECUPERANDO,35,3,9,29,15.615,8.127,17.569,3.738,0,2,0,0,0,0,35,24.59,60.59,0,50,0.65,1.17,-0.182
22,RECUPERANDO,35,3,9,29,16.237,8.941,18.389,3.979,1,3,60,0,0,0,35,27.38,60.59,0,50,0.599,1.154,-0.318
23,RECUPERANDO,35,3,9,29,16.809,9.822,19.147,4.19,0,3,0,0,0,0,32,27.08,60.59,0,50,0.55,1.132,-0.368
24,RECUPERANDO,35,3,9,29,17.332,10.098,19.835,4.364,0,3,0,0,0,0,20,27.43,60.59,0,50,0.501,1.104,-0.338
25,RECUPERANDO,35,3,9,29,17.807,10.487,20.451,4.496,0,3,0,0,0,0,15,28.4,60.59,0,50,0.454,1.069,-0.318
26,RECUPERANDO,35,3,9,29,18.235,10.999,20.993,4.589,1,4,60,0,0,0,8,29.87,60.59,0,50,0.408,1.026,-0.387
27,RECUPERANDO,35,3,9,29,18.62,11.607,21.461,4.651,0,4,0,0,0,0,4,31.74,60.59,0,50,0.366,0.976,-0.462
28,RECUPERANDO,35,3,9,29,18.964,12.156,21.859,4.689,0,4,0,0,0,0,3,31.87,60.59,0,50,0.327,0.949,-0.583
29,RECUPERANDO,35,3,9,29,19.272,12.384,22.192,4.709,1,5,60,0,0,0,3,30.91,60.59,0,50,0.291,0.925,-0.623
30,RECUPERANDO,35,3,9,29,19.545,12.726,22.466,4.712,0,5,0,0,0,0,3,28.32,60.59,0,50,0.259,0.892,-0.589
31,RECUPERANDO,35,3,9,29,19.788,13.162,22.689,4.698,0,5,0,0,0,0,3,26.18,60.59,0,50,0.231,0.851,-0.549
32,RECUPERANDO,35,3,9,29,20.005,13.661,22.869,4.662,1,6,60,0,0,0,4,24.51,60.59,0,50,0.205,0.803,-0.605
33,RECUPERANDO,35,3,9,29,20.197,13.814,23.012,4.603,0,6,0,0,0,0,4,23.3,60.59,0,50,0.182,0.769,-0.598
34,RECUPERANDO,35,3,9,29,20.368,14.063,23.126,4.517,1,7,60,0,0,0,3,22.52,60.59,0,50,0.162,0.745,-0.538
35,RECUPERANDO,35,3,9,29,20.52,14.395,23.214,4.408,0,7,0,0,0,0,3,22.1,60.59,0,50,0.144,0.714,-0.439
36,RECUPERANDO,35,3,9,29,20.656,14.77,23.279,4.278,0,7,0,0,0,0,3,22.0,60.59,0,50,0.129,0.675,-0.456
37,RECUPERANDO,35,3,9,29,20.777,14.985,23.556,4.133,0,7,0,0,0,0,3,22.16,60.59,0,50,0.115,0.632,-0.5
38,RECUPERANDO,35,3,9,29,20.885,15.287,23.808,3.976,1,8,60,0,0,0,2,22.52,60.59,0,50,0.104,0.613,-0.52
39,RECUPERANDO,35,3,9,29,20.983,15.656,24.009,3.812,0,8,0,0,0,0,3,23.03,60.59,0,50,0.093,0.59,-0.503
40,RECUPERANDO,35,3,9,29,21.072,16.074,24.165,3.641,1,9,60,0,0,0,2,23.67,60.59,0,50,0.085,0.56,-0.454
41,RECUPERANDO,35,3,9,29,21.152,16.369,24.28,3.466,0,9,0,0,0,0,2,24.38,60.59,0,50,0.077,0.525,-0.383
42,RECUPERANDO,35,3,9,29,21.224,16.635,24.361,3.286,0,9,0,0,0,0,1,25.14,60.59,0,50,0.069,0.504,-0.384
43,RECUPERANDO,35,3,9,29,21.29,16.953,24.413,3.105,1,10,60,0,0,0,0,25.93,60.59,0,50,0.063,0.486,-0.371
44,RECUPERANDO,35,3,9,29,21.35,17.193,24.439,2.923,0,10,0,0,0,0,0,25.49,60.59,0,50,0.057,0.477,-0.34
45,RECUPERANDO,35,3,9,29,21.403,17.316,24.443,2.745,0,10,0,0,0,0,0,25.16,60.59,0,50,0.051,0.464,-0.295
46,RECUPERANDO,35,3,9,29,21.452,17.493,24.429,2.574,0,10,0,0,0,0,0,25.01,60.59,0,50,0.046,0.445,-0.289
47,RECUPERANDO,35,3,9,29,21.495,17.642,24.4,2.414,1,11,60,0,0,0,0,25.02,60.59,0,50,0.042,0.421,-0.303
