segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,19,19,38,0,0.36,0.36,0.36,0.0,1,1,60,0,0,38,0,54.14,57.64,0,0,0.36,0.36,0.36
2,ESTABILIZANDO,19,19,38,0,0.72,0.72,0.72,0.0,0,1,0,0,0,38,0,54.14,57.64,0,0,0.36,0.36,0.36
3,ESTABILIZANDO,19,19,38,0,1.08,1.08,1.08,0.0,0,1,0,0,0,0,0,54.14,57.64,0,0,0.36,0.36,0.36
4,ESTABILIZANDO,19,19,38,0,1.44,1.44,1.44,0.0,0,1,0,0,0,0,0,54.14,57.64,0,0,0.36,0.36,0.36
5,ESTABILIZANDO,19,19,38,0,1.8,1.8,1.8,0.0,0,1,0,0,0,0,0,54.14,57.64,0,0,0.36,0.36,0.36
6,ESTABILIZANDO,19,19,38,0,2.16,2.16,2.16,0.0,0,1,0,0,0,0,0,54.14,57.64,0,0,0.36,0.36,0.36
7,ESTABILIZANDO,19,19,38,0,2.52,2.52,2.52,0.0,0,1,0,0,0,0,0,54.14,57.64,0,0,0.36,0.36,0.36
8,FRENANDO,19,19,38,0,3.598,0.0,3.699,0.35,0,1,0,0,1,1,37,51.13,57.64,0,10,0.825,1.176,-12.0
9,FRENANDO,19,19,38,0,4.734,0.0,4.871,0.606,0,1,0,0,1,1,37,46.85,57.64,0,20,0.815,1.169,-12.0
10,FRENANDO,19,19,38,0,5.857,0.0,6.035,0.929,0,1,0,0,1,1,37,41.54,57.64,0,30,0.801,1.16,-12.0
11,FRENANDO,19,19,38,0,6.964,0.0,7.189,1.323,0,1,0,0,1,1,37,35.36,57.64,0,40,0.782,1.149,-12.0
12,FRENANDO,19,19,38,0,8.048,0.0,8.332,1.802,0,1,0,0,1,1,36,28.61,57.64,0,50,0.755,1.137,-12.0
13,RECUPERANDO,19,19,38,0,9.135,1.196,9.462,1.874,0,1,0,0,0,0,37,22.37,57.64,0,50,1.074,1.196,-0.194
14,RECUPERANDO,19,19,38,0,10.193,2.392,10.575,2.054,0,1,0,0,0,0,37,17.54,57.64,0,50,1.045,1.197,-0.392
15,RECUPERANDO,19,19,38,0,11.222,3.589,11.67,2.342,0,1,0,0,0,0,37,14.29,57.64,0,50,1.016,1.197,-0.356
16,RECUPERANDO,19,19,38,0,12.222,4.786,12.743,2.681,0,1,0,0,0,0,36,12.55,57.64,0,50,0.986,1.196,-0.121
17,RECUPERANDO,19,19,38,0,13.19,5.947,13.791,3.004,1,2,60,0,0,0,36,12.1,57.64,0,50,0.952,1.194,0.004
18,RECUPERANDO,19,19,38,0,14.122,6.307,14.81,3.289,0,2,0,0,0,0,36,12.61,57.64,0,50,0.914,1.191,-0.252
19,RECUPERANDO,19,19,38,0,15.013,6.919,15.798,3.551,0,2,0,0,0,0,36,13.81,57.64,0,50,0.872,1.184,-0.358
20,RECUPERANDO,19,19,38,0,15.86,7.708,16.75,3.8,0,2,0,0,0,0,36,15.48,57.64,0,50,0.826,1.174,-0.304
21,RECUPERANDO,19,19,38,0,16.66,8.614,17.662,4.026,1,3,60,0,0,0,36,17.47,57.64,0,50,0.778,1.16,-0.136
22,RECUPERANDO,19,19,38,0,17.41,9.595,18.533,4.219,0,3,0,0,0,0,35,19.66,57.64,0,50,0.727,1.14,-0.257
23,RECUPERANDO,19,19,38,0,18.108,10.619,19.357,4.369,0,3,0,0,0,0,35,19.84,57.64,0,50,0.675,1.115,-0.337
24,RECUPERANDO,19,19,38,0,18.754,11.281,20.134,4.476,0,3,0,0,0,0,34,19.95,57.64,0,50,0.622,1.082,-0.303
25,RECUPERANDO,19,19,38,0,19.347,11.859,20.861,4.543,1,4,60,0,0,0,35,20.61,57.64,0,50,0.57,1.059,-0.302
26,RECUPERANDO,19,19,38,0,19.889,12.562,21.537,4.569,0,4,0,0,0,0,27,21.69,57.64,0,50,0.52,1.053,-0.395
27,RECUPERANDO,19,19,38,0,20.383,13.353,22.16,4.555,0,4,0,0,0,0,14,23.05,57.64,0,50,0.472,1.036,-0.382
28,RECUPERANDO,19,19,38,0,20.829,14.203,22.731,4.494,1,5,60,0,0,0,7,24.63,57.64,0,50,0.426,1.011,-0.288
29,RECUPERANDO,19,19,38,0,21.232,14.795,23.25,4.385,0,5,0,0,0,0,3,25.95,57.64,0,50,0.383,0.976,-0.263
30,RECUPERANDO,19,19,38,0,21.593,15.29,23.719,4.232,0,5,0,0,0,0,4,26.47,57.64,0,50,0.343,0.933,-0.287
31,RECUPERANDO,19,19,38,0,21.915,15.866,24.137,4.043,1,6,60,0,0,0,4,27.08,57.64,0,50,0.305,0.89,-0.257
32,RECUPERANDO,19,19,38,0,22.2,16.496,24.508,3.828,0,6,0,0,0,0,4,26.84,57.64,0,50,0.27,0.87,-0.187
33,RECUPERANDO,19,19,38,0,22.453,16.896,24.833,3.598,0,6,0,0,0,0,4,26.96,57.64,0,50,0.239,0.838,-0.203
34,RECUPERANDO,19,19,38,0,22.675,17.317,25.115,3.365,1,7,60,0,0,0,3,27.36,57.64,0,50,0.21,0.797,-0.21
35,RECUPERANDO,19,19,38,0,22.87,17.798,25.357,3.136,0,7,0,0,0,0,4,27.97,57.64,0,50,0.184,0.747,-0.247
