segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,10,28,38,0,0.36,0.36,0.36,0.0,1,1,60,0,0,38,0,54.14,55.98,0,0,0.36,0.36,0.36
2,ESTABILIZANDO,10,28,38,0,0.72,0.72,0.72,0.0,0,1,0,0,0,38,0,54.14,55.98,0,0,0.36,0.36,0.36
3,ESTABILIZANDO,10,28,38,0,1.08,1.08,1.08,0.0,0,1,0,0,0,0,0,54.14,55.98,0,0,0.36,0.36,0.36
4,ESTABILIZANDO,10,28,38,0,1.44,1.44,1.44,0.0,0,1,0,0,0,0,0,54.14,55.98,0,0,0.36,0.36,0.36
5,ESTABILIZANDO,10,28,38,0,1.8,1.8,1.8,0.0,0,1,0,0,0,0,0,54.14,55.98,0,0,0.36,0.36,0.36
6,ESTABILIZANDO,10,28,38,0,2.16,2.16,2.16,0.0,0,1,0,0,0,0,0,54.14,55.98,0,0,0.36,0.36,0.36
7,ESTABILIZANDO,10,28,38,0,2.52,2.52,2.52,0.0,0,1,0,0,0,0,0,54.14,55.98,0,0,0.36,0.36,0.36
8,FRENANDO,10,28,38,0,3.597,0.0,3.699,0.35,0,1,0,0,1,1,37,51.13,55.98,0,10,0.823,1.176,-12.0
9,FRENANDO,10,28,38,0,4.73,0.0,4.871,0.605,0,1,0,0,1,1,37,46.85,55.98,0,20,0.813,1.169,-12.0
10,FRENANDO,10,28,38,0,5.851,0.0,6.035,0.928,0,1,0,0,1,1,37,41.54,55.98,0,30,0.798,1.16,-12.0
11,FRENANDO,10,28,38,0,6.955,0.0,7.189,1.319,0,1,0,0,1,1,37,35.37,55.98,0,40,0.778,1.149,-12.0
12,FRENANDO,10,28,38,0,8.034,0.0,8.332,1.795,0,1,0,0,1,1,36,28.62,55.98,0,50,0.75,1.137,-12.0
13,RECUPERANDO,10,28,38,0,9.115,1.196,9.462,1.864,0,1,0,0,0,0,37,22.39,55.98,0,50,1.067,1.196,-0.193
14,RECUPERANDO,10,28,38,0,10.164,2.392,10.575,2.038,0,1,0,0,0,0,37,17.56,55.98,0,50,1.036,1.197,-0.389
15,RECUPERANDO,10,28,38,0,11.182,3.589,11.669,2.322,0,1,0,0,0,0,37,14.3,55.98,0,50,1.003,1.197,-0.354
16,RECUPERANDO,10,28,38,0,12.167,4.786,12.742,2.662,0,1,0,0,0,0,36,12.57,55.98,0,50,0.969,1.196,-0.119
17,RECUPERANDO,10,28,38,0,13.116,5.949,13.789,3.003,1,2,60,0,0,0,36,12.11,55.98,0,50,0.932,1.194,-0.156
18,RECUPERANDO,10,28,38,0,14.025,6.308,14.807,3.325,0,2,0,0,0,0,36,12.63,55.98,0,50,0.89,1.191,-0.366
19,RECUPERANDO,10,28,38,0,14.89,6.918,15.792,3.634,0,2,0,0,0,0,36,13.83,55.98,0,50,0.845,1.184,-0.396
20,RECUPERANDO,10,28,38,0,15.708,7.704,16.741,3.927,0,2,0,0,0,0,36,15.5,55.98,0,50,0.796,1.174,-0.268
21,RECUPERANDO,10,28,38,0,16.476,8.606,17.648,4.195,0,2,0,0,0,0,35,17.49,55.98,0,50,0.745,1.16,-0.299
22,RECUPERANDO,10,28,38,0,17.192,9.578,18.512,4.427,1,3,60,0,0,0,35,18.48,55.98,0,50,0.692,1.14,-0.418
23,RECUPERANDO,10,28,38,0,17.855,10.345,19.327,4.614,0,3,0,0,0,0,35,18.42,55.98,0,50,0.639,1.115,-0.396
