segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,29,9,38,0,0.36,0.36,0.36,0.0,1,1,60,0,0,38,0,54.14,59.48,0,0,0.36,0.36,0.36
2,ESTABILIZANDO,29,9,38,0,0.72,0.72,0.72,0.0,0,1,0,0,0,38,0,54.14,59.48,0,0,0.36,0.36,0.36
3,ESTABILIZANDO,29,9,38,0,1.08,1.08,1.08,0.0,0,1,0,0,0,0,0,54.14,59.48,0,0,0.36,0.36,0.36
4,ESTABILIZANDO,29,9,38,0,1.44,1.44,1.44,0.0,0,1,0,0,0,0,0,54.14,59.48,0,0,0.36,0.36,0.36
5,ESTABILIZANDO,29,9,38,0,1.8,1.8,1.8,0.0,0,1,0,0,0,0,0,54.14,59.48,0,0,0.36,0.36,0.36
6,ESTABILIZANDO,29,9,38,0,2.16,2.16,2.16,0.0,0,1,0,0,0,0,0,54.14,59.48,0,0,0.36,0.36,0.36
7,ESTABILIZANDO,29,9,38,0,2.52,2.52,2.52,0.0,0,1,0,0,0,0,0,54.14,59.48,0,0,0.36,0.36,0.36
8,FRENANDO,29,9,38,0,3.6,0.0,3.699,0.35,0,1,0,0,1,1,37,54.14,59.48,0,10,0.827,1.176,-12.0
9,FRENANDO,29,9,38,0,4.738,0.0,4.871,0.607,0,1,0,0,1,1,37,53.82,59.48,0,20,0.818,1.169,-12.0
10,FRENANDO,29,9,38,0,5.865,0.0,6.035,0.931,0,1,0,0,1,1,37,48.45,59.48,0,30,0.806,1.16,-12.0
11,FRENANDO,29,9,38,0,6.978,0.0,7.189,1.322,0,1,0,0,1,1,37,42.14,59.48,0,40,0.789,1.149,-12.0
12,FRENANDO,29,9,38,0,8.071,0.0,8.332,1.789,0,1,0,0,1,1,36,35.1,59.48,0,50,0.766,1.137,-12.0
13,RECUPERANDO,29,9,38,0,9.171,1.196,9.462,1.817,0,1,0,0,0,0,37,28.34,59.48,0,50,1.088,1.197,0.079
14,RECUPERANDO,29,9,38,0,10.244,2.393,10.575,1.918,0,1,0,0,0,0,37,22.72,59.48,0,50,1.061,1.197,-0.176
15,RECUPERANDO,29,9,38,0,11.29,3.591,11.67,2.115,0,1,0,0,0,0,37,18.48,59.48,0,50,1.033,1.197,-0.275
16,RECUPERANDO,29,9,38,0,12.306,4.788,12.743,2.392,0,1,0,0,0,0,37,15.7,59.48,0,50,1.004,1.197,-0.184
17,RECUPERANDO,29,9,38,0,13.293,5.985,13.791,2.7,1,2,60,0,0,0,36,14.27,59.48,0,50,0.972,1.196,0.045
18,RECUPERANDO,29,9,38,0,14.247,7.06,14.811,2.996,0,2,0,0,0,0,36,13.96,59.48,0,50,0.938,1.195,-0.061
19,RECUPERANDO,29,9,38,0,15.164,7.512,15.798,3.275,0,2,0,0,0,0,37,14.51,59.48,0,50,0.9,1.192,-0.228
