segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,car_mean_velocity,car_velocity_variance,truck_mean_velocity,truck_velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,max_gap,avg_gap,std_gap,median_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,27,3,15,15,0.715,0.4,0.75,0.011,0.75,0.0,0.4,0.0,1,1,60,0,0,30,27,71.58,78.97,78.08,2.16,78.78,0,0,0.715,0.75,0.4
2,ESTABILIZANDO,27,3,15,15,1.43,0.8,1.5,0.044,1.5,0.0,0.8,0.0,0,1,0,0,0,3,27,71.04,79.51,78.08,2.36,78.78,0,0,0.715,0.75,0.4
3,ESTABILIZANDO,27,3,15,15,2.145,1.2,2.25,0.099,2.25,0.0,1.2,0.0,0,1,0,0,0,0,27,70.15,80.4,78.08,2.69,78.78,0,0,0.715,0.75,0.4
4,ESTABILIZANDO,27,3,15,15,2.86,1.6,3.0,0.176,3.0,0.0,1.6,0.0,0,1,0,0,0,0,27,68.91,81.65,78.08,3.17,78.78,0,0,0.715,0.75,0.4
5,ESTABILIZANDO,27,3,15,15,3.575,2.0,3.75,0.276,3.75,0.0,2.0,0.0,0,1,0,0,0,0,27,67.31,83.24,78.08,3.83,78.78,0,0,0.715,0.75,0.4
6,ESTABILIZANDO,27,3,15,15,4.29,2.4,4.5,0.397,4.5,0.0,2.4,0.0,0,1,0,0,0,0,27,65.37,85.18,78.08,4.65,78.78,0,0,0.715,0.75,0.4
7,ESTABILIZANDO,27,3,15,15,5.005,2.8,5.25,0.54,5.25,0.0,2.8,0.0,0,1,0,0,0,0,27,63.08,87.47,78.08,5.63,78.78,0,0,0.715,0.75,0.4
8,ESTABILIZANDO,27,3,15,15,5.72,3.2,6.0,0.706,6.0,0.0,3.2,0.0,0,1,0,0,0,0,27,60.44,90.12,78.08,6.78,78.78,0,0,0.715,0.75,0.4
9,ESTABILIZANDO,27,3,15,15,6.435,3.6,6.75,0.893,6.75,0.0,3.6,0.0,0,1,0,0,0,0,27,57.44,93.11,78.08,8.1,78.78,0,0,0.715,0.75,0.4
10,ESTABILIZANDO,27,3,15,15,7.15,4.0,7.5,1.103,7.5,0.0,4.0,0.0,0,1,0,0,0,0,27,54.1,96.45,78.08,9.57,78.78,0,0,0.715,0.75,0.4
11,FRENANDO,27,3,15,15,8.189,0.0,8.928,3.822,8.566,2.826,4.796,0.0,0,1,0,0,1,1,29,50.37,100.3,78.08,10.9,78.78,0,10,1.003,1.418,-8.0
12,FRENANDO,27,3,15,15,9.433,0.0,10.331,5.032,9.86,3.77,5.592,0.0,0,1,0,0,1,1,29,46.31,104.77,78.08,12.46,78.78,0,20,0.955,1.39,-8.0
13,RECUPERANDO,27,3,15,15,10.627,0.149,11.703,6.268,11.098,4.744,6.385,0.0,0,1,0,0,0,1,29,42.13,109.83,78.08,14.5,78.77,0,29,1.209,1.488,0.39
