segundo,estado_sim,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,velocity_variance,car_mean_velocity,car_velocity_variance,truck_mean_velocity,truck_velocity_variance,throughput_per_second,cumulative_throughput,throughput_per_min,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,max_gap,avg_gap,std_gap,median_gap,near_collisions,hard_brakes,avg_acceleration,max_acceleration,min_acceleration
1,ESTABILIZANDO,15,15,0,30,0.575,0.4,0.75,0.031,0.75,0.0,0.4,0.0,1,1,60,0,0,30,15,71.58,78.97,75.28,3.6,75.28,0,0,0.575,0.75,0.4
2,ESTABILIZANDO,15,15,0,30,1.15,0.8,1.5,0.122,1.5,0.0,0.8,0.0,0,1,0,0,0,15,15,71.04,79.51,75.28,3.91,75.28,0,0,0.575,0.75,0.4
3,ESTABILIZANDO,15,15,0,30,1.725,1.2,2.25,0.276,2.25,0.0,1.2,0.0,0,1,0,0,0,0,15,70.15,80.4,75.28,4.44,75.28,0,0,0.575,0.75,0.4
4,ESTABILIZANDO,15,15,0,30,2.3,1.6,3.0,0.49,3.0,0.0,1.6,0.0,0,1,0,0,0,0,15,68.91,81.65,75.28,5.23,75.28,0,0,0.575,0.75,0.4
5,ESTABILIZANDO,15,15,0,30,2.875,2.0,3.75,0.766,3.75,0.0,2.0,0.0,0,1,0,0,0,0,15,67.31,83.24,75.28,6.29,75.28,0,0,0.575,0.75,0.4
6,ESTABILIZANDO,15,15,0,30,3.45,2.4,4.5,1.103,4.5,0.0,2.4,0.0,0,1,0,0,0,0,15,65.37,85.18,75.28,7.62,75.28,0,0,0.575,0.75,0.4
7,ESTABILIZANDO,15,15,0,30,4.025,2.8,5.25,1.501,5.25,0.0,2.8,0.0,0,1,0,0,0,0,15,63.08,87.47,75.28,9.22,75.28,0,0,0.575,0.75,0.4
8,ESTABILIZANDO,15,15,0,30,4.6,3.2,6.0,1.96,6.0,0.0,3.2,0.0,0,1,0,0,0,0,15,60.44,90.12,75.28,11.1,75.28,0,0,0.575,0.75,0.4
9,ESTABILIZANDO,15,15,0,30,5.175,3.6,6.75,2.481,6.75,0.0,3.6,0.0,0,1,0,0,0,0,15,57.44,93.11,75.28,13.24,75.28,0,0,0.575,0.75,0.4
10,ESTABILIZANDO,15,15,0,30,5.75,4.0,7.5,3.063,7.5,0.0,4.0,0.0,0,1,0,0,0,0,15,54.1,96.45,75.28,15.65,75.28,0,0,0.575,0.75,0.4
11,FRENANDO,15,15,0,30,6.474,0.0,8.904,5.239,8.163,4.774,4.786,0.0,0,1,0,0,1,1,29,50.39,100.29,75.28,18.39,72.74,0,10,0.68,1.39,-8.0
12,FRENANDO,15,15,0,30,7.384,0.0,10.275,6.365,9.2,6.133,5.568,0.001,0,1,0,0,1,1,29,46.39,104.72,75.28,21.62,71.82,0,20,0.61,1.353,-8.0
13,RECUPERANDO,15,15,0,30,8.218,0.149,11.604,7.19,10.091,7.367,6.346,0.002,0,1,0,0,0,1,29,42.31,109.7,75.28,25.2,71.89,0,29,0.839,1.495,0.39
14,RECUPERANDO,15,15,0,30,9.007,1.645,12.88,7.028,10.895,6.921,7.119,0.003,0,1,0,0,0,0,21,38.35,115.79,75.28,28.89,71.98,0,29,0.747,1.496,0.033
15,RECUPERANDO,15,15,0,30,9.705,3.141,14.092,6.685,11.526,6.733,7.884,0.006,1,2,60,0,0,0,21,34.75,126.72,75.28,32.46,72.12,0,29,0.66,1.496,-0.264
16,RECUPERANDO,15,15,0,30,10.323,4.637,15.226,6.282,12.006,6.893,8.641,0.01,0,2,0,0,0,0,21,30.37,137.16,75.28,35.74,71.78,0,29,0.587,1.496,-0.408
17,RECUPERANDO,15,15,0,30,10.881,6.132,16.264,5.889,12.375,7.298,9.386,0.015,0,2,0,0,0,0,21,25.99,146.93,75.28,38.65,71.79,0,29,0.536,1.493,-0.357
18,RECUPERANDO,15,15,0,30,11.397,7.621,17.19,5.477,12.676,7.661,10.118,0.021,0,2,0,0,0,0,17,23.43,155.82,75.28,41.17,71.8,0,29,0.503,1.487,-0.143
19,RECUPERANDO,15,15,0,30,11.889,9.102,17.982,4.971,12.945,7.683,10.833,0.029,0,2,0,0,0,0,17,22.47,163.6,75.28,43.3,71.81,0,29,0.484,1.475,0.08
20,RECUPERANDO,15,15,0,30,12.367,9.738,18.621,4.334,13.205,7.226,11.528,0.037,0,2,0,0,0,0,17,22.8,170.03,75.28,45.05,71.83,0,29,0.473,1.456,-0.057
21,RECUPERANDO,15,15,0,30,12.835,10.305,19.091,3.605,13.469,6.361,12.202,0.046,0,2,0,0,0,0,17,24.13,174.95,75.28,46.44,71.78,0,29,0.466,1.423,-0.209
22,RECUPERANDO,15,15,0,30,13.298,11.071,19.381,2.873,13.745,5.292,12.851,0.056,0,2,0,0,0,0,17,26.2,178.23,75.28,47.47,71.78,0,29,0.461,1.376,-0.292
23,RECUPERANDO,15,15,0,30,13.756,11.973,19.495,2.23,14.038,4.236,13.474,0.066,0,2,0,0,0,0,17,27.12,179.85,75.28,48.15,71.79,0,29,0.456,1.311,-0.305
24,RECUPERANDO,15,15,0,30,14.21,12.816,19.446,1.734,14.352,3.351,14.069,0.076,0,2,0,0,0,0,17,27.97,179.87,75.28,48.5,71.79,0,29,0.452,1.227,-0.264
25,RECUPERANDO,15,15,0,30,14.66,13.264,19.264,1.4,14.686,2.712,14.633,0.085,0,2,0,0,0,0,18,28.94,183.78,75.28,48.55,71.8,0,29,0.446,1.126,-0.233
26,RECUPERANDO,15,15,0,30,15.102,13.732,18.985,1.213,15.038,2.324,15.165,0.094,1,3,60,0,0,0,15,29.96,187.49,75.28,48.32,71.81,0,29,0.438,1.022,-0.311
27,RECUPERANDO,15,15,0,30,15.534,14.204,19.189,1.141,15.403,2.147,15.665,0.101,0,3,0,0,0,0,6,31.01,190.32,75.28,47.87,71.83,0,29,0.427,0.985,-0.347
28,RECUPERANDO,15,15,0,30,15.953,14.671,20.002,1.148,15.776,2.125,16.131,0.107,0,3,0,0,0,0,3,32.04,192.28,75.28,47.23,71.84,0,29,0.413,0.928,-0.345
29,RECUPERANDO,15,15,0,30,16.356,15.124,20.687,1.197,16.15,2.197,16.563,0.112,1,4,60,0,0,0,2,32.47,193.42,75.28,46.45,71.87,0,29,0.395,0.855,-0.312
30,RECUPERANDO,15,15,0,30,16.74,15.371,21.249,1.262,16.518,2.309,16.962,0.116,0,4,0,0,0,0,2,32.78,193.82,75.28,45.57,71.89,0,29,0.374,0.771,-0.257
31,RECUPERANDO,15,15,0,30,17.102,15.631,21.698,1.321,16.876,2.421,17.328,0.118,1,5,60,0,0,0,1,33.29,193.56,75.28,44.63,71.92,0,29,0.352,0.68,-0.191
32,RECUPERANDO,15,15,0,30,17.441,15.925,22.047,1.361,17.219,2.503,17.662,0.12,0,5,0,0,0,0,1,33.95,192.75,75.28,43.66,71.96,0,29,0.328,0.587,-0.121
33,RECUPERANDO,15,15,0,30,17.755,16.239,22.309,1.376,17.544,2.542,17.966,0.121,0,5,0,0,0,0,0,34.7,191.51,75.28,42.69,72.0,0,29,0.303,0.498,-0.054
