segundo,estado_experimento,coches_crucero,coches_frenando,coches_atasco,coches_recuperando,vel_media_sistema,vel_min
1,ESTABILIZANDO,38,0,0,0,25.0,25.0
2,ESTABILIZANDO,38,0,0,0,25.0,25.0
3,ESTABILIZANDO,38,0,0,0,25.0,25.0
4,ESTABILIZANDO,38,0,0,0,25.0,25.0
5,ESTABILIZANDO,38,0,0,0,25.0,25.0
6,ESTABILIZANDO,38,0,0,0,25.0,25.0
7,ESTABILIZANDO,38,0,0,0,25.0,25.0
8,ESTABILIZANDO,38,0,0,0,25.0,25.0
9,ESTABILIZANDO,38,0,0,0,25.0,25.0
10,ESTABILIZANDO,38,0,0,0,25.0,25.0
11,FRENANDO,36,2,0,0,24.13,13.0
12,FRENANDO,34,3,1,0,23.22,1.0
13,FRENANDO,0,36,2,0,22.64,0
14,FRENANDO,0,36,2,0,22.17,0
15,FRENANDO,0,36,2,0,21.76,0
16,FRENANDO,0,35,3,0,21.38,0
17,FRENANDO,0,35,3,0,21.02,0
18,FRENANDO,0,34,4,0,20.68,0
19,FRENANDO,0,34,4,0,20.36,0
20,FRENANDO,0,34,4,0,20.05,0
21,RECUPERANDO,0,33,5,0,19.79,0
22,RECUPERANDO,0,33,5,0,19.55,0.24
23,RECUPERANDO,0,32,6,0,19.32,0.05
24,RECUPERANDO,0,32,6,0,19.12,0.23
25,RECUPERANDO,0,32,6,0,18.93,0.26
26,RECUPERANDO,0,31,7,0,18.76,0.27
27,RECUPERANDO,0,31,7,0,18.6,0.61
28,RECUPERANDO,0,31,7,0,18.46,0.41
29,RECUPERANDO,0,30,8,0,18.34,0.59
30,RECUPERANDO,0,30,8,0,18.23,0.65
31,RECUPERANDO,0,29,8,1,18.13,0.65
32,RECUPERANDO,0,29,8,1,18.05,0.95
33,RECUPERANDO,0,29,8,1,17.97,0.81
34,RECUPERANDO,0,28,8,2,17.91,0.95
35,RECUPERANDO,0,28,8,2,17.86,1.09
36,RECUPERANDO,0,27,9,2,17.82,1.04
37,RECUPERANDO,0,27,8,3,17.78,1.31
38,RECUPERANDO,0,27,8,3,17.76,1.24
39,RECUPERANDO,0,26,9,3,17.74,1.34
40,RECUPERANDO,0,26,8,4,17.73,1.57
41,RECUPERANDO,0,26,8,4,17.72,1.48
