segundo,estado_experimento,coches_crucero,coches_frenando,coches_atasco,coches_recuperando,vel_media_sistema,vel_min
1,ESTABILIZANDO,38,0,0,0,30.0,30.0
2,ESTABILIZANDO,38,0,0,0,30.0,30.0
3,ESTABILIZANDO,38,0,0,0,30.0,30.0
4,ESTABILIZANDO,38,0,0,0,30.0,30.0
5,ESTABILIZANDO,38,0,0,0,30.0,30.0
6,ESTABILIZANDO,38,0,0,0,30.0,30.0
7,ESTABILIZANDO,38,0,0,0,30.0,30.0
8,ESTABILIZANDO,38,0,0,0,30.0,30.0
9,ESTABILIZANDO,38,0,0,0,30.0,30.0
10,ESTABILIZANDO,38,0,0,0,30.0,30.0
11,FRENANDO,36,2,0,0,28.91,18.0
12,FRENANDO,0,37,1,0,27.78,6.0
13,FRENANDO,0,36,2,0,26.79,0
14,FRENANDO,0,36,2,0,26.09,0
15,FRENANDO,0,35,3,0,25.47,0
16,RECUPERANDO,0,35,3,0,24.94,1.08
17,RECUPERANDO,0,34,4,0,24.47,2.28
18,RECUPERANDO,0,34,4,0,24.05,2.66
19,RECUPERANDO,0,33,5,0,23.67,2.92
20,RECUPERANDO,0,33,5,0,23.33,3.52
21,RECUPERANDO,0,33,5,0,23.02,3.71
22,RECUPERANDO,0,32,6,0,22.74,3.91
23,RECUPERANDO,0,32,6,0,22.49,4.39
24,RECUPERANDO,0,31,7,0,22.27,4.36
25,RECUPERANDO,0,31,7,0,22.06,4.6
26,RECUPERANDO,0,30,8,0,21.88,4.82
27,RECUPERANDO,0,30,8,0,21.72,4.87
28,RECUPERANDO,0,30,7,1,21.57,5.18
29,RECUPERANDO,0,29,8,1,21.44,5.18
30,RECUPERANDO,0,29,8,1,21.33,5.34
31,RECUPERANDO,0,28,9,1,21.23,5.51
32,RECUPERANDO,0,28,8,2,21.15,5.55
33,RECUPERANDO,0,28,8,2,21.07,5.8
34,RECUPERANDO,0,27,9,2,21.01,5.78
35,RECUPERANDO,0,27,8,3,20.96,5.93
36,RECUPERANDO,0,26,9,3,20.91,6.06
37,RECUPERANDO,0,26,8,4,20.88,6.1
38,RECUPERANDO,0,25,9,4,20.85,6.33
39,RECUPERANDO,0,25,9,4,20.84,6.3
40,RECUPERANDO,0,25,8,5,20.82,6.45
41,RECUPERANDO,0,24,9,5,20.82,6.54
42,RECUPERANDO,0,24,9,5,20.81,6.6
43,RECUPERANDO,0,23,9,6,20.82,6.83
44,RECUPERANDO,0,23,9,6,20.82,6.78
45,RECUPERANDO,0,23,8,7,20.83,6.93
46,RECUPERANDO,0,22,9,7,20.84,7.01
47,RECUPERANDO,0,22,9,7,20.86,7.07
48,RECUPERANDO,0,21,9,8,20.87,7.28
49,RECUPERANDO,0,21,9,8,20.89,7.25
50,RECUPERANDO,0,21,8,9,20.91,7.4
51,RECUPERANDO,0,20,9,9,20.94,7.47
52,RECUPERANDO,1,20,9,8,20.96,7.54
53,RECUPERANDO,1,20,8,9,20.98,7.73
54,RECUPERANDO,1,19,9,9,21.01,7.71
55,RECUPERANDO,1,19,8,10,21.03,7.86
56,RECUPERANDO,1,18,9,10,21.06,7.93
57,RECUPERANDO,1,18,8,11,21.09,8.0
58,RECUPERANDO,1,18,8,11,21.12,8.2
59,RECUPERANDO,1,17,9,11,21.14,8.18
60,RECUPERANDO,1,17,8,12,21.17,8.33
61,RECUPERANDO,1,16,9,12,21.2,8.41
62,RECUPERANDO,1,16,8,13,21.23,8.47
63,RECUPERANDO,1,16,8,13,21.26,8.68
64,RECUPERANDO,1,15,9,13,21.29,8.66
65,RECUPERANDO,1,15,8,14,21.32,8.8
66,RECUPERANDO,1,15,8,14,21.35,8.9
67,RECUPERANDO,1,14,8,15,21.38,8.96
68,RECUPERANDO,1,14,8,15,21.41,9.16
69,RECUPERANDO,1,13,8,16,21.44,9.15
70,RECUPERANDO,1,13,8,16,21.48,9.28
71,RECUPERANDO,1,13,8,16,21.51,9.4
72,RECUPERANDO,1,12,8,17,21.54,9.45
73,RECUPERANDO,1,12,8,17,21.57,9.63
74,RECUPERANDO,1,12,7,18,21.6,9.66
75,RECUPERANDO,1,11,8,18,21.63,9.77
76,RECUPERANDO,1,11,7,19,21.66,9.93
77,RECUPERANDO,1,10,8,19,21.7,9.96
78,RECUPERANDO,1,10,8,19,21.73,10.12
79,RECUPERANDO,1,10,7,20,21.76,10.19
80,RECUPERANDO,1,9,8,20,21.79,10.28
81,RECUPERANDO,1,9,7,21,21.82,10.48
82,RECUPERANDO,1,9,7,21,21.85,10.48
83,RECUPERANDO,1,8,7,22,21.89,10.62
84,RECUPERANDO,1,8,7,22,21.92,10.74
85,RECUPERANDO,1,8,7,22,21.95,10.8
86,RECUPERANDO,1,7,7,23,21.98,10.98
87,RECUPERANDO,1,7,7,23,22.01,11.03
88,RECUPERANDO,1,7,6,24,22.05,11.14
89,RECUPERANDO,1,6,7,24,22.08,11.32
90,RECUPERANDO,1,6,6,25,22.11,11.34
91,RECUPERANDO,1,7,6,24,22.14,11.49
92,RECUPERANDO,1,6,6,25,22.18,11.6
93,RECUPERANDO,1,6,6,25,22.21,11.67
94,RECUPERANDO,1,6,6,25,22.24,11.86
95,RECUPERANDO,1,5,6,26,22.28,11.91
96,RECUPERANDO,1,5,6,26,22.32,12.02
97,RECUPERANDO,1,5,5,27,22.36,12.21
98,RECUPERANDO,0,5,6,27,22.4,12.24
99,RECUPERANDO,0,5,5,28,22.45,12.37
100,RECUPERANDO,0,5,5,28,22.51,12.51
101,RECUPERANDO,0,4,6,28,22.57,12.57
102,RECUPERANDO,0,5,5,28,22.64,12.74
103,RECUPERANDO,0,5,5,28,22.71,12.83
104,RECUPERANDO,0,4,5,29,22.79,12.92
105,RECUPERANDO,0,4,5,29,22.88,13.1
106,RECUPERANDO,0,4,4,30,22.97,13.15
107,RECUPERANDO,0,3,5,30,23.07,13.27
108,RECUPERANDO,0,3,4,31,23.17,13.46
109,RECUPERANDO,0,4,4,30,23.27,13.49
110,RECUPERANDO,0,4,4,30,23.36,13.62
111,RECUPERANDO,0,4,3,31,23.46,13.78
112,RECUPERANDO,0,4,3,31,23.56,13.83
113,RECUPERANDO,0,4,2,32,23.65,13.98
114,RECUPERANDO,0,4,2,32,23.74,14.2
115,RECUPERANDO,0,5,1,32,23.82,14.49
116,RECUPERANDO,0,5,1,32,23.9,14.83
117,RECUPERANDO,0,5,0,33,23.98,15.21
118,RECUPERANDO,0,5,0,33,24.05,15.61
119,RECUPERANDO,0,5,0,33,24.12,16.05
120,RECUPERANDO,0,5,0,33,24.18,16.49
121,RECUPERANDO,0,6,0,32,24.24,16.94
122,RECUPERANDO,0,6,0,32,24.3,17.39
123,RECUPERANDO,0,5,0,33,24.35,17.83
124,RECUPERANDO,0,5,0,33,24.4,18.27
125,RECUPERANDO,0,5,0,33,24.45,18.69
126,RECUPERANDO,0,6,0,32,24.49,19.09
127,RECUPERANDO,0,6,0,32,24.54,19.47
128,RECUPERANDO,0,6,0,32,24.57,19.72
129,RECUPERANDO,0,5,0,33,24.61,19.95
130,RECUPERANDO,0,5,0,33,24.64,20.19
131,RECUPERANDO,0,5,0,33,24.67,20.43
132,RECUPERANDO,0,6,0,32,24.7,20.67
133,RECUPERANDO,0,6,0,32,24.73,20.89
134,RECUPERANDO,0,6,0,32,24.76,21.05
135,RECUPERANDO,0,6,0,32,24.78,21.19
136,RECUPERANDO,0,6,0,32,24.8,21.33
137,RECUPERANDO,0,5,0,33,24.83,21.47
138,RECUPERANDO,0,6,0,32,24.84,21.61
139,RECUPERANDO,0,6,0,32,24.86,21.75
140,RECUPERANDO,0,6,0,32,24.88,21.88
141,RECUPERANDO,0,6,0,32,24.9,22.01
142,RECUPERANDO,0,6,0,32,24.91,22.13
143,RECUPERANDO,0,6,0,32,24.92,22.24
144,RECUPERANDO,0,7,0,31,24.94,22.32
145,RECUPERANDO,0,7,0,31,24.95,22.39
146,RECUPERANDO,0,6,0,32,24.96,22.46
147,RECUPERANDO,0,6,0,32,24.97,22.53
148,RECUPERANDO,0,6,0,32,24.98,22.6
149,RECUPERANDO,0,6,0,32,24.99,22.66
150,RECUPERANDO,0,7,0,31,25.0,22.72
151,RECUPERANDO,0,7,0,31,25.01,22.78
