segundo,estado_experimento,coches_crucero,coches_frenando,coches_atasco,coches_recuperando,vel_media_sistema,vel_min
1,ESTABILIZANDO,38,0,0,0,15.0,15.0
2,ESTABILIZANDO,38,0,0,0,15.0,15.0
3,ESTABILIZANDO,38,0,0,0,15.0,15.0
4,ESTABILIZANDO,38,0,0,0,15.0,15.0
5,ESTABILIZANDO,38,0,0,0,15.0,15.0
6,ESTABILIZANDO,38,0,0,0,15.0,15.0
7,ESTABILIZANDO,38,0,0,0,15.0,15.0
8,ESTABILIZANDO,38,0,0,0,15.0,15.0
9,ESTABILIZANDO,38,0,0,0,15.0,15.0
10,ESTABILIZANDO,38,0,0,0,15.0,15.0
11,FRENANDO,37,0,1,0,14.46,3.0
12,FRENANDO,36,1,1,0,14.17,0
13,FRENANDO,36,1,1,0,14.01,0
14,FRENANDO,35,2,1,0,13.87,0
15,FRENANDO,35,1,2,0,13.75,0
16,FRENANDO,35,1,2,0,13.63,0
17,FRENANDO,34,2,2,0,13.52,0
18,FRENANDO,34,2,2,0,13.41,0
19,FRENANDO,34,1,3,0,13.3,0
20,FRENANDO,33,2,3,0,13.19,0
21,RECUPERANDO,33,2,3,0,13.12,0
22,RECUPERANDO,33,2,3,0,13.06,0.25
23,RECUPERANDO,33,1,4,0,13.01,0.84
24,RECUPERANDO,32,2,4,0,12.98,0.66
25,RECUPERANDO,32,2,4,0,12.96,0.92
26,RECUPERANDO,32,2,4,0,12.95,1.48
27,RECUPERANDO,32,1,4,1,12.95,1.85
28,RECUPERANDO,31,2,4,1,12.97,1.89
29,RECUPERANDO,31,2,4,1,12.99,2.28
30,RECUPERANDO,31,2,3,2,13.02,2.89
31,RECUPERANDO,31,2,3,2,13.05,3.29
32,RECUPERANDO,30,2,4,2,13.09,3.4
33,RECUPERANDO,30,2,3,3,13.14,3.8
34,RECUPERANDO,30,2,3,3,13.18,4.39
35,RECUPERANDO,30,2,3,3,13.23,4.98
36,RECUPERANDO,31,2,2,3,13.28,5.08
37,RECUPERANDO,30,3,2,3,13.33,5.42
38,RECUPERANDO,30,2,2,4,13.38,5.93
39,RECUPERANDO,30,2,2,4,13.43,6.56
40,RECUPERANDO,30,2,2,4,13.48,6.9
41,RECUPERANDO,30,2,1,5,13.52,7.12
42,RECUPERANDO,29,3,1,5,13.56,7.48
43,RECUPERANDO,30,3,0,5,13.6,7.95
44,RECUPERANDO,30,3,0,5,13.64,8.47
45,RECUPERANDO,30,2,0,6,13.68,8.87
46,RECUPERANDO,30,2,0,6,13.71,9.04
47,RECUPERANDO,30,2,0,6,13.74,9.29
48,RECUPERANDO,30,2,0,6,13.77,9.6
49,RECUPERANDO,29,3,0,6,13.79,9.93
50,RECUPERANDO,29,2,0,7,13.81,10.26
51,RECUPERANDO,29,2,0,7,13.83,10.58
52,RECUPERANDO,29,2,0,7,13.85,10.74
53,RECUPERANDO,29,2,0,7,13.87,10.86
54,RECUPERANDO,29,2,0,7,13.88,11.0
55,RECUPERANDO,29,2,0,7,13.89,11.15
56,RECUPERANDO,29,2,0,7,13.91,11.29
57,RECUPERANDO,30,2,0,6,13.91,11.44
58,RECUPERANDO,29,3,0,6,13.92,11.57
59,RECUPERANDO,29,2,0,7,13.93,11.7
60,RECUPERANDO,29,2,0,7,13.94,11.81
61,RECUPERANDO,29,2,0,7,13.94,11.91
62,RECUPERANDO,29,2,0,7,13.95,12.0
63,RECUPERANDO,29,2,0,7,13.95,12.04
64,RECUPERANDO,29,2,0,7,13.96,12.08
65,RECUPERANDO,29,2,0,7,13.96,12.12
66,RECUPERANDO,29,2,0,7,13.97,12.16
67,RECUPERANDO,29,2,0,7,13.97,12.2
68,RECUPERANDO,29,2,0,7,13.97,12.24
69,RECUPERANDO,28,3,0,7,13.98,12.28
70,RECUPERANDO,28,3,0,7,13.98,12.32
71,RECUPERANDO,28,3,0,7,13.98,12.35
72,RECUPERANDO,28,3,0,7,13.99,12.39
73,RECUPERANDO,28,3,0,7,13.99,12.43
74,RECUPERANDO,28,3,0,7,13.99,12.46
75,RECUPERANDO,28,2,0,8,13.99,12.49
76,RECUPERANDO,28,2,0,8,13.99,12.53
77,RECUPERANDO,28,2,0,8,14.0,12.56
78,RECUPERANDO,28,2,0,8,14.0,12.59
79,RECUPERANDO,28,2,0,8,14.0,12.61
80,RECUPERANDO,28,2,0,8,14.0,12.62
81,RECUPERANDO,28,2,0,8,14.0,12.63
82,RECUPERANDO,29,2,0,7,14.01,12.64
83,RECUPERANDO,29,2,0,7,14.01,12.66
84,RECUPERANDO,28,3,0,7,14.01,12.67
85,RECUPERANDO,28,3,0,7,14.01,12.69
86,RECUPERANDO,28,3,0,7,14.01,12.7
87,RECUPERANDO,28,3,0,7,14.01,12.72
88,RECUPERANDO,28,3,0,7,14.02,12.74
89,RECUPERANDO,28,3,0,7,14.02,12.75
90,RECUPERANDO,28,3,0,7,14.02,12.77
91,RECUPERANDO,28,3,0,7,14.02,12.79
92,RECUPERANDO,28,3,0,7,14.02,12.8
93,RECUPERANDO,28,2,0,8,14.02,12.82
94,RECUPERANDO,28,2,0,8,14.02,12.84
95,RECUPERANDO,28,2,0,8,14.03,12.85
96,RECUPERANDO,28,2,0,8,14.03,12.87
97,RECUPERANDO,28,2,0,8,14.03,12.89
98,RECUPERANDO,28,2,0,8,14.03,12.89
99,RECUPERANDO,28,2,0,8,14.03,12.9
100,RECUPERANDO,27,3,0,8,14.03,12.91
101,RECUPERANDO,27,3,0,8,14.03,12.91
102,RECUPERANDO,27,3,0,8,14.03,12.92
103,RECUPERANDO,27,3,0,8,14.04,12.93
104,RECUPERANDO,27,3,0,8,14.04,12.94
105,RECUPERANDO,27,3,0,8,14.04,12.95
106,RECUPERANDO,27,3,0,8,14.04,12.96
107,RECUPERANDO,27,3,0,8,14.04,12.97
108,RECUPERANDO,28,3,0,7,14.04,12.98
109,RECUPERANDO,28,3,0,7,14.04,12.99
110,RECUPERANDO,28,3,0,7,14.04,13.0
111,RECUPERANDO,28,3,0,7,14.04,13.01
112,RECUPERANDO,28,3,0,7,14.04,13.02
113,RECUPERANDO,28,2,0,8,14.05,13.03
114,RECUPERANDO,28,2,0,8,14.05,13.04
115,RECUPERANDO,28,2,0,8,14.05,13.05
116,RECUPERANDO,28,2,0,8,14.05,13.06
117,RECUPERANDO,27,3,0,8,14.05,13.07
118,RECUPERANDO,27,3,0,8,14.05,13.07
119,RECUPERANDO,27,3,0,8,14.05,13.08
120,RECUPERANDO,27,3,0,8,14.05,13.08
121,RECUPERANDO,27,3,0,8,14.05,13.09
122,RECUPERANDO,27,3,0,8,14.05,13.09
123,RECUPERANDO,27,3,0,8,14.05,13.1
124,RECUPERANDO,27,3,0,8,14.06,13.1
125,RECUPERANDO,27,3,0,8,14.06,13.11
126,RECUPERANDO,27,3,0,8,14.06,13.12
127,RECUPERANDO,27,3,0,8,14.06,13.12
128,RECUPERANDO,27,3,0,8,14.06,13.13
