nombre,truck_pct,aggressive_pct,t_dissolve,wave_speed,max_stopped,final_throughput,near_collisions,hard_brakes,jam_perpetuo
Exp_T00_A000,0.0,0.0,,NaN,30,80,0,29,0
Exp_T00_A025,0.0,0.25,,NaN,30,81,0,29,0
Exp_T00_A050,0.0,0.5,,NaN,30,84,0,29,0
Exp_T00_A075,0.0,0.75,,NaN,30,86,0,29,0
Exp_T00_A100,0.0,1.0,,NaN,30,93,0,29,0
Exp_T05_A000,0.05,0.0,,NaN,30,72,0,29,0
Exp_T05_A025,0.05,0.25,,NaN,30,80,0,29,0
Exp_T05_A050,0.05,0.5,,NaN,30,82,0,29,0
Exp_T05_A075,0.05,0.75,,NaN,30,74,0,29,0
Exp_T05_A100,0.05,1.0,,NaN,30,89,0,29,0
Exp_T10_A000,0.1,0.0,,NaN,30,72,0,29,0
Exp_T10_A025,0.1,0.25,,NaN,30,72,0,29,0
Exp_T10_A050,0.1,0.5,,NaN,30,77,0,29,0
Exp_T10_A075,0.1,0.75,,NaN,30,75,0,29,0
Exp_T10_A100,0.1,1.0,,NaN,30,83,0,29,0
Exp_T25_A000,0.25,0.0,,NaN,30,71,0,29,0
Exp_T25_A025,0.25,0.25,,NaN,30,70,0,29,0
Exp_T25_A050,0.25,0.5,,NaN,30,74,0,29,0
Exp_T25_A075,0.25,0.75,,NaN,30,76,0,29,0
Exp_T25_A100,0.25,1.0,,NaN,30,81,0,29,0
Exp_T50_A000,0.5,0.0,,NaN,30,70,0,29,0
Exp_T50_A025,0.5,0.25,,NaN,30,71,0,29,0
Exp_T50_A050,0.5,0.5,,NaN,30,71,0,29,0
Exp_T50_A075,0.5,0.75,,NaN,30,72,0,29,0
Exp_T50_A100,0.5,1.0,,NaN,30,80,0,29,0
Exp_T75_A000,0.75,0.0,,NaN,30,67,0,29,0
Exp_T75_A025,0.75,0.25,,NaN,30,67,0,29,0
Exp_T75_A050,0.75,0.5,,NaN,30,70,0,29,0
Exp_T75_A075,0.75,0.75,,NaN,30,71,0,29,0
Exp_T75_A100,0.75,1.0,,NaN,30,77,0,29,0
