scenario,max_in_jam,max_stopped,max_gap_pressure,max_v_diff,min_velocity,avg_velocity_before,avg_velocity_during,velocity_drop,total_energy,total_time_lost,min_efficiency,flow_before,flow_during,flow_drop_pct,recovery_time,density
Density_N25,2,1,0.28,24.48,0.0,23.68111111111111,22.95888888888889,0.7222222222222214,85.5,0.0,104.3,848.0,822.1111111111111,3.0529350104821833,32,25
Density_N30,3,1,0.34,24.24,0.0,23.49888888888889,22.782222222222224,0.716666666666665,120.1,0.0,104.0,1009.7777777777778,979.1111111111111,3.036971830985923,37,30
Density_N35,4,1,0.4,23.95,0.0,23.279999999999998,22.53333333333333,0.7466666666666661,169.7,0.0,103.6,1167.2222222222222,1129.6666666666667,3.2175154688243586,52,35
Density_N40,6,1,0.45,23.61,0.0,23.022222222222226,22.206666666666663,0.8155555555555623,252.8,0.0,102.3,1319.0,1272.3333333333333,3.5380338640384186,75,40
Density_N45,8,1,0.5,23.22,0.0,22.724444444444444,21.86,0.8644444444444446,372.6,0.0,99.9,1464.7777777777778,1409.111111111111,3.8003489342334875,122,45
Density_N50,8,1,0.56,22.76,0.0,22.387777777777778,21.64,0.7477777777777774,303.8,0.0,100.7,1603.4444444444443,1549.888888888889,3.3400318758228735,134,50
