scenario,max_in_jam,max_stopped,max_gap_pressure,max_v_diff,min_velocity,avg_velocity_before,avg_velocity_during,velocity_drop,total_energy,total_time_lost,min_efficiency,flow_before,flow_during,flow_drop_pct,recovery_time,behavior
Behavior_Aggressive,4,1,0.37,24.1,0.0,23.395555555555557,22.682222222222222,0.7133333333333347,233.5,0.0,103.8,1340.3333333333333,1299.5555555555557,3.042360938406685,51.0,Aggressive
Behavior_Normal,6,1,0.45,23.61,0.0,23.022222222222226,22.206666666666663,0.8155555555555623,252.8,0.0,102.3,1319.0,1272.3333333333333,3.5380338640384186,75.0,Normal
Behavior_Conservative,19,1,0.64,21.93,0.0,21.763333333333332,20.64777777777778,1.1155555555555523,391.4,3.1,95.5,1246.888888888889,1183.0,5.1238638388879005,,Conservative
