segundo,estado,num_cars,max_speed,avg_velocity,min_velocity,max_velocity,v_diff,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,ESTABILIZANDO,35,35.0,1.25,1.25,1.25,0.0,0,0,0,35,66.81,66.81,66.81
2,ESTABILIZANDO,35,35.0,2.5,2.5,2.5,0.0,0,0,0,35,66.81,66.81,66.81
3,ESTABILIZANDO,35,35.0,3.75,3.75,3.75,0.0,0,0,0,35,66.81,66.81,66.81
4,ESTABILIZANDO,35,35.0,5.0,5.0,5.0,0.0,0,0,0,35,66.81,66.81,66.81
5,ESTABILIZANDO,35,35.0,6.25,6.25,6.25,0.0,0,0,0,35,66.81,66.81,66.81
6,ESTABILIZANDO,35,35.0,7.5,7.5,7.5,0.0,0,0,0,35,66.81,66.81,66.81
7,FLUJO_SINCRO,35,35.0,9.78,9.78,9.78,0.0,0,0,0,35,66.81,66.81,66.81
8,FLUJO_SINCRO,35,35.0,11.95,11.95,11.95,0.0,0,0,0,35,66.81,66.81,66.81
9,FLUJO_SINCRO,35,35.0,13.97,13.97,13.97,0.0,0,0,0,35,66.81,66.81,66.81
10,FLUJO_SINCRO,35,35.0,15.86,15.86,15.86,0.0,0,0,0,35,66.81,66.81,66.81
11,FRENADA_ORIGEN,35,35.0,17.18,3.86,17.58,13.73,0,1,0,33,59.43,66.81,74.37
12,FRENADA_ORIGEN,35,35.0,18.51,0.0,19.16,19.16,0,1,1,33,43.36,66.81,92.42
13,FRENADA_ORIGEN,35,35.0,19.76,0.0,20.58,20.58,0,1,1,33,28.92,66.81,112.37
14,FRENADA_ORIGEN,35,35.0,20.82,0.0,21.85,21.85,0,1,1,32,17.5,66.81,133.66
15,FRENADA_ORIGEN,35,35.0,21.7,0.0,22.98,22.98,0,2,1,32,9.61,66.81,156.15
16,DISOLVIENDO,35,35.0,22.5,2.5,23.98,21.49,0,2,0,32,6.16,66.81,178.32
17,DISOLVIENDO,35,35.0,23.2,3.71,24.86,21.16,0,2,0,31,6.34,66.81,198.94
18,DISOLVIENDO,35,35.0,23.82,4.73,25.64,20.9,0,2,0,32,8.44,66.81,217.93
19,DISOLVIENDO,35,35.0,24.35,6.37,26.31,19.94,0,2,0,31,10.51,66.81,235.25
20,DISOLVIENDO,35,35.0,24.83,7.5,26.89,19.39,0,2,0,30,10.45,66.81,250.89
