segundo,estado,num_cars,max_speed,avg_velocity,min_velocity,max_velocity,v_diff,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,ESTABILIZANDO,25,20.0,1.25,1.25,1.25,0.0,0,0,0,25,95.53,95.53,95.53
2,ESTABILIZANDO,25,20.0,2.5,2.5,2.5,0.0,0,0,0,25,95.53,95.53,95.53
3,ESTABILIZANDO,25,20.0,3.75,3.75,3.75,0.0,0,0,0,25,95.53,95.53,95.53
4,ESTABILIZANDO,25,20.0,5.0,5.0,5.0,0.0,0,0,0,25,95.53,95.53,95.53
5,ESTABILIZANDO,25,20.0,6.25,6.25,6.25,0.0,0,0,0,25,95.53,95.53,95.53
6,ESTABILIZANDO,25,20.0,7.5,7.5,7.5,0.0,0,0,0,25,95.53,95.53,95.53
7,FLUJO_SINCRO,25,20.0,9.52,9.52,9.52,0.0,0,0,0,25,95.53,95.53,95.53
8,FLUJO_SINCRO,25,20.0,11.31,11.31,11.31,0.0,0,0,0,25,95.53,95.53,95.53
9,FLUJO_SINCRO,25,20.0,12.84,12.84,12.84,0.0,0,0,0,25,95.53,95.53,95.53
10,FLUJO_SINCRO,25,20.0,14.14,14.14,14.14,0.0,0,0,0,25,95.53,95.53,95.53
11,FRENADA_ORIGEN,25,20.0,14.69,2.14,15.22,13.08,0,1,0,24,88.39,95.53,102.74
12,FRENADA_ORIGEN,25,20.0,15.42,0.0,16.1,16.1,0,0,1,23,73.36,95.53,118.37
13,FRENADA_ORIGEN,25,20.0,16.06,0.0,16.82,16.82,0,0,1,23,58.42,95.53,134.88
14,FRENADA_ORIGEN,25,20.0,16.54,0.0,17.39,17.39,0,1,1,22,44.14,95.53,152.02
15,FRENADA_ORIGEN,25,20.0,16.89,0.0,17.84,17.84,0,1,1,0,31.14,95.53,169.66
16,DISOLVIENDO,25,20.0,17.23,2.49,18.2,15.71,0,1,0,1,21.32,95.53,186.33
17,DISOLVIENDO,25,20.0,17.52,4.9,18.48,13.57,0,1,0,1,15.57,95.53,200.87
18,DISOLVIENDO,25,20.0,17.76,7.18,18.7,11.52,0,0,0,1,13.14,95.53,213.3
19,DISOLVIENDO,25,20.0,17.98,8.56,18.87,10.31,0,0,0,1,13.06,95.53,223.75
20,DISOLVIENDO,25,20.0,18.18,9.29,19.0,9.71,20,0,0,2,14.44,95.53,232.39
21,DISOLVIENDO,25,20.0,18.35,10.31,19.11,8.8,21,0,0,2,16.63,95.53,239.43
22,DISOLVIENDO,25,20.0,18.5,11.42,19.19,7.77,21,0,0,2,19.23,95.53,245.06
23,DISOLVIENDO,25,20.0,18.63,12.49,19.25,6.76,21,0,0,2,21.99,95.53,249.51
24,DISOLVIENDO,25,20.0,18.74,13.47,19.3,5.83,21,0,0,2,24.77,95.53,252.98
25,DISOLVIENDO,25,20.0,18.84,14.34,19.34,5.0,21,0,0,2,27.48,95.53,255.64
26,DISOLVIENDO,25,20.0,18.92,15.09,19.37,4.28,21,0,0,2,30.07,95.53,257.64
27,DISOLVIENDO,25,20.0,18.98,15.38,19.39,4.01,21,0,0,1,30.23,95.53,259.11
28,DISOLVIENDO,25,20.0,19.04,15.61,19.41,3.79,21,0,0,0,30.76,95.53,260.16
29,DISOLVIENDO,25,20.0,19.09,15.86,19.42,3.55,21,0,0,0,31.52,95.53,260.89
30,DISOLVIENDO,25,20.0,19.13,16.11,19.43,3.32,22,0,0,0,32.43,95.53,261.35
31,DISOLVIENDO,25,20.0,19.16,16.35,19.44,3.08,22,0,0,0,33.43,95.53,261.61
32,DISOLVIENDO,25,20.0,19.19,16.58,19.44,2.87,22,0,0,0,34.48,95.53,261.7
33,DISOLVIENDO,25,20.0,19.21,16.78,19.52,2.74,22,0,0,0,35.55,95.53,261.68
34,DISOLVIENDO,25,20.0,19.23,16.97,19.61,2.64,22,0,0,0,36.61,95.53,261.55
35,DISOLVIENDO,25,20.0,19.25,17.13,19.68,2.55,22,0,0,0,37.66,95.53,261.36
36,DISOLVIENDO,25,20.0,19.26,17.28,19.73,2.45,22,0,0,0,38.68,95.53,261.1
37,DISOLVIENDO,25,20.0,19.27,17.42,19.78,2.36,22,0,0,0,39.68,95.53,260.8
38,DISOLVIENDO,25,20.0,19.28,17.54,19.81,2.27,22,0,0,0,40.65,95.53,260.47
39,DISOLVIENDO,25,20.0,19.29,17.64,19.83,2.19,22,0,0,0,41.59,95.53,260.1
40,DISOLVIENDO,25,20.0,19.3,17.74,19.85,2.11,22,0,0,0,42.5,95.53,259.72
41,DISOLVIENDO,25,20.0,19.3,17.83,19.87,2.04,22,0,0,0,43.38,95.53,259.32
42,RECUPERADO,25,20.0,19.31,17.91,19.88,1.97,21,0,0,0,44.24,95.53,258.91
43,RECUPERADO,25,20.0,19.31,17.98,19.89,1.91,21,0,0,0,45.06,95.53,258.49
44,RECUPERADO,25,20.0,19.32,18.03,19.89,1.86,21,0,0,0,45.87,95.53,258.07
45,RECUPERADO,25,20.0,19.32,18.05,19.9,1.85,21,0,0,0,46.65,95.53,257.63
46,RECUPERADO,25,20.0,19.32,18.07,19.9,1.84,21,0,0,0,47.41,95.53,257.2
