segundo,estado,num_cars,max_speed,avg_velocity,min_velocity,max_velocity,v_diff,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,ESTABILIZANDO,35,30.0,1.25,1.25,1.25,0.0,0,0,0,35,66.81,66.81,66.81
2,ESTABILIZANDO,35,30.0,2.5,2.5,2.5,0.0,0,0,0,35,66.81,66.81,66.81
3,ESTABILIZANDO,35,30.0,3.75,3.75,3.75,0.0,0,0,0,35,66.81,66.81,66.81
4,ESTABILIZANDO,35,30.0,5.0,5.0,5.0,0.0,0,0,0,35,66.81,66.81,66.81
5,ESTABILIZANDO,35,30.0,6.25,6.25,6.25,0.0,0,0,0,35,66.81,66.81,66.81
6,ESTABILIZANDO,35,30.0,7.5,7.5,7.5,0.0,0,0,0,35,66.81,66.81,66.81
7,FLUJO_SINCRO,35,30.0,9.73,9.73,9.73,0.0,0,0,0,35,66.81,66.81,66.81
8,FLUJO_SINCRO,35,30.0,11.81,11.81,11.81,0.0,0,0,0,35,66.81,66.81,66.81
9,FLUJO_SINCRO,35,30.0,13.74,13.74,13.74,0.0,0,0,0,35,66.81,66.81,66.81
10,FLUJO_SINCRO,35,30.0,15.49,15.49,15.49,0.0,0,0,0,35,66.81,66.81,66.81
11,FRENADA_ORIGEN,35,30.0,16.66,3.49,17.06,13.57,0,1,0,33,59.5,66.81,74.29
12,FRENADA_ORIGEN,35,30.0,17.84,0.0,18.46,18.46,0,1,1,33,43.8,66.81,91.79
13,FRENADA_ORIGEN,35,30.0,18.93,0.0,19.69,19.69,0,1,1,33,29.59,66.81,110.95
14,FRENADA_ORIGEN,35,30.0,19.82,0.0,20.77,20.77,0,1,1,32,18.16,66.81,131.24
15,FRENADA_ORIGEN,35,30.0,20.54,0.0,21.71,21.71,0,2,1,32,10.1,66.81,152.54
16,DISOLVIENDO,35,30.0,21.18,2.49,22.52,20.02,0,2,0,32,6.43,66.81,173.33
17,DISOLVIENDO,35,30.0,21.74,3.83,23.21,19.38,0,2,0,31,6.44,66.81,192.38
18,DISOLVIENDO,35,30.0,22.23,4.79,23.8,19.01,0,2,0,31,8.43,66.81,209.64
19,DISOLVIENDO,35,30.0,22.65,6.37,24.3,17.93,0,1,0,2,11.4,66.81,225.09
20,DISOLVIENDO,35,30.0,23.01,7.82,24.72,16.9,0,2,0,2,10.91,66.81,238.77
21,DISOLVIENDO,35,30.0,23.34,8.43,25.08,16.65,0,2,0,3,12.04,66.81,250.72
22,DISOLVIENDO,35,30.0,23.62,9.56,25.39,15.82,0,1,0,3,14.13,66.81,261.03
23,DISOLVIENDO,35,30.0,23.88,10.95,25.64,14.69,0,2,0,3,15.23,66.81,269.81
24,DISOLVIENDO,35,30.0,24.1,11.44,25.85,14.41,0,2,0,4,15.75,66.81,277.17
25,DISOLVIENDO,35,30.0,24.31,12.22,26.03,13.81,0,1,0,4,17.16,66.81,283.24
26,DISOLVIENDO,35,30.0,24.49,13.23,26.18,12.95,0,1,0,4,19.09,66.81,288.14
27,DISOLVIENDO,35,30.0,24.66,13.94,26.31,12.37,0,2,0,4,19.41,66.81,292.0
28,DISOLVIENDO,35,30.0,24.81,14.42,26.41,11.99,0,1,0,5,20.22,66.81,294.93
29,DISOLVIENDO,35,30.0,24.94,15.12,26.5,11.37,0,1,0,5,21.56,66.81,297.04
30,DISOLVIENDO,35,30.0,25.07,15.94,26.57,10.63,0,0,0,5,23.06,66.81,298.44
31,DISOLVIENDO,35,30.0,25.18,16.28,26.63,10.35,0,0,0,5,23.32,66.81,299.23
32,DISOLVIENDO,35,30.0,25.28,16.71,26.68,9.97,0,0,0,5,24.1,66.81,299.47
33,DISOLVIENDO,35,30.0,25.38,17.27,27.12,9.85,0,0,0,5,25.23,66.81,299.26
34,DISOLVIENDO,35,30.0,25.46,17.88,27.52,9.64,0,0,0,4,26.59,66.81,298.66
35,DISOLVIENDO,35,30.0,25.54,18.11,27.86,9.75,0,0,0,4,26.82,66.81,297.72
