segundo,estado,num_cars,max_speed,avg_velocity,min_velocity,max_velocity,v_diff,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,ESTABILIZANDO,30,35.0,1.25,1.25,1.25,0.0,0,0,0,30,78.78,78.78,78.78
2,ESTABILIZANDO,30,35.0,2.5,2.5,2.5,0.0,0,0,0,30,78.78,78.78,78.78
3,ESTABILIZANDO,30,35.0,3.75,3.75,3.75,0.0,0,0,0,30,78.78,78.78,78.78
4,ESTABILIZANDO,30,35.0,5.0,5.0,5.0,0.0,0,0,0,30,78.78,78.78,78.78
5,ESTABILIZANDO,30,35.0,6.25,6.25,6.25,0.0,0,0,0,30,78.78,78.78,78.78
6,ESTABILIZANDO,30,35.0,7.5,7.5,7.5,0.0,0,0,0,30,78.78,78.78,78.78
7,FLUJO_SINCRO,30,35.0,9.8,9.8,9.8,0.0,0,0,0,30,78.78,78.78,78.78
8,FLUJO_SINCRO,30,35.0,11.99,11.99,11.99,0.0,0,0,0,30,78.78,78.78,78.78
9,FLUJO_SINCRO,30,35.0,14.05,14.05,14.05,0.0,0,0,0,30,78.78,78.78,78.78
10,FLUJO_SINCRO,30,35.0,15.97,15.97,15.97,0.0,0,0,0,30,78.78,78.78,78.78
11,FRENADA_ORIGEN,30,35.0,17.28,3.97,17.75,13.77,0,1,0,29,71.32,78.78,86.36
12,FRENADA_ORIGEN,30,35.0,18.64,0.0,19.37,19.37,0,1,1,28,54.58,78.78,104.58
13,FRENADA_ORIGEN,30,35.0,19.95,0.0,20.85,20.85,0,1,1,28,38.64,78.78,124.78
14,FRENADA_ORIGEN,30,35.0,21.07,0.0,22.18,22.18,0,1,1,27,25.05,78.78,146.37
15,FRENADA_ORIGEN,30,35.0,22.0,0.0,23.37,23.37,0,2,1,27,14.7,78.78,169.21
16,DISOLVIENDO,30,35.0,22.87,2.5,24.42,21.93,0,2,0,27,8.99,78.78,191.8
17,DISOLVIENDO,30,35.0,23.63,4.97,25.36,20.39,0,1,0,27,7.53,78.78,212.89
18,DISOLVIENDO,30,35.0,24.31,5.51,26.19,20.68,0,2,0,27,8.64,78.78,232.41
19,DISOLVIENDO,30,35.0,24.92,6.83,26.91,20.08,0,2,0,27,11.14,78.78,250.31
20,DISOLVIENDO,30,35.0,25.45,8.54,27.55,19.01,0,1,0,26,13.82,78.78,266.58
21,DISOLVIENDO,30,35.0,25.93,9.9,28.1,18.2,0,2,0,25,13.56,78.78,281.24
22,DISOLVIENDO,30,35.0,26.36,10.63,28.58,17.95,0,2,0,3,14.75,78.78,294.32
23,DISOLVIENDO,30,35.0,26.74,11.79,29.0,17.21,0,1,0,3,16.84,78.78,305.88
24,DISOLVIENDO,30,35.0,27.09,13.18,29.36,16.18,0,2,0,3,18.83,78.78,315.99
25,DISOLVIENDO,30,35.0,27.4,13.93,29.67,15.74,0,2,0,4,19.07,78.78,324.75
26,DISOLVIENDO,30,35.0,27.68,14.66,29.94,15.28,0,1,0,4,20.25,78.78,332.23
27,DISOLVIENDO,30,35.0,27.94,15.63,30.17,14.54,0,1,0,4,22.03,78.78,338.54
28,DISOLVIENDO,30,35.0,28.18,16.74,30.37,13.63,0,2,0,4,23.6,78.78,343.77
29,DISOLVIENDO,30,35.0,28.39,17.16,30.54,13.38,0,1,0,5,24.01,78.78,348.03
30,DISOLVIENDO,30,35.0,28.59,17.78,30.68,12.91,0,1,0,5,25.06,78.78,351.4
31,DISOLVIENDO,30,35.0,28.77,18.55,30.81,12.27,0,0,0,5,26.53,78.78,353.97
32,DISOLVIENDO,30,35.0,28.93,19.35,30.92,11.57,0,0,0,5,28.01,78.78,355.84
33,DISOLVIENDO,30,35.0,29.08,19.67,31.01,11.34,0,0,0,5,28.38,78.78,357.08
34,DISOLVIENDO,30,35.0,29.22,20.15,31.09,10.94,0,0,0,6,29.21,78.78,357.75
35,DISOLVIENDO,30,35.0,29.35,20.73,31.18,10.45,0,0,0,6,30.37,78.78,357.94
36,DISOLVIENDO,30,35.0,29.46,21.36,31.64,10.28,0,0,0,5,31.75,78.78,357.69
37,DISOLVIENDO,30,35.0,29.57,21.62,32.05,10.43,0,0,0,4,32.27,78.78,357.06
38,DISOLVIENDO,30,35.0,29.67,21.96,32.4,10.44,0,0,0,4,32.85,78.78,356.1
39,DISOLVIENDO,30,35.0,29.76,22.37,32.71,10.34,0,0,0,3,33.7,78.78,354.86
40,DISOLVIENDO,30,35.0,29.84,22.82,32.97,10.15,0,0,0,2,34.73,78.78,353.37
41,DISOLVIENDO,30,35.0,29.91,23.15,33.2,10.05,0,0,0,2,35.84,78.78,351.66
42,DISOLVIENDO,30,35.0,29.98,23.36,33.4,10.04,0,0,0,1,36.14,78.78,349.77
43,DISOLVIENDO,30,35.0,30.05,23.63,33.57,9.93,0,0,0,0,36.68,78.78,347.71
44,DISOLVIENDO,30,35.0,30.11,23.94,33.71,9.77,0,0,0,0,37.39,78.78,345.52
45,DISOLVIENDO,30,35.0,30.16,24.28,33.84,9.56,0,0,0,0,38.22,78.78,343.21
46,DISOLVIENDO,30,35.0,30.21,24.49,33.94,9.45,0,0,0,0,39.14,78.78,340.79
47,DISOLVIENDO,30,35.0,30.26,24.65,34.03,9.38,1,0,0,0,39.49,78.78,338.29
48,DISOLVIENDO,30,35.0,30.3,24.84,34.11,9.27,1,0,0,0,39.9,78.78,335.72
49,DISOLVIENDO,30,35.0,30.34,25.07,34.18,9.11,1,0,0,0,40.44,78.78,333.09
50,DISOLVIENDO,30,35.0,30.37,25.31,34.23,8.92,1,0,0,0,41.07,78.78,330.4
51,DISOLVIENDO,30,35.0,30.41,25.51,34.28,8.76,1,0,0,0,41.77,78.78,327.67
52,DISOLVIENDO,30,35.0,30.44,25.61,34.32,8.7,1,0,0,0,42.4,78.78,324.9
53,DISOLVIENDO,30,35.0,30.47,25.74,34.35,8.6,1,0,0,0,42.66,78.78,322.1
54,DISOLVIENDO,30,35.0,30.5,25.89,34.37,8.48,1,0,0,0,43.02,78.78,319.27
55,DISOLVIENDO,30,35.0,30.52,26.06,34.4,8.34,1,0,0,0,43.47,78.78,316.43
56,DISOLVIENDO,30,35.0,30.55,26.23,34.41,8.18,1,0,0,0,43.97,78.78,313.56
57,DISOLVIENDO,30,35.0,30.57,26.36,34.43,8.06,1,0,0,0,44.53,78.78,310.69
58,DISOLVIENDO,30,35.0,30.59,26.44,34.44,8.0,1,0,0,0,45.11,78.78,307.8
59,DISOLVIENDO,30,35.0,30.61,26.53,34.45,7.91,1,0,0,0,45.31,78.78,304.91
60,DISOLVIENDO,30,35.0,30.63,26.64,34.45,7.81,1,0,0,0,45.59,78.78,302.01
61,DISOLVIENDO,30,35.0,30.65,26.76,34.45,7.7,1,0,0,0,45.92,78.78,299.11
62,DISOLVIENDO,30,35.0,30.66,26.88,34.46,7.57,1,0,0,0,46.31,78.78,296.21
63,DISOLVIENDO,30,35.0,30.68,27.01,34.46,7.45,1,0,0,0,46.73,78.78,293.31
64,DISOLVIENDO,30,35.0,30.7,27.06,34.45,7.4,1,0,0,0,47.18,78.78,290.41
65,DISOLVIENDO,30,35.0,30.71,27.12,34.45,7.33,1,0,0,0,47.56,78.78,287.51
66,DISOLVIENDO,30,35.0,30.72,27.19,34.45,7.25,1,0,0,0,47.74,78.78,284.62
67,DISOLVIENDO,30,35.0,30.74,27.27,34.44,7.17,1,0,0,0,47.97,78.78,281.73
68,DISOLVIENDO,30,35.0,30.75,27.36,34.44,7.08,1,0,0,0,48.25,78.78,278.85
69,DISOLVIENDO,30,35.0,30.76,27.45,34.43,6.98,1,0,0,0,48.56,78.78,275.97
70,DISOLVIENDO,30,35.0,30.78,27.54,34.42,6.89,1,0,0,0,48.9,78.78,273.1
71,DISOLVIENDO,30,35.0,30.79,27.57,34.42,6.84,1,0,0,0,49.26,78.78,270.24
72,DISOLVIENDO,30,35.0,30.8,27.62,34.41,6.79,1,0,0,0,49.6,78.78,267.39
73,DISOLVIENDO,30,35.0,30.81,27.67,34.4,6.72,1,0,0,0,49.74,78.78,264.55
74,DISOLVIENDO,30,35.0,30.82,27.73,34.39,6.65,1,0,0,0,49.93,78.78,261.71
75,DISOLVIENDO,30,35.0,30.83,27.8,34.38,6.58,1,0,0,0,50.14,78.78,258.89
76,DISOLVIENDO,30,35.0,30.84,27.87,34.37,6.5,1,0,0,0,50.38,78.78,256.08
77,DISOLVIENDO,30,35.0,30.85,27.94,34.36,6.42,1,0,0,0,50.65,78.78,253.27
78,DISOLVIENDO,30,35.0,30.86,27.97,34.35,6.38,1,0,0,0,50.94,78.78,250.48
79,DISOLVIENDO,30,35.0,30.87,28.0,34.33,6.33,1,0,0,0,51.24,78.78,247.7
80,DISOLVIENDO,30,35.0,30.88,28.04,34.32,6.28,1,0,0,0,51.43,78.78,244.93
81,DISOLVIENDO,30,35.0,30.88,28.08,34.31,6.23,1,0,0,0,51.56,78.78,242.18
82,DISOLVIENDO,30,35.0,30.89,28.13,34.3,6.17,1,0,0,0,51.72,78.78,239.43
83,DISOLVIENDO,30,35.0,30.9,28.18,34.28,6.1,1,0,0,0,51.91,78.78,236.7
84,DISOLVIENDO,30,35.0,30.91,28.23,34.27,6.04,1,0,0,0,52.11,78.78,233.99
85,DISOLVIENDO,30,35.0,30.92,28.28,34.26,5.97,1,0,0,0,52.34,78.78,231.28
86,DISOLVIENDO,30,35.0,30.92,28.3,34.24,5.94,1,0,0,0,52.58,78.78,228.6
87,DISOLVIENDO,30,35.0,30.93,28.33,34.23,5.9,1,0,0,0,52.83,78.78,225.92
88,DISOLVIENDO,30,35.0,30.94,28.36,34.21,5.85,1,0,0,0,52.97,78.78,223.26
89,DISOLVIENDO,30,35.0,30.94,28.4,34.2,5.8,1,0,0,0,53.08,78.78,220.62
90,DISOLVIENDO,30,35.0,30.95,28.43,34.18,5.75,1,0,0,0,53.22,78.78,217.99
91,DISOLVIENDO,30,35.0,30.96,28.47,34.16,5.69,1,0,0,0,53.37,78.78,215.38
92,DISOLVIENDO,30,35.0,30.97,28.51,34.15,5.63,1,0,0,0,53.54,78.78,212.78
93,DISOLVIENDO,30,35.0,30.97,28.55,34.13,5.58,1,0,0,0,53.73,78.78,210.2
94,DISOLVIENDO,30,35.0,30.98,28.57,34.11,5.54,1,0,0,0,53.93,78.78,207.64
95,DISOLVIENDO,30,35.0,30.98,28.59,34.1,5.51,1,0,0,0,54.14,78.78,205.1
96,DISOLVIENDO,30,35.0,30.99,28.61,34.08,5.46,1,0,0,0,54.29,78.78,202.57
97,DISOLVIENDO,30,35.0,31.0,28.64,34.06,5.42,1,0,0,0,54.38,78.78,200.06
98,DISOLVIENDO,30,35.0,31.0,28.67,34.04,5.37,1,0,0,0,54.49,78.78,197.57
99,DISOLVIENDO,30,35.0,31.01,28.7,34.02,5.32,1,0,0,0,54.62,78.78,195.1
100,DISOLVIENDO,30,35.0,31.01,28.74,34.0,5.27,1,0,0,0,54.76,78.78,192.65
101,DISOLVIENDO,30,35.0,31.02,28.77,33.98,5.21,0,0,0,0,54.91,78.78,190.22
