segundo,estado,num_cars,max_speed,avg_velocity,min_velocity,max_velocity,v_diff,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,ESTABILIZANDO,27,20.0,1.25,1.25,1.25,0.0,0,0,0,27,88.08,88.08,88.08
2,ESTABILIZANDO,27,20.0,2.5,2.5,2.5,0.0,0,0,0,27,88.08,88.08,88.08
3,ESTABILIZANDO,27,20.0,3.75,3.75,3.75,0.0,0,0,0,27,88.08,88.08,88.08
4,ESTABILIZANDO,27,20.0,5.0,5.0,5.0,0.0,0,0,0,27,88.08,88.08,88.08
5,ESTABILIZANDO,27,20.0,6.25,6.25,6.25,0.0,0,0,0,27,88.08,88.08,88.08
6,ESTABILIZANDO,27,20.0,7.5,7.5,7.5,0.0,0,0,0,27,88.08,88.08,88.08
7,FLUJO_SINCRO,27,20.0,9.52,9.52,9.52,0.0,0,0,0,27,88.08,88.08,88.08
8,FLUJO_SINCRO,27,20.0,11.29,11.29,11.29,0.0,0,0,0,27,88.08,88.08,88.08
9,FLUJO_SINCRO,27,20.0,12.82,12.82,12.82,0.0,0,0,0,27,88.08,88.08,88.08
10,FLUJO_SINCRO,27,20.0,14.11,14.11,14.11,0.0,0,0,0,27,88.08,88.08,88.08
11,FRENADA_ORIGEN,27,20.0,14.69,2.11,15.19,13.07,0,1,0,25,80.95,88.08,95.29
12,FRENADA_ORIGEN,27,20.0,15.42,0.0,16.06,16.06,0,0,1,25,66.08,88.08,110.88
13,FRENADA_ORIGEN,27,20.0,16.05,0.0,16.77,16.77,0,0,1,25,51.46,88.08,127.34
14,FRENADA_ORIGEN,27,20.0,16.52,0.0,17.33,17.33,0,1,1,24,37.75,88.08,144.43
15,FRENADA_ORIGEN,27,20.0,16.86,0.0,17.78,17.78,0,1,1,0,25.61,88.08,162.01
16,DISOLVIENDO,27,20.0,17.19,2.49,18.13,15.64,0,1,0,1,16.95,88.08,178.62
17,DISOLVIENDO,27,20.0,17.46,4.9,18.41,13.5,0,0,0,1,12.47,88.08,193.08
18,DISOLVIENDO,27,20.0,17.69,7.18,18.62,11.44,0,0,0,1,11.17,88.08,205.44
19,DISOLVIENDO,27,20.0,17.91,7.83,18.79,10.96,0,0,0,2,11.94,88.08,215.82
20,DISOLVIENDO,27,20.0,18.1,8.81,18.92,10.12,0,0,0,2,13.91,88.08,224.38
21,DISOLVIENDO,27,20.0,18.26,10.0,19.03,9.03,22,0,0,2,16.49,88.08,231.33
22,DISOLVIENDO,27,20.0,18.41,11.21,19.1,7.89,23,0,0,2,19.34,88.08,236.88
23,DISOLVIENDO,27,20.0,18.53,12.36,19.17,6.8,23,0,0,2,22.26,88.08,241.25
24,DISOLVIENDO,27,20.0,18.64,13.4,19.21,5.82,23,0,0,2,25.13,88.08,244.63
25,DISOLVIENDO,27,20.0,18.73,14.03,19.25,5.22,23,0,0,2,25.26,88.08,247.2
26,DISOLVIENDO,27,20.0,18.81,14.34,19.28,4.94,23,0,0,2,25.8,88.08,249.11
27,DISOLVIENDO,27,20.0,18.88,14.69,19.3,4.61,23,0,0,1,26.71,88.08,250.5
28,DISOLVIENDO,27,20.0,18.93,15.06,19.32,4.25,23,0,0,0,27.84,88.08,251.47
29,DISOLVIENDO,27,20.0,18.98,15.43,19.33,3.9,22,0,0,0,29.1,88.08,252.1
30,DISOLVIENDO,27,20.0,19.02,15.77,19.34,3.57,23,0,0,0,30.41,88.08,252.48
31,DISOLVIENDO,27,20.0,19.05,16.08,19.35,3.27,23,0,0,0,31.73,88.08,252.65
32,DISOLVIENDO,27,20.0,19.08,16.36,19.4,3.04,23,0,0,0,33.04,88.08,252.67
33,DISOLVIENDO,27,20.0,19.1,16.61,19.52,2.91,23,0,0,0,34.31,88.08,252.55
34,DISOLVIENDO,27,20.0,19.12,16.83,19.61,2.78,23,0,0,0,35.54,88.08,252.35
35,DISOLVIENDO,27,20.0,19.14,17.02,19.67,2.65,23,0,0,0,36.73,88.08,252.07
36,DISOLVIENDO,27,20.0,19.15,17.19,19.73,2.54,23,0,0,0,37.86,88.08,251.73
37,DISOLVIENDO,27,20.0,19.16,17.3,19.77,2.47,23,0,0,0,38.95,88.08,251.34
38,DISOLVIENDO,27,20.0,19.17,17.35,19.8,2.45,23,0,0,0,40.0,88.08,250.92
39,DISOLVIENDO,27,20.0,19.18,17.4,19.83,2.43,23,0,0,0,41.01,88.08,250.48
40,DISOLVIENDO,27,20.0,19.19,17.45,19.84,2.4,23,0,0,0,41.25,88.08,250.01
41,DISOLVIENDO,27,20.0,19.2,17.5,19.86,2.36,23,0,0,0,41.52,88.08,249.53
42,DISOLVIENDO,27,20.0,19.2,17.55,19.87,2.32,23,0,0,0,41.84,88.08,249.04
43,DISOLVIENDO,27,20.0,19.21,17.6,19.88,2.28,23,0,0,0,42.18,88.08,248.54
44,DISOLVIENDO,27,20.0,19.21,17.64,19.88,2.24,23,0,0,0,42.54,88.08,248.03
45,DISOLVIENDO,27,20.0,19.22,17.69,19.89,2.2,23,0,0,0,42.93,88.08,247.51
46,DISOLVIENDO,27,20.0,19.22,17.74,19.89,2.16,23,0,0,0,43.33,88.08,246.99
47,DISOLVIENDO,27,20.0,19.22,17.78,19.9,2.12,23,0,0,0,43.74,88.08,246.47
48,DISOLVIENDO,27,20.0,19.23,17.82,19.9,2.08,23,0,0,0,44.15,88.08,245.95
49,DISOLVIENDO,27,20.0,19.23,17.86,19.9,2.04,23,0,0,0,44.58,88.08,245.42
50,DISOLVIENDO,27,20.0,19.23,17.9,19.9,2.0,24,0,0,0,45.0,88.08,244.9
51,RECUPERADO,27,20.0,19.23,17.94,19.9,1.96,24,0,0,0,45.43,88.08,244.37
52,RECUPERADO,27,20.0,19.24,17.98,19.9,1.92,23,0,0,0,45.86,88.08,243.84
53,RECUPERADO,27,20.0,19.24,18.01,19.9,1.89,23,0,0,0,46.29,88.08,243.31
54,RECUPERADO,27,20.0,19.24,18.05,19.9,1.85,23,0,0,0,46.72,88.08,242.78
55,RECUPERADO,27,20.0,19.24,18.08,19.9,1.82,23,0,0,0,47.15,88.08,242.25
