segundo,estado,num_cars,max_speed,avg_velocity,min_velocity,max_velocity,v_diff,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,ESTABILIZANDO,20,25.0,1.25,1.25,1.25,0.0,0,0,0,20,120.66,120.66,120.66
2,ESTABILIZANDO,20,25.0,2.5,2.5,2.5,0.0,0,0,0,20,120.66,120.66,120.66
3,ESTABILIZANDO,20,25.0,3.75,3.75,3.75,0.0,0,0,0,20,120.66,120.66,120.66
4,ESTABILIZANDO,20,25.0,5.0,5.0,5.0,0.0,0,0,0,20,120.66,120.66,120.66
5,ESTABILIZANDO,20,25.0,6.25,6.25,6.25,0.0,0,0,0,20,120.66,120.66,120.66
6,ESTABILIZANDO,20,25.0,7.5,7.5,7.5,0.0,0,0,0,20,120.66,120.66,120.66
7,FLUJO_SINCRO,20,25.0,9.69,9.69,9.69,0.0,0,0,0,20,120.66,120.66,120.66
8,FLUJO_SINCRO,20,25.0,11.71,11.71,11.71,0.0,0,0,0,20,120.66,120.66,120.66
9,FLUJO_SINCRO,20,25.0,13.54,13.54,13.54,0.0,0,0,0,20,120.66,120.66,120.66
10,FLUJO_SINCRO,20,25.0,15.17,15.17,15.17,0.0,0,0,0,20,120.66,120.66,120.66
11,FRENADA_ORIGEN,20,25.0,15.93,3.17,16.61,13.44,0,1,0,19,113.31,120.66,128.07
12,FRENADA_ORIGEN,20,25.0,16.93,0.0,17.86,17.86,0,0,1,18,96.76,120.66,145.11
13,FRENADA_ORIGEN,20,25.0,17.9,0.0,18.94,18.94,0,0,1,18,79.65,120.66,163.58
14,FRENADA_ORIGEN,20,25.0,18.69,0.0,19.86,19.86,0,0,1,18,62.8,120.66,183.03
15,FRENADA_ORIGEN,20,25.0,19.33,0.0,20.63,20.63,0,1,1,18,46.83,120.66,203.33
16,DISOLVIENDO,20,25.0,19.94,2.49,21.28,18.79,0,1,0,18,33.76,120.66,222.95
17,DISOLVIENDO,20,25.0,20.46,4.94,21.83,16.89,0,1,0,17,24.74,120.66,240.7
18,DISOLVIENDO,20,25.0,20.91,7.29,22.28,14.99,0,0,0,1,19.39,120.66,256.55
19,DISOLVIENDO,20,25.0,21.3,9.51,22.66,13.14,0,0,0,1,17.01,120.66,270.52
20,DISOLVIENDO,20,25.0,21.66,11.07,22.97,11.9,0,0,0,2,16.78,120.66,282.69
21,DISOLVIENDO,20,25.0,21.98,11.82,23.22,11.41,0,0,0,2,17.95,120.66,293.18
22,DISOLVIENDO,20,25.0,22.26,12.83,23.43,10.6,0,0,0,2,19.99,120.66,302.12
23,DISOLVIENDO,20,25.0,22.51,13.96,23.61,9.65,0,0,0,2,22.53,120.66,309.67
24,DISOLVIENDO,20,25.0,22.73,15.08,23.75,8.66,0,0,0,2,25.33,120.66,315.98
25,DISOLVIENDO,20,25.0,22.93,16.16,23.86,7.7,0,0,0,2,28.23,120.66,321.2
26,DISOLVIENDO,20,25.0,23.1,17.15,23.96,6.81,0,0,0,2,31.15,120.66,325.49
27,DISOLVIENDO,20,25.0,23.24,18.04,24.03,5.99,15,0,0,2,34.02,120.66,328.97
28,DISOLVIENDO,20,25.0,23.37,18.84,24.1,5.26,15,0,0,2,36.8,120.66,331.76
29,DISOLVIENDO,20,25.0,23.48,19.15,24.15,5.0,15,0,0,2,37.56,120.66,333.98
30,DISOLVIENDO,20,25.0,23.58,19.45,24.19,4.74,15,0,0,1,38.12,120.66,335.72
31,DISOLVIENDO,20,25.0,23.66,19.75,24.22,4.47,15,0,0,0,38.94,120.66,337.05
32,DISOLVIENDO,20,25.0,23.73,20.06,24.25,4.2,15,0,0,0,39.92,120.66,338.05
33,DISOLVIENDO,20,25.0,23.79,20.35,24.27,3.92,15,0,0,0,41.03,120.66,338.77
34,DISOLVIENDO,20,25.0,23.85,20.63,24.29,3.67,15,0,0,0,42.2,120.66,339.26
35,DISOLVIENDO,20,25.0,23.89,20.88,24.31,3.42,16,0,0,0,43.4,120.66,339.56
