segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_acelerando,coches_decelerando,coches_constante,gap_min,gap_medio,gap_max,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_v_diff
1,EQUILIBRIO,17.68,17.68,17.68,0.0,9.95,633.0,104.0,0,25,0,0,95.53,95.53,95.53,0.0,0,0,0,0.0
2,EQUILIBRIO,18.18,18.18,18.18,0.0,9.95,651.0,106.9,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
3,EQUILIBRIO,18.54,18.54,18.54,0.0,9.95,664.0,109.1,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
4,EQUILIBRIO,18.8,18.8,18.8,0.0,9.95,673.0,110.6,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
5,EQUILIBRIO,18.98,18.98,18.98,0.0,9.95,680.0,111.7,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
6,EQUILIBRIO,19.11,19.11,19.11,0.0,9.95,684.0,112.4,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
7,EQUILIBRIO,19.19,19.19,19.19,0.0,9.95,687.0,112.9,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
8,EQUILIBRIO,19.25,19.25,19.25,0.0,9.95,689.0,113.2,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
9,EQUILIBRIO,19.29,19.29,19.29,0.0,9.95,691.0,113.5,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
10,EQUILIBRIO,19.32,19.32,19.32,0.0,9.95,692.0,113.6,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
11,FRENADA_ORIGEN,19.0,11.32,19.33,8.02,9.95,681.0,111.8,0,0,1,24,91.2,95.53,99.94,9.9,0,0,0,8.02
12,FRENADA_ORIGEN,18.66,3.32,19.35,16.03,9.95,668.0,109.8,0,0,2,23,79.4,95.53,112.37,15.0,0,-0.0,0,16.03
13,FRENADA_ORIGEN,18.46,0.0,19.35,19.35,9.95,661.0,108.6,1,0,1,23,62.6,95.53,131.2,18.3,0,-0.0,1,19.35
14,ONDA_ACTIVA,18.39,0.2,19.36,19.16,9.95,658.0,108.2,1,0,1,23,47.23,95.53,150.54,21.8,0,-0.0,1,19.35
15,DISOLVIENDO,18.38,2.2,19.36,17.17,9.95,658.0,108.1,0,1,1,23,35.11,95.53,168.61,24.7,0,-0.0,1,19.35
16,DISOLVIENDO,18.38,4.2,19.37,15.17,9.95,658.0,108.1,0,1,1,23,26.73,95.53,184.67,27.1,0,-0.0,1,19.35
17,DISOLVIENDO,18.4,6.19,19.37,13.18,9.95,659.0,108.2,0,1,2,22,21.69,95.53,198.75,29.1,0,-0.0,1,19.35
18,DISOLVIENDO,18.43,8.15,19.37,11.22,9.95,660.0,108.4,0,1,1,23,19.44,95.53,210.85,30.7,0,-0.0,1,19.35
19,DISOLVIENDO,18.48,9.39,19.37,9.98,9.95,662.0,108.7,0,1,1,23,19.34,95.53,221.01,32.0,0,0,1,19.35
20,DISOLVIENDO,18.54,9.95,19.37,9.42,9.95,664.0,109.1,0,2,1,22,20.75,95.53,229.3,33.2,0,0,1,19.35
21,DISOLVIENDO,18.61,10.83,19.37,8.55,9.95,667.0,109.5,0,2,0,23,23.16,95.53,235.85,34.3,0,0,1,19.35
22,DISOLVIENDO,18.69,11.87,19.37,7.51,9.95,669.0,110.0,0,2,0,23,26.17,95.53,240.83,35.1,0,0,1,19.35
