segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_acelerando,coches_decelerando,coches_constante,gap_min,gap_medio,gap_max,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_v_diff
44,DISOLVIENDO,22.98,18.86,24.92,6.06,15.92,1317.0,108.2,0,0,0,40,26.83,57.83,284.12,2820.9,0,0,2,23.61
45,DISOLVIENDO,23.0,19.08,24.92,5.84,15.92,1318.0,108.3,0,0,0,40,27.16,57.83,282.81,2833.8,0,0,2,23.61
46,DISOLVIENDO,23.02,19.31,24.92,5.61,15.92,1319.0,108.3,0,0,0,40,27.57,57.83,281.51,2845.4,0,0,2,23.61
47,DISOLVIENDO,23.04,19.53,24.92,5.39,15.92,1320.0,108.4,0,0,0,40,28.03,57.83,280.21,2855.9,0,0,2,23.61
48,DISOLVIENDO,23.05,19.73,24.92,5.19,15.92,1321.0,108.5,0,0,0,40,28.5,57.83,278.9,2865.8,0,0,2,23.61
49,DISOLVIENDO,23.07,19.91,24.92,5.01,15.92,1322.0,108.5,0,0,0,40,28.96,57.83,277.6,2875.5,0,0,2,23.61
50,DISOLVIENDO,23.08,20.03,24.92,4.88,15.92,1322.0,108.6,0,0,0,40,29.42,57.83,276.3,2884.8,0,0,2,23.61
51,DISOLVIENDO,23.09,20.12,24.92,4.8,15.92,1323.0,108.6,0,0,0,40,29.86,57.83,275.0,2893.8,0,0,2,23.61
52,DISOLVIENDO,23.1,20.2,24.91,4.71,15.92,1323.0,108.7,0,0,0,40,30.26,57.83,273.7,2902.3,0,0,2,23.61
53,DISOLVIENDO,23.1,20.29,24.91,4.63,15.92,1324.0,108.7,0,0,0,40,30.44,57.83,272.4,2910.5,0,0,2,23.61
54,DISOLVIENDO,23.11,20.38,24.91,4.54,15.92,1324.0,108.8,0,0,0,40,30.65,57.83,271.1,2918.2,0,0,2,23.61
55,DISOLVIENDO,23.12,20.46,24.91,4.45,15.92,1325.0,108.8,0,0,0,40,30.89,57.83,269.8,2925.7,0,0,2,23.61
56,DISOLVIENDO,23.13,20.54,24.91,4.37,15.92,1325.0,108.8,0,0,0,40,31.13,57.83,268.5,2932.9,0,0,2,23.61
