segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_acelerando,coches_decelerando,coches_constante,gap_min,gap_medio,gap_max,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_v_diff
1,EQUILIBRIO,22.17,22.17,22.17,0.0,9.95,794.0,104.3,0,25,0,0,95.53,95.53,95.53,0.0,0,0,0,0
2,EQUILIBRIO,22.86,22.86,22.86,0.0,9.95,819.0,107.6,0,25,0,0,95.53,95.53,95.53,0.0,0,0,0,0
3,EQUILIBRIO,23.36,23.36,23.36,0.0,9.95,836.0,109.9,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0
4,EQUILIBRIO,23.71,23.71,23.71,0.0,9.95,849.0,111.6,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
5,EQUILIBRIO,23.96,23.96,23.96,0.0,9.95,858.0,112.7,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
6,EQUILIBRIO,24.13,24.13,24.13,0.0,9.95,864.0,113.5,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
7,EQUILIBRIO,24.24,24.24,24.24,0.0,9.95,868.0,114.1,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
8,EQUILIBRIO,24.32,24.32,24.32,0.0,9.95,871.0,114.5,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
9,EQUILIBRIO,24.38,24.38,24.38,0.0,9.95,873.0,114.7,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
10,EQUILIBRIO,24.41,24.41,24.41,0.0,9.95,874.0,114.9,0,0,0,25,95.53,95.53,95.53,0.0,0,0,0,0.0
11,FRENADA_ORIGEN,24.02,14.41,24.44,10.02,9.95,860.0,113.0,0,0,2,23,90.13,95.53,101.05,196.6,0,0,0,10.02
12,FRENADA_ORIGEN,23.58,4.41,24.45,20.04,9.95,844.0,110.9,0,0,2,23,75.62,95.53,116.58,336.8,0,-0.0,0,20.04
13,FRENADA_ORIGEN,23.27,0.0,24.46,24.46,9.95,833.0,109.5,1,0,1,23,55.39,95.53,140.31,424.9,0,-0.0,1,24.46
