segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_acelerando,coches_decelerando,coches_constante,gap_min,gap_medio,gap_max,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_v_diff
40,DISOLVIENDO,27.8,22.4,29.86,7.46,11.94,1195.0,109.0,0,2,0,28,31.31,78.78,360.16,283.3,0,0,1,28.71
41,DISOLVIENDO,27.85,22.92,29.88,6.96,11.94,1197.0,109.2,0,2,0,28,32.33,78.78,359.03,284.6,0,0,1,28.71
42,DISOLVIENDO,27.9,23.4,29.89,6.49,11.94,1199.0,109.4,0,0,0,30,33.35,78.78,357.89,285.9,0,0,1,28.71
43,DISOLVIENDO,27.94,23.66,29.9,6.23,11.94,1201.0,109.6,0,0,0,30,34.33,78.78,356.74,287.0,0,0,1,28.71
44,DISOLVIENDO,27.98,23.89,29.9,6.01,11.94,1202.0,109.7,0,0,0,30,35.26,78.78,355.58,288.0,0,0,1,28.71
45,DISOLVIENDO,28.01,24.12,29.91,5.79,11.94,1204.0,109.8,0,0,0,30,35.97,78.78,354.42,288.9,0,0,1,28.71
46,DISOLVIENDO,28.03,24.34,29.91,5.57,11.94,1205.0,109.9,0,0,0,30,36.39,78.78,353.26,289.7,0,0,1,28.71
47,DISOLVIENDO,28.05,24.55,29.91,5.36,11.94,1206.0,110.0,0,0,0,30,36.84,78.78,352.09,290.5,0,0,1,28.71
48,DISOLVIENDO,28.07,24.73,29.91,5.18,11.94,1206.0,110.1,0,0,0,30,37.31,78.78,350.93,291.2,0,0,1,28.71
49,DISOLVIENDO,28.09,24.91,29.91,5.01,11.94,1207.0,110.2,0,0,0,30,37.79,78.78,349.76,291.9,0,0,1,28.71
50,DISOLVIENDO,28.11,25.06,29.91,4.85,11.94,1208.0,110.2,0,0,0,30,38.27,78.78,348.59,292.6,0,0,1,28.71
51,DISOLVIENDO,28.12,25.2,29.91,4.71,11.94,1208.0,110.3,0,0,0,30,38.74,78.78,347.42,293.3,0,0,1,28.71
52,DISOLVIENDO,28.13,25.33,29.91,4.58,11.94,1209.0,110.3,0,0,0,30,39.2,78.78,346.25,293.9,0,0,1,28.71
53,DISOLVIENDO,28.14,25.39,29.91,4.52,11.94,1209.0,110.4,0,0,0,30,39.65,78.78,345.08,294.5,0,0,1,28.71
54,DISOLVIENDO,28.15,25.45,29.91,4.46,11.94,1210.0,110.4,0,0,0,30,40.1,78.78,343.92,295.1,0,0,1,28.71
55,DISOLVIENDO,28.16,25.52,29.91,4.39,11.94,1210.0,110.4,0,0,0,30,40.54,78.78,342.75,295.7,0,0,1,28.71
56,DISOLVIENDO,28.17,25.58,29.91,4.33,11.94,1210.0,110.5,0,0,0,30,40.97,78.78,341.58,296.3,0,0,1,28.71
